期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
2011M01,"400,617",15.79,"76,284",3.94,"216,902",18.73,"48,704",53.57,"4,263",-11.85,"2,158",-2.84,...,--,...,--,"26,437",30.37,"25,869",-16.17
2011M02,"453,468",17.13,"70,745",23.23,"259,821",21.00,"45,514",-2.36,"3,899",54.85,"15,020",7.24,...,--,...,--,"28,944",50.52,"29,525",-9.55
2011M03,"518,215",0.33,"89,668",-2.18,"316,752",4.29,"39,598",-8.24,"6,496",-28.69,"3,109",-31.49,...,--,...,--,"48,534",100.71,"14,058",-64.99
2011M04,"550,158",8.64,"83,533",2.16,"350,884",10.69,"40,956",2.78,"6,978",0.30,"2,444",-9.08,...,--,...,--,"49,707",110.52,"15,656",-54.67
2011M05,"470,471",-7.00,"89,323",7.81,"274,035",-11.10,"35,454",-6.95,"6,858",-8.29,"2,715",-9.89,...,--,...,--,"47,813",73.51,"14,273",-63.01
2011M06,"462,640",-1.66,"86,589",4.86,"254,424",-7.48,"42,235",2.14,"7,013",-5.76,"2,806",-15.12,...,--,...,--,"52,948",120.17,"16,625",-54.75
2011M07,"465,656",8.86,"78,726",6.99,"257,359",7.22,"45,809",0.66,"6,087",7.17,"4,634",16.90,...,--,...,--,"51,069",103.88,"21,972",-35.28
2011M08,"506,898",14.62,"75,556",-2.10,"298,990",21.61,"43,624",3.26,"6,093",-15.28,"7,719",2.91,...,--,...,--,"54,167",114.94,"20,749",-44.03
2011M09,"460,994",9.92,"80,669",6.19,"252,005",11.87,"35,129",-0.89,"7,096",-8.60,"14,299",9.59,...,--,...,--,"49,916",113.91,"21,880",-43.26
2011M10,"530,430",9.15,"88,525",4.22,"318,239",13.25,"37,674",-7.02,"8,734",-21.72,"2,506",-0.71,...,--,...,--,"52,300",107.38,"22,452",-44.70
