期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
2001M05,"13,637,836",5.79,"3,147,355",5.98,"12,824",7.37,"3,657",1.92,"970,400",12.28,"14,127",1.37,"114,237",-0.47,"816,350",1.86,"166,219",16.27,-,-,"855,750",5.48,"193,791",-5.70,"691,596",-3.97,"1,328,689",6.13,-,-,"8,470,196",6.55
2001M06,"13,923,806",6.87,"3,293,345",6.26,"15,079",23.65,"3,609",-2.77,"1,021,484",6.84,"15,941",11.94,"120,565",-1.43,"860,837",2.28,"165,803",11.48,-,-,"899,333",13.47,"190,694",-8.21,"694,658",-2.68,"1,342,370",6.28,-,-,"8,593,433",8.06
2001M07,"13,887,956",6.76,"3,292,825",8.94,"13,309",14.73,"3,501",-7.18,"982,238",8.38,"49,336",249.90,"113,593",-1.79,"836,698",4.55,"165,553",14.72,-,-,"934,089",14.32,"194,508",-7.12,"706,509",-2.34,"1,348,574",8.66,-,-,"8,540,048",6.46
2001M08,"13,916,396",6.30,"3,240,261",4.17,"12,990",12.01,"3,361",-5.06,"954,188",3.20,"14,530",4.74,"115,685",-1.12,"825,832",1.12,"165,036",-5.39,-,-,"956,519",13.01,"192,120",-5.12,"699,503",-2.10,"1,373,903",9.00,-,-,"8,602,729",7.45
2001M09,"14,135,536",7.97,"3,075,550",-2.53,"18,624",62.29,"3,904",8.60,"1,040,786",8.16,"17,588",20.42,"115,627",1.43,"674,596",-18.44,"169,844",-7.84,-,-,"846,320",0.94,"188,261",-5.60,"730,888",3.66,"1,502,769",18.81,"224,991",-,"8,826,329",10.78
2001M10,"14,094,440",6.94,"3,014,050",-6.50,"13,794",21.63,"4,613",30.72,"1,011,457",0.67,"16,872",14.46,"120,198",2.28,"637,469",-25.16,"171,502",-7.60,-,-,"847,299",1.83,"190,846",-5.62,"708,781",2.57,"1,550,670",23.05,"243,374",-,"8,820,939",10.19
2001M11,"14,166,677",6.16,"2,984,082",-8.84,"18,108",52.91,"4,559",23.72,"992,625",-3.98,"16,177",13.97,"120,279",-0.58,"623,592",-27.66,"168,201",-11.01,-,-,"860,027",3.41,"180,514",-12.49,"720,284",3.41,"1,511,311",18.97,"262,882",-,"8,951,000",10.44
2001M12,"14,549,914",6.38,"3,150,737",-8.61,"18,417",54.31,"6,148",61.87,"1,060,685",-5.16,"18,411",24.11,"142,721",4.53,"653,024",-27.79,"163,692",-23.20,-,-,"881,668",6.62,"205,971",-5.36,"764,115",6.75,"1,492,488",16.15,"268,669",-,"9,142,574",11.10
2002M01,"14,480,765",6.44,"3,063,305",-5.21,"16,962",48.92,"4,518",25.36,"1,034,736",3.64,"18,303",26.81,"130,015",8.82,"631,229",-25.30,"147,516",-28.49,-,-,"886,230",7.95,"193,796",-8.60,"692,948",3.27,"1,472,751",15.32,"268,044",-,"9,251,761",9.82
2002M02,"14,496,002",5.86,"3,035,326",-5.83,"15,425",31.29,"4,193",11.49,"1,036,349",5.11,"19,167",40.44,"124,390",4.74,"622,142",-26.27,"139,368",-27.18,-,-,"882,279",3.72,"192,013",-5.66,"658,723",0.06,"1,500,759",13.35,"283,731",-,"9,301,194",9.58
2002M03,"14,578,559",6.27,"3,070,869",-3.94,"14,123",8.16,"4,564",24.53,"1,065,467",9.08,"17,270",30.05,"125,609",4.99,"627,848",-25.02,"130,277",-30.68,-,-,"892,091",5.57,"193,620",-3.20,"660,578",-0.50,"1,500,284",13.82,"291,348",-,"9,346,828",9.45
2002M04,"14,517,276",6.68,"3,032,935",-3.67,"13,494",5.64,"4,513",30.06,"1,036,920",8.60,"18,817",38.94,"120,944",4.52,"613,239",-25.22,"129,939",-24.51,-,-,"903,078",4.92,"191,991",-1.73,"671,185",-1.12,"1,486,460",12.30,"289,307",-,"9,326,696",10.28
2002M05,"14,466,218",6.07,"3,057,103",-2.87,"13,968",8.92,"4,057",10.94,"1,049,188",8.12,"19,261",36.34,"120,857",5.79,"604,314",-25.97,"120,358",-27.59,-,-,"932,405",8.96,"192,695",-0.57,"695,273",0.53,"1,483,273",11.63,"285,462",-,"9,230,569",8.98
2002M06,"14,621,074",5.01,"3,189,660",-3.15,"15,059",-0.13,"4,255",17.90,"1,103,929",8.07,"16,749",5.07,"127,756",5.96,"622,515",-27.68,"113,504",-31.54,-,-,"988,304",9.89,"197,589",3.62,"701,337",0.96,"1,514,855",12.85,"303,236",-,"9,215,222",7.24
2002M07,"14,492,997",4.36,"3,072,401",-6.69,"14,471",8.73,"4,210",20.25,"1,035,932",5.47,"18,620",-62.26,"119,196",4.93,"594,826",-28.91,"107,077",-35.32,-,-,"980,352",4.95,"197,717",1.65,"690,222",-2.31,"1,506,678",11.72,"305,074",-,"9,223,696",8.01
2002M08,"14,599,181",4.91,"3,098,394",-4.38,"14,945",15.05,"4,174",24.19,"1,036,964",8.68,"17,053",17.36,"122,753",6.11,"608,626",-26.30,"107,952",-34.59,-,-,"980,676",2.53,"205,251",6.83,"678,889",-2.95,"1,519,974",10.63,"298,582",-,"9,301,924",8.13
2002M09,"14,560,150",3.00,"3,069,142",-0.21,"14,732",-20.90,"4,561",16.83,"1,032,859",-0.76,"22,937",30.41,"121,277",4.89,"602,049",-10.75,"112,673",-33.66,-,-,"956,077",12.97,"201,977",7.29,"704,035",-3.67,"1,521,914",1.27,"299,717",33.21,"9,265,059",4.97
2002M10,"14,601,114",3.59,"3,064,234",1.67,"15,277",10.75,"4,483",-2.82,"1,040,439",2.87,"24,165",43.23,"126,723",5.43,"605,077",-5.08,"113,755",-33.67,-,-,"939,366",10.87,"194,949",2.15,"689,469",-2.72,"1,511,943",-2.50,"296,419",21.80,"9,335,468",5.83
2002M11,"14,714,082",3.86,"3,085,091",3.38,"15,301",-15.50,"4,387",-3.77,"1,028,904",3.65,"23,646",46.17,"128,527",6.86,"615,806",-1.25,"106,553",-36.65,-,-,"966,290",12.36,"195,677",8.40,"702,789",-2.43,"1,509,726",-0.10,"300,650",14.37,"9,416,476",5.20
2002M12,"14,962,324",2.83,"3,247,361",3.07,"16,643",-9.63,"4,508",-26.68,"1,108,600",4.52,"25,328",37.57,"148,878",4.31,"656,480",0.53,"113,297",-30.79,-,-,"970,095",10.03,"203,532",-1.18,"691,510",-9.50,"1,495,784",0.22,"297,857",10.86,"9,527,669",4.21
2003M01,"14,927,014",3.08,"3,041,997",-0.70,"13,847",-18.36,"4,294",-4.96,"1,037,644",0.28,"24,972",36.44,"130,754",0.57,"611,086",-3.19,"105,913",-28.20,-,-,"928,591",4.78,"184,896",-4.59,"646,872",-6.65,"1,508,669",2.44,"323,741",20.78,"9,729,476",5.16
2003M02,"14,977,857",3.32,"3,063,802",0.94,"14,513",-5.91,"4,476",6.75,"1,046,611",0.99,"28,548",48.94,"127,671",2.64,"616,627",-0.89,"103,134",-26.00,-,-,"929,755",5.38,"192,467",0.24,"654,528",-0.64,"1,532,023",2.08,"317,905",12.04,"9,727,504",4.58
2003M03,"14,932,534",2.43,"3,029,336",-1.35,"13,638",-3.43,"4,644",1.75,"1,054,962",-0.99,"26,608",54.07,"122,537",-2.45,"620,868",-1.11,"93,098",-28.54,-,-,"896,353",0.48,"196,628",1.55,"655,251",-0.81,"1,509,289",0.60,"314,188",7.84,"9,738,658",4.19
2003M04,"14,929,350",2.84,"3,013,569",-0.64,"13,977",3.58,"4,342",-3.79,"1,027,305",-0.93,"20,885",10.99,"127,083",5.08,"624,293",1.80,"90,709",-30.19,-,-,"907,679",0.51,"197,296",2.76,"649,923",-3.17,"1,510,545",1.62,"316,390",9.36,"9,755,313",4.60
2003M05,"15,021,987",3.84,"3,033,061",-0.79,"14,246",1.99,"4,612",13.68,"1,029,771",-1.85,"19,899",3.31,"126,441",4.62,"633,659",4.86,"94,051",-21.86,-,-,"915,974",-1.76,"194,408",0.89,"674,854",-2.94,"1,504,997",1.46,"314,495",10.17,"9,809,075",6.27
2003M06,"15,240,989",4.24,"3,169,360",-0.64,"14,562",-3.30,"4,716",10.83,"1,131,983",2.54,"20,080",19.89,"130,895",2.46,"657,626",5.64,"86,714",-23.60,-,-,"923,025",-6.61,"199,759",1.10,"696,859",-0.64,"1,520,204",0.35,"326,840",7.78,"9,854,566",6.94
2003M07,"15,293,563",5.52,"3,144,222",2.34,"12,623",-12.77,"4,263",1.26,"1,093,563",5.56,"20,997",12.77,"127,879",7.28,"655,834",10.26,"93,247",-12.92,-,-,"929,355",-5.20,"206,461",4.42,"685,113",-0.74,"1,533,380",1.77,"340,601",11.65,"9,930,848",7.67
2003M08,"15,412,014",5.57,"3,167,100",2.22,"13,230",-11.48,"4,554",9.10,"1,105,225",6.58,"20,111",17.93,"134,036",9.19,"662,945",8.92,"86,644",-19.74,-,-,"933,052",-4.86,"207,303",1.00,"683,783",0.72,"1,544,904",1.64,"334,463",12.02,"10,016,227",7.68
2003M09,"15,476,107",6.29,"3,210,952",4.62,"13,168",-10.62,"4,636",1.64,"1,140,985",10.47,"19,688",-14.16,"131,818",8.69,"666,749",10.75,"89,674",-20.41,-,-,"942,523",-1.42,"201,711",-0.13,"713,861",1.40,"1,540,337",1.21,"331,718",10.68,"10,010,957",8.05
2003M10,"15,527,199",6.34,"3,207,536",4.68,"13,980",-8.49,"4,516",0.74,"1,120,568",7.70,"19,273",-20.24,"133,768",5.56,"675,503",11.64,"90,150",-20.75,-,-,"934,242",-0.55,"215,536",10.56,"704,862",2.23,"1,524,812",0.85,"330,187",11.39,"10,089,989",8.08
2003M11,"15,632,634",6.24,"3,278,187",6.26,"13,712",-10.38,"4,306",-1.85,"1,169,070",13.62,"20,784",-12.10,"138,742",7.95,"689,803",12.02,"80,111",-24.82,-,-,"940,507",-2.67,"221,152",13.02,"722,515",2.81,"1,522,200",0.83,"333,918",11.07,"10,109,732",7.36
2003M12,"15,946,296",6.58,"3,546,188",9.20,"14,629",-12.10,"4,589",1.80,"1,302,242",17.47,"22,475",-11.26,"160,032",7.49,"740,808",12.85,"90,842",-19.82,-,-,"969,738",-0.04,"240,833",18.33,"709,255",2.57,"1,509,657",0.93,"323,417",8.58,"10,181,196",6.86
2004M01,"15,977,500",7.04,"3,364,715",10.61,"13,110",-5.32,"4,444",3.49,"1,216,604",17.25,"21,696",-13.12,"142,221",8.77,"691,953",13.23,"93,360",-11.85,-,-,"964,132",3.83,"217,195",17.47,"648,885",0.31,"1,518,909",0.68,"328,599",1.50,"10,444,991",7.35
