期間,專業及技術服務業_原始值,專業及技術服務業_年增率(%),電腦系統設計服務業_原始值,電腦系統設計服務業_年增率(%),資料處理及資訊供應服務業_原始值,資料處理及資訊供應服務業_年增率(%),廣告業及市場研究業_原始值,廣告業及市場研究業_年增率(%),專門設計服務業_原始值,專門設計服務業_年增率(%),租賃業_原始值,租賃業_年增率(%)
2010,"233,357",8.78,"186,007",5.54,"42,069",8.28,"116,578",11.99,"41,567",7.78,"65,320",6.35
2011,"244,035",4.58,"188,049",1.10,"42,552",1.15,"126,173",8.23,"44,963",8.17,"68,635",5.07
2012,"237,953",-2.49,"195,714",4.08,"43,418",2.03,"122,024",-3.29,"44,632",-0.74,"72,763",6.02
2013,"244,608",2.80,"200,648",2.52,"46,602",7.34,"125,002",2.44,"41,814",-6.32,"73,864",1.51
