期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),授信部門-其他貨幣機構_原始值,授信部門-其他貨幣機構_年增率(%),授信部門-保險公司及退休基金_原始值,授信部門-保險公司及退休基金_年增率(%),授信部門-其他金融機構_原始值,授信部門-其他金融機構_年增率(%),授信部門-政府_原始值,授信部門-政府_年增率(%),授信部門-公營事業_原始值,授信部門-公營事業_年增率(%),授信部門-民營企業_原始值,授信部門-民營企業_年增率(%),授信部門-家庭及非營利團體_原始值,授信部門-家庭及非營利團體_年增率(%),授信部門-國外_原始值,授信部門-國外_年增率(%),受信部門-中央銀行_原始值,受信部門-中央銀行_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-保險公司及退休基金_原始值,受信部門-保險公司及退休基金_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%),受信部門-民營企業_原始值,受信部門-民營企業_年增率(%),受信部門-國外_原始值,受信部門-國外_年增率(%)
2006,-,--,"128,516",-32.41,"106,583",-24.87,"854,228",-4.29,"1,306",--,750,-62.50,"198,848",9.89,"604,865",-3.53,"347,134",-23.12,"340,082",-24.61,"545,736",5.55,400,-90.88,"1,354,665",-10.39,538,-68.66,809,--
2007,-,--,"64,853",-49.54,"145,183",36.22,"606,192",-29.04,"3,255",149.23,200,-73.33,"176,121",-11.43,"514,297",-14.97,"132,242",-61.90,"101,220",-70.24,"457,692",-16.13,-,--,"1,082,906",-20.06,526,-2.26,-,--
2008,-,--,"62,723",-3.28,"87,189",-39.95,"509,615",-15.93,"7,322",124.95,300,50.00,"119,488",-32.16,"610,003",18.61,"11,340",-91.42,-,--,"460,569",0.63,-,--,"947,411",-12.51,-,--,-,--
