期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2007M11,"22,945,782",0.36,"1,053,777",-3.91,"1,366,352",-5.37,"1,618,495",0.21,"1,616,508",0.72,"1,684,386",-4.80,"2,015,858",0.71,"1,863,853",1.91,"1,847,031",-0.49,"1,897,560",-1.33,"1,866,943",2.13,"1,672,356",1.61,"1,320,783",9.83,"783,948",2.34,"747,960",1.68,"596,321",1.54,"495,463",1.05,"308,669",5.70,"136,497",8.64,"41,617",4.06,"9,425",17.12,"1,980",2.27,36.66,1.25
2007M12,"22,958,360",0.36,"1,052,585",-3.69,"1,359,780",-5.38,"1,618,280",0.17,"1,620,326",0.72,"1,675,596",-4.82,"2,017,016",0.91,"1,866,769",1.68,"1,845,404",-0.26,"1,897,013",-1.58,"1,869,685",2.03,"1,674,991",1.73,"1,329,160",9.23,"788,663",2.92,"748,863",1.58,"597,005",1.76,"495,565",0.83,"310,951",5.64,"137,363",8.30,"41,807",3.52,"9,576",17.68,"1,962",0.93,36.69,1.23
2008M01,"22,966,459",0.38,"1,050,366",-3.66,"1,356,080",-5.17,"1,615,988",-0.04,"1,622,976",0.75,"1,667,138",-4.79,"2,016,955",0.97,"1,869,138",1.62,"1,844,160",-0.45,"1,893,435",-1.44,"1,870,950",1.94,"1,677,637",1.85,"1,340,330",8.87,"790,566",3.55,"750,417",1.49,"599,154",2.02,"495,796",0.66,"313,229",6.07,"138,303",8.33,"42,181",4.88,"9,721",16.43,"1,939",-1.57,36.74,1.24
2008M02,"22,973,622",0.41,"1,049,128",-3.36,"1,352,555",-5.05,"1,613,087",-0.29,"1,623,486",0.81,"1,662,511",-4.71,"2,016,551",0.89,"1,871,028",1.63,"1,839,328",-0.70,"1,890,061",-1.26,"1,880,004",2.58,"1,678,824",1.54,"1,346,285",8.35,"795,596",4.03,"751,702",1.62,"599,685",1.91,"495,189",0.54,"315,432",6.30,"138,987",8.39,"42,382",5.43,"9,838",15.71,"1,963",-1.85,36.77,1.24
2008M03,"22,978,800",0.43,"1,046,533",-3.43,"1,348,555",-4.97,"1,609,245",-0.50,"1,622,354",0.76,"1,658,976",-4.63,"2,015,137",0.72,"1,874,169",1.78,"1,836,360",-0.72,"1,887,768",-1.29,"1,885,760",2.70,"1,676,570",1.47,"1,358,500",8.41,"799,347",4.34,"752,836",1.63,"601,386",2.17,"494,818",0.49,"316,639",6.30,"139,591",8.53,"42,441",5.87,"9,847",15.08,"1,968",-0.61,36.81,1.27
2008M04,"22,983,286",0.42,"1,044,261",-3.29,"1,345,272",-4.81,"1,605,435",-0.78,"1,620,385",0.66,"1,657,434",-4.51,"2,014,294",0.62,"1,877,200",1.80,"1,835,121",-0.71,"1,884,419",-1.24,"1,888,632",2.51,"1,681,038",1.71,"1,365,334",8.42,"802,238",3.93,"753,981",1.68,"602,066",2.18,"494,662",0.49,"317,544",6.30,"139,685",8.22,"42,485",5.87,"9,845",13.57,"1,955",-1.46,36.84,1.26
2008M05,"22,988,428",0.41,"1,042,205",-3.17,"1,341,720",-4.70,"1,600,715",-1.13,"1,619,086",0.62,"1,656,024",-4.37,"2,013,507",0.52,"1,879,794",1.86,"1,833,902",-0.80,"1,883,361",-1.10,"1,888,702",2.19,"1,688,067",2.08,"1,368,394",7.79,"808,062",4.53,"754,170",1.66,"602,654",2.14,"494,539",0.51,"318,702",6.44,"140,362",8.07,"42,667",6.17,"9,862",12.84,"1,933",-3.11,36.87,1.26
2008M06,"22,994,262",0.40,"1,038,963",-3.04,"1,337,660",-4.60,"1,596,832",-1.39,"1,617,271",0.50,"1,654,641",-4.17,"2,012,251",0.38,"1,883,424",1.90,"1,833,001",-0.84,"1,883,730",-1.02,"1,889,516",1.99,"1,693,611",2.19,"1,375,759",7.67,"809,951",4.83,"754,621",1.63,"603,229",2.07,"494,677",0.45,"319,534",6.37,"140,904",7.92,"42,913",6.56,"9,866",12.04,"1,908",-4.70,36.91,1.26
2008M07,"23,000,827",0.39,"1,036,189",-3.00,"1,334,210",-4.37,"1,591,938",-1.65,"1,616,015",0.32,"1,652,004",-3.96,"2,010,787",0.18,"1,889,330",1.99,"1,831,878",-0.87,"1,884,009",-1.10,"1,890,450",1.85,"1,696,549",2.18,"1,384,606",7.87,"811,665",4.96,"755,476",1.61,"603,768",1.97,"494,699",0.33,"320,942",6.61,"141,517",7.70,"43,050",6.54,"9,854",11.29,"1,891",-4.64,36.94,1.26
2008M08,"23,005,067",0.37,"1,032,218",-3.09,"1,330,150",-4.28,"1,585,809",-1.94,"1,615,282",0.25,"1,649,166",-3.66,"2,006,742",-0.18,"1,896,274",2.23,"1,828,579",-0.99,"1,883,664",-1.09,"1,891,404",1.67,"1,701,902",2.34,"1,392,936",7.77,"814,318",5.03,"756,568",1.68,"604,540",1.94,"494,875",0.24,"323,031",6.72,"142,526",7.65,"43,268",6.54,"9,922",10.67,"1,893",-5.73,36.99,1.27
2008M09,"23,007,737",0.36,"1,029,629",-2.79,"1,327,040",-3.93,"1,578,660",-2.41,"1,612,942",0.04,"1,645,181",-3.38,"2,003,999",-0.45,"1,902,424",2.40,"1,828,081",-1.07,"1,882,059",-1.02,"1,891,312",1.52,"1,705,432",2.40,"1,400,603",7.60,"818,133",5.18,"757,398",1.67,"605,485",1.87,"494,916",0.20,"325,380",6.79,"143,500",7.26,"43,676",6.72,"10,014",9.19,"1,873",-8.14,37.03,1.26
2008M10,"23,016,257",0.35,"1,027,325",-2.70,"1,324,572",-3.54,"1,571,590",-2.88,"1,611,058",-0.17,"1,643,411",-2.92,"2,000,030",-0.83,"1,907,810",2.54,"1,825,799",-1.17,"1,880,485",-0.98,"1,896,157",1.68,"1,707,872",2.32,"1,408,596",7.43,"821,769",5.11,"759,202",1.77,"607,266",2.02,"494,519",0.02,"327,967",6.98,"144,806",7.10,"44,049",6.66,"10,112",8.57,"1,862",-10.18,37.08,1.26
2008M11,"23,027,672",0.36,"1,028,286",-2.42,"1,322,845",-3.18,"1,564,401",-3.34,"1,607,349",-0.57,"1,642,819",-2.47,"1,997,128",-0.93,"1,912,452",2.61,"1,824,618",-1.21,"1,880,138",-0.92,"1,895,509",1.53,"1,712,217",2.38,"1,414,562",7.10,"827,790",5.59,"760,833",1.72,"609,227",2.16,"495,108",-0.07,"329,867",6.87,"146,059",7.01,"44,426",6.75,"10,171",7.92,"1,867",-5.71,37.12,1.25
2008M12,"23,037,031",0.34,"1,026,206",-2.51,"1,319,870",-2.94,"1,559,127",-3.66,"1,605,952",-0.89,"1,642,305",-1.99,"1,994,567",-1.11,"1,916,670",2.67,"1,823,587",-1.18,"1,878,514",-0.98,"1,895,846",1.40,"1,715,897",2.44,"1,422,226",7.00,"834,044",5.75,"762,519",1.82,"609,541",2.10,"494,896",-0.13,"331,096",6.48,"147,409",7.31,"44,605",6.69,"10,281",7.36,"1,873",-4.54,37.16,1.26
2009M01,"23,046,177",0.35,"1,021,310",-2.77,"1,315,783",-2.97,"1,555,679",-3.73,"1,605,662",-1.07,"1,639,728",-1.64,"1,990,658",-1.30,"1,922,238",2.84,"1,821,183",-1.25,"1,876,136",-0.91,"1,895,502",1.31,"1,722,818",2.69,"1,429,843",6.68,"838,740",6.09,"762,775",1.65,"612,520",2.23,"495,641",-0.03,"333,327",6.42,"149,196",7.88,"45,077",6.87,"10,454",7.54,"1,907",-1.65,37.21,1.28
2009M02,"23,049,407",0.33,"1,022,390",-2.55,"1,310,896",-3.08,"1,553,430",-3.70,"1,606,511",-1.05,"1,634,832",-1.66,"1,987,739",-1.43,"1,926,158",2.95,"1,819,227",-1.09,"1,874,319",-0.83,"1,892,981",0.69,"1,723,914",2.69,"1,437,704",6.79,"846,776",6.43,"762,583",1.45,"613,639",2.33,"495,009",-0.04,"334,153",5.94,"149,631",7.66,"45,144",6.52,"10,448",6.20,"1,923",-2.04,37.23,1.26
2009M03,"23,058,550",0.35,"1,024,900",-2.07,"1,304,303",-3.28,"1,552,425",-3.53,"1,608,107",-0.88,"1,629,377",-1.78,"1,985,156",-1.49,"1,930,276",2.99,"1,815,048",-1.16,"1,871,013",-0.89,"1,894,798",0.48,"1,727,702",3.05,"1,444,074",6.30,"854,906",6.95,"762,590",1.30,"614,982",2.26,"495,030",0.04,"335,374",5.92,"150,702",7.96,"45,362",6.88,"10,496",6.59,"1,929",-1.98,37.27,1.24
