期間,進口合計_原始值,進口合計_年增率(%),進口合計_原始值,進口合計_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),出口合計_原始值,出口合計_年增率(%),出口合計_原始值,出口合計_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%)
2003M08,"360,208",16.39,"10,456.0",14.09,"69,653",9.53,"2,021.8",7.37,"253,533",20.01,"7,359.4",17.64,"33,205",11.92,963.9,9.72,"443,763",16.85,"12,918.9",14.54,902,12.05,26.3,10.04,"4,692",-0.70,136.6,-2.64,"438,169",17.09,"12,756.0",14.77,"341,829",22.42,"9,951.4",19.99,"96,340",1.42,"2,804.7",-0.59
2003M09,"377,443",3.85,"11,039.6",4.06,"66,605",-9.07,"1,948.1",-8.88,"271,309",8.25,"7,935.3",8.47,"35,565",7.18,"1,040.2",7.40,"448,926",12.16,"13,168.8",12.38,812,7.84,23.8,8.18,"5,541",17.15,162.5,17.33,"442,573",12.10,"12,982.5",12.33,"345,826",16.59,"10,144.5",16.83,"96,747",-1.46,"2,838.0",-1.25
2003M10,"370,616",3.17,"10,952.0",6.82,"76,740",-3.30,"2,267.8",0.13,"255,881",4.95,"7,561.5",8.68,"33,833",4.98,999.8,8.71,"460,599",10.95,"13,651.4",14.90,806,1.90,23.9,5.75,"5,479",3.34,162.4,7.05,"454,314",11.07,"13,465.1",15.02,"356,141",15.37,"10,555.4",19.47,"98,173",-2.17,"2,909.7",1.31
2003M11,"423,840",29.85,"12,454.9",32.60,"88,033",25.50,"2,586.9",28.15,"294,386",35.40,"8,650.8",38.26,"36,839",19.10,"1,082.6",21.64,"490,179",14.83,"14,446.8",17.27,924,-2.33,27.2,-0.37,"5,257",-6.97,154.9,-5.03,"483,998",15.16,"14,264.6",17.61,"383,834",19.31,"11,312.5",21.84,"100,164",1.63,"2,952.1",3.79
2003M12,"452,292",30.36,"13,255.9",33.38,"94,936",22.73,"2,782.4",25.57,"313,600",36.82,"9,191.1",39.98,"39,321",15.88,"1,152.4",18.55,"498,141",17.92,"14,642.6",20.66,997,-21.80,29.3,-19.95,"5,382",0.41,158.2,2.73,"491,762",18.27,"14,455.1",21.02,"385,784",22.06,"11,339.9",24.90,"105,978",6.27,"3,115.2",8.73
2004M01,"360,301",8.57,"10,618.9",11.22,"65,946",7.13,"1,943.6",9.75,"255,883",10.09,"7,541.5",12.78,"35,529",8.18,"1,047.1",10.83,"418,172",15.24,"12,361.0",18.06,775,-7.74,22.9,-5.37,"4,586",-11.04,135.6,-8.81,"412,810",15.67,"12,202.5",18.51,"327,584",20.85,"9,683.3",23.81,"85,226",-0.68,"2,519.3",1.76
2004M02,"441,851",50.12,"13,217.2",56.05,"86,896",48.77,"2,599.3",54.65,"317,974",51.29,"9,511.6",57.27,"33,149",42.56,991.7,48.19,"461,173",30.76,"13,836.8",35.94,"1,056",-0.56,31.7,3.59,"4,902",30.37,147.1,35.58,"455,215",30.86,"13,658.0",36.04,"365,178",34.89,"10,956.5",40.23,"90,037",16.71,"2,701.5",21.33
2004M03,"472,843",24.00,"14,152.7",28.86,"96,809",32.46,"2,897.7",37.65,"332,326",24.07,"9,946.9",28.94,"38,877",5.43,"1,163.6",9.57,"513,608",12.58,"15,419.1",17.01,"1,239",-19.81,37.2,-16.59,"5,604",8.86,168.3,13.18,"506,765",12.73,"15,213.7",17.17,"395,857",16.53,"11,884.1",21.12,"110,909",0.99,"3,329.6",4.96
2004M04,"436,314",19.36,"13,169.8",25.48,"87,347",34.70,"2,636.4",41.60,"309,840",17.08,"9,352.3",23.09,"34,927",7.36,"1,054.3",12.88,"485,537",16.34,"14,699.9",22.32,"1,177",-10.49,35.6,-6.07,"5,468",0.59,165.6,5.81,"478,892",16.63,"14,498.7",22.63,"374,315",21.96,"11,332.6",28.24,"104,577",0.85,"3,166.1",6.04
2004M05,"487,291",46.17,"14,589.5",52.51,"87,594",58.50,"2,622.5",65.36,"355,101",48.04,"10,631.8",54.47,"40,033",18.43,"1,198.6",23.58,"546,954",34.66,"16,425.2",40.52,"1,275",-2.89,38.3,1.32,"6,064",16.86,182.1,21.97,"539,616",35.01,"16,204.8",40.89,"422,805",41.46,"12,696.9",47.62,"116,811",15.88,"3,507.9",20.93
