期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
2002,"7,319,466",2.33,"6,169,631",3.53,"664,794",-1.35,"244,541",-0.86,"121,711",-7.66,-,--,"118,789",-16.00
2003,"5,923,072",-19.08,"4,852,745",-21.34,"574,501",-13.58,"212,216",-13.22,"123,886",1.79,-,--,"159,724",34.46
2004,"7,780,652",31.36,"6,428,530",32.47,"648,630",12.90,"260,345",22.68,"138,913",12.13,-,--,"304,234",90.47
