期間,流通卡數(千張)_原始值,流通卡數(千張)_年增率(%),簽帳金額-合計(新臺幣百萬元)_原始值,簽帳金額-合計(新臺幣百萬元)_年增率(%),簽帳金額-國內(新臺幣百萬元)_原始值,簽帳金額-國內(新臺幣百萬元)_年增率(%),簽帳金額-國外(新臺幣百萬元)_原始值,簽帳金額-國外(新臺幣百萬元)_年增率(%),預借現金-合計(新臺幣百萬元)_原始值,預借現金-合計(新臺幣百萬元)_年增率(%),預借現金-國內(新臺幣百萬元)_原始值,預借現金-國內(新臺幣百萬元)_年增率(%),預借現金-國外(新臺幣百萬元)_原始值,預借現金-國外(新臺幣百萬元)_年增率(%),循環信用餘額(新臺幣百萬元)_原始值,循環信用餘額(新臺幣百萬元)_年增率(%)
2009M03,"32,604",-9.30,"100,129",-5.86,"94,349",-5.51,"5,779",-11.25,"3,481",-53.87,"3,441",-54.11,40,-16.21,"239,031",-12.29
2009M04,"32,365",-9.40,"102,503",-8.63,"96,600",-8.23,"5,902",-14.72,"3,155",-57.58,"3,118",-57.82,37,-19.61,"232,887",-13.82
2009M05,"32,221",-9.43,"98,972",-12.90,"93,562",-12.31,"5,410",-21.91,"2,707",-67.55,"2,672",-67.80,35,-23.75,"231,081",-13.98
2009M06,"31,862",-10.11,"137,102",1.93,"130,897",2.42,"6,205",-7.33,"3,343",-61.19,"3,301",-61.49,42,-3.76,"226,758",-15.99
2009M07,"31,671",-9.92,"118,180",-0.73,"111,500",-0.18,"6,680",-9.07,"3,082",-64.72,"3,039",-65.02,42,-8.12,"222,731",-16.85
2009M08,"31,530",-10.16,"116,055",1.70,"109,503",1.82,"6,552",-0.27,"2,690",-66.75,"2,653",-67.04,37,-13.76,"218,707",-18.16
2009M09,"31,242",-10.51,"116,440",3.23,"110,117",4.31,"6,323",-12.54,"3,038",-68.34,"3,002",-68.56,37,-23.36,"216,395",-18.72
2009M10,"30,967",-10.78,"118,370",0.76,"112,029",1.52,"6,340",-11.05,"2,857",-55.86,"2,823",-56.09,35,-22.48,"213,730",-19.38
2009M11,"30,712",-10.30,"120,273",17.15,"113,894",17.91,"6,379",5.05,"2,701",-29.05,"2,666",-29.25,35,-9.24,"210,021",-18.67
2009M12,"30,567",-9.97,"134,968",10.04,"128,209",10.13,"6,759",8.41,"3,030",-24.18,"2,994",-24.24,36,-18.16,"208,107",-17.96
2010M01,"30,387",-8.92,"123,326",20.29,"116,956",20.59,"6,371",15.02,"2,804",1.46,"2,768",1.55,36,-5.06,"203,843",-19.22
2010M02,"30,243",-8.16,"116,367",16.46,"110,062",16.63,"6,305",13.64,"2,177",-21.91,"2,148",-21.96,29,-18.27,"204,212",-17.55
2010M03,"30,116",-7.63,"124,413",24.25,"117,660",24.71,"6,753",16.84,"2,805",-19.42,"2,771",-19.48,34,-14.25,"195,358",-18.27
2010M04,"30,084",-7.05,"116,223",13.38,"109,695",13.56,"6,528",10.59,"2,810",-10.95,"2,773",-11.09,37,0.75,"192,943",-17.15
2010M05,"30,116",-6.53,"120,561",21.81,"113,938",21.78,"6,623",22.42,"3,023",11.67,"2,988",11.82,35,-0.06,"190,645",-17.50
2010M06,"30,116",-5.48,"140,789",2.69,"133,627",2.09,"7,161",15.41,"2,930",-12.37,"2,892",-12.40,38,-9.84,"189,615",-16.38
2010M07,"30,164",-4.76,"126,443",6.99,"118,777",6.53,"7,666",14.76,"2,790",-9.46,"2,752",-9.45,38,-10.36,"188,246",-15.48
2010M08,"30,247",-4.07,"133,702",15.21,"126,248",15.29,"7,454",13.76,"2,810",4.45,"2,772",4.49,38,1.09,"185,912",-15.00
2010M09,"30,355",-2.84,"126,175",8.36,"118,844",7.93,"7,331",15.94,"2,675",-11.96,"2,637",-12.15,38,3.47,"185,332",-14.35
2010M10,"30,471",-1.60,"128,710",8.74,"121,527",8.48,"7,182",13.29,"2,533",-11.35,"2,497",-11.55,36,4.63,"184,080",-13.87
