期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),看護補助_原始值,看護補助_年增率(%),看護補助_原始值,看護補助_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),器具補助_原始值,器具補助_年增率(%),器具補助_原始值,器具補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%)
2011M07,265,-8.30,"18,872",-18.33,8,14.29,290,-1.02,112,-8.20,"8,634",-6.96,0,--,0,--,31,29.17,"3,920",2.08,-,--,-,--,-,--,"1,372",12.37,83,2.47,648,-10.87,28,-34.88,"2,845",-33.84,1,-66.67,273,-82.18,0,-100.00,0,-100.00,0,--,0,--,2,-60.00,891,-449.41,0,--,0,--,-,--,-,--
2011M08,250,-8.42,"22,687",2.73,4,-33.33,287,3.61,89,-3.26,"8,509",-8.45,0,-100.00,0,-100.00,30,-11.76,"3,800",-4.28,-,--,-,--,-,--,"1,353",10.00,75,-11.76,520,1.56,45,-10.00,"4,500",-10.00,4,300.00,"1,269",567.89,2,100.00,"1,582",117.31,0,--,0,--,1,-50.00,867,2.00,0,--,0,--,-,--,-,--
2011M09,304,4.11,"32,207",39.52,6,50.00,290,1.05,116,-11.45,"8,541",-5.29,2,100.00,60,0.00,24,-20.00,"3,780",0.53,-,--,-,--,-,--,"1,349",10.03,69,-5.48,668,24.16,61,35.56,"6,050",34.44,13,225.00,"4,305",163.46,4,--,"3,014",--,0,--,0,--,1,-75.00,"1,220",-33.62,8,--,"2,931","1,202.67",-,--,-,--
2011M10,314,-18.44,"20,105",-20.33,6,-25.00,300,13.21,157,-23.41,"8,131",-9.57,0,--,0,-100.00,33,-19.51,"3,740",-3.36,-,--,-,--,-,--,"1,352",8.07,75,4.17,806,36.15,39,-23.53,"3,900",-23.53,1,--,393,"2,356.25",0,-100.00,0,-100.00,0,--,0,--,1,-75.00,652,-73.40,2,--,832,--,-,--,-,--
2011M11,263,-8.68,"20,660",-15.08,11,120.00,320,15.52,103,-8.85,"8,153",-9.97,0,--,0,--,25,-3.85,"3,680",-3.66,-,--,-,--,-,--,"1,307",2.83,72,-30.77,656,-22.91,44,29.41,"4,400",27.54,1,0.00,27,58.82,1,--,505,29.82,0,--,0,--,6,100.00,"1,613",-42.78,0,-100.00,0,-100.00,-,--,-,--
2011M12,275,-13.52,"24,087",-9.78,1,-83.33,306,-3.47,109,-12.80,"7,980",-8.51,0,--,0,--,27,0.00,"3,650",-2.93,-,--,-,--,-,--,"1,345",4.02,86,-19.63,553,-50.05,43,16.22,"4,300",16.22,0,-100.00,883,-8.78,2,--,"1,352",--,0,--,0,--,7,75.00,"2,372",-19.21,0,-100.00,"1,347",-65.43,-,--,-,--
2012M01,260,-16.13,"22,593",-7.90,8,14.29,385,39.49,99,-19.51,"9,077",4.19,0,--,0,--,27,-30.77,"4,065",5.58,-,--,-,--,-,--,"1,345",4.02,81,-6.90,654,4.64,39,-11.36,"3,900",-11.36,3,--,784,--,2,-60.00,"1,609",-43.50,0,--,0,--,1,-80.00,474,-81.25,0,--,301,--,-,--,-,--
2012M02,318,26.19,"22,299",23.64,8,33.33,368,37.31,149,0.68,"9,302",8.20,0,--,0,--,40,37.93,"4,278",16.25,-,--,-,--,-,--,"1,458",2.75,68,47.83,547,39.19,49,145.00,"4,967",148.35,1,--,170,--,1,0.00,555,-27.73,0,--,0,--,2,0.00,971,6.59,0,--,-315,--,-,--,-,--
2012M03,347,15.67,"26,857",17.56,12,20.00,396,38.46,149,8.76,"9,492",8.99,0,--,0,--,37,-11.90,"4,339",9.02,-,--,-,--,-,--,"1,515",6.99,89,48.33,668,0.91,51,8.51,"5,050",7.45,1,-50.00,493,-60.37,3,200.00,"1,687",116.84,0,--,0,--,5,400.00,"3,304",208.21,0,--,-88,--,-,--,-,--
2012M04,287,19.58,"24,891",21.00,5,66.67,390,48.85,104,-8.77,"9,168",7.33,0,--,0,--,25,-19.35,"4,083",11.56,-,--,-,--,-,--,"1,467",5.54,86,50.88,706,51.18,60,81.82,"5,950",80.30,2,--,407,--,1,0.00,805,14.51,0,--,0,--,2,100.00,951,74.18,2,--,964,-43.36,-,--,-,--
