期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%)
2011M01,"69,454",10.62,"1,794,363",5.20,25.8,-4.90,...,--,"15,431",1.23,"762,104",2.05,49.4,0.81,"1,263,768",3.98,"3,155",9.89,"631,384",5.32,200.1,-4.16,...,--,"50,774",13.73,"400,493",11.48,7.9,-1.98,"1,089,375",12.68,"46,769",14.30,"373,189",11.68,8.0,-2.30,"988,277",12.95,"4,005",7.47,"27,304",8.80,6.8,1.24,"101,098",10.15
2011M02,"68,253",20.22,"1,904,514",15.68,27.9,-3.78,...,--,"17,779",22.70,"816,052",20.40,45.9,-1.87,"1,292,213",16.82,"3,440",12.88,"709,820",7.98,206.4,-4.34,...,--,"46,841",19.55,"377,864",21.52,8.1,1.65,"1,023,503",20.31,"42,218",21.18,"346,623",22.78,8.2,1.32,"903,346",21.43,"4,623",6.44,"31,241",9.14,6.8,2.53,"120,157",12.51
2011M03,"72,286",11.00,"1,850,142",6.69,25.6,-3.88,...,--,"16,420",3.85,"782,797",3.95,47.7,0.09,"1,261,880",3.59,"3,258",10.89,"639,937",6.23,196.4,-4.21,...,--,"52,466",13.22,"426,936",12.83,8.1,-0.34,"1,135,175",13.83,"48,818",14.09,"400,966",13.38,8.2,-0.62,"1,042,361",14.00,"3,648",2.72,"25,970",4.99,7.1,2.22,"92,814",11.95
2011M04,"72,437",15.74,"1,909,074",11.25,26.4,-3.88,...,--,"17,639",13.65,"806,633",11.27,45.7,-2.09,"1,284,648",9.49,"3,477",12.50,"688,709",8.61,198.1,-3.45,...,--,"51,080",16.26,"412,977",15.77,8.1,-0.43,"1,104,663",16.78,"47,205",17.27,"385,835",16.48,8.2,-0.68,"1,005,773",17.23,"3,875",5.22,"27,142",6.51,7.0,1.23,"98,890",12.35
2011M05,"70,487",9.72,"1,840,346",5.96,26.1,-3.43,...,--,"16,699",5.25,"782,198",7.19,46.8,1.84,"1,253,532",6.21,"3,318",3.30,"648,854",1.21,195.5,-2.03,...,--,"50,433",11.76,"409,060",11.86,8.1,0.09,"1,089,479",12.30,"46,653",12.49,"382,386",12.35,8.2,-0.12,"992,751",12.50,"3,780",3.46,"26,675",5.22,7.1,1.70,"96,728",10.22
2011M06,"67,763",11.24,"1,830,905",9.70,27.0,-1.39,...,--,"16,092",7.65,"778,965",8.46,48.4,0.75,"1,251,675",7.16,"3,380",13.32,"664,489",9.78,196.6,-3.12,...,--,"48,261",12.37,"387,262",12.15,8.0,-0.20,"1,041,420",12.87,"44,439",12.56,"360,738",11.91,8.1,-0.58,"944,566",12.53,"3,822",10.25,"26,525",15.50,6.9,4.77,"96,854",16.28
2011M07,"74,100",11.77,"2,035,386",9.89,27.5,-1.69,...,--,"17,663",8.03,"891,156",6.25,50.5,-1.65,"1,427,456",4.59,"3,691",16.78,"725,503",13.09,196.6,-3.16,...,--,"52,704",12.87,"418,462",12.63,7.9,-0.21,"1,137,173",13.32,"48,204",13.45,"388,099",13.00,8.1,-0.39,"1,022,866",13.32,"4,500",7.00,"30,363",8.09,6.7,1.02,"114,307",13.33
2011M08,"73,613",10.82,"1,975,478",6.93,26.8,-3.51,...,--,"17,912",5.85,"882,263",5.85,49.3,0.00,"1,408,019",4.30,"3,501",9.80,"680,754",5.64,194.4,-3.79,...,--,"52,173",12.81,"412,292",11.69,7.9,-0.99,"1,124,799",12.63,"47,806",13.71,"382,741",12.22,8.0,-1.31,"1,014,037",13.25,"4,366",3.79,"29,551",5.31,6.8,1.47,"110,762",7.24
2011M09,"71,212",15.55,"1,903,874",16.72,26.7,1.02,...,--,"17,274",11.01,"821,820",15.64,47.6,4.17,"1,320,683",13.89,"3,475",21.25,"672,043",17.77,193.4,-2.88,...,--,"50,431",16.81,"409,811",17.22,8.1,0.35,"1,105,076",18.84,"46,440",16.80,"380,851",16.85,8.2,0.04,"1,002,824",18.51,"3,991",16.94,"28,961",22.42,7.3,4.68,"102,252",22.21
2011M10,"74,856",11.58,"1,962,450",11.68,26.2,0.09,...,--,"18,212",11.61,"818,277",8.47,44.9,-2.81,"1,295,226",6.31,"3,702",18.87,"715,458",15.73,193.3,-2.64,...,--,"52,895",11.13,"428,420",11.46,8.1,0.30,"1,167,220",14.23,"48,613",11.17,"398,014",11.42,8.2,0.22,"1,061,262",14.29,"4,283",10.63,"30,405",12.07,7.1,1.30,"105,958",13.67
