期間,收寄函件(千件)_原始值,收寄函件(千件)_年增率(%),收寄包裹(千件)_原始值,收寄包裹(千件)_年增率(%),快捷郵件(千件)_原始值,快捷郵件(千件)_年增率(%),國民通信率(件／人)_原始值,國民通信率(件／人)_年增率(%),儲金戶數(戶)_原始值,儲金戶數(戶)_年增率(%),結存金額(新台幣百萬元)_原始值,結存金額(新台幣百萬元)_年增率(%),匯兌-開發張數(千張)_原始值,匯兌-開發張數(千張)_年增率(%),匯兌-開發金額(新台幣百萬元)_原始值,匯兌-開發金額(新台幣百萬元)_年增率(%),匯兌-兌付張數(千張)_原始值,匯兌-兌付張數(千張)_年增率(%),匯兌-兌付金額(新台幣百萬元)_原始值,匯兌-兌付金額(新台幣百萬元)_年增率(%),簡易壽險保費收入(新台幣千元)_原始值,簡易壽險保費收入(新台幣千元)_年增率(%)
2004M05,"238,668",3.24,831,8.04,453,-20.88,10.55,-,"29,715,276",1.22,"3,229,881",3.29,"1,099",-5.77,"105,528",23.38,"1,126",-4.89,"63,742",31.88,"8,918,470",6.68
2004M06,"241,527",6.34,985,31.97,451,2.94,10.67,-,"29,723,318",1.29,"3,233,308",3.76,"1,232",13.15,"106,220",27.76,"1,236",11.14,"64,733",33.72,"9,083,170",8.46
2004M07,"242,592",-0.78,964,44.34,458,-5.86,10.71,-,"29,756,503",1.33,"3,289,002",4.95,"1,142",2.54,"107,641",6.98,"1,201",2.38,"74,835",37.85,"8,930,179",5.36
2004M08,"227,013",5.07,905,43.46,457,2.70,10.02,-,"29,802,053",1.41,"3,287,908",5.07,"1,106",4.13,"103,986",16.56,"1,138",5.18,"68,371",37.39,"8,921,802",5.13
2004M09,"221,364",3.26,"1,151",55.69,529,15.63,9.77,-,"29,851,105",1.45,"3,295,745",5.54,"1,261",6.48,"106,151",8.53,"1,265",3.92,"68,281",29.60,"9,648,740",12.49
2004M10,"224,392",-5.52,"1,007",37.77,517,7.45,9.90,-,"29,891,254",1.41,"3,312,861",6.00,"1,125",2.91,"103,092",7.62,"1,181",3.69,"66,342",19.86,"10,116,472",16.18
2004M11,"250,208",18.16,"1,166",68.57,573,19.49,11.04,-,"29,939,076",1.48,"3,324,607",6.31,"1,204",17.80,"110,776",31.72,"1,234",15.74,"73,408",33.64,"9,733,655",11.20
2004M12,"273,460",3.67,"1,324",12.76,538,-18.12,12.06,-,"29,980,033",1.52,"3,341,590",6.82,"1,409",-3.56,"119,189",7.31,"1,395",1.99,"80,065",18.38,"11,025,471",-49.95
2005M01,"226,885",12.56,"1,522",59.33,561,11.74,10.00,-,"30,037,070",1.51,"3,457,346",6.16,"1,622",21.97,"121,210",25.53,"1,516",3.54,"90,753",28.34,"8,948,441",4.81
2005M02,"183,814",-15.55,"1,119",33.82,419,-2.62,8.10,-,"30,136,984",1.61,"3,494,942",7.21,998,-2.61,"94,710",-3.96,"1,124",5.93,"64,126",17.47,"9,094,474",2.12
