期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1990M10,569,-12.33,16,-33.33,-,--,23,-8.00,17,0.00,4,-42.86,13,18.18,...,...,...,...,29,-9.38,3,0.00,10,-28.57,-,--,11,-15.38,55,-12.70,9,-25.00,9,-76.32,103,-28.97,84,-1.18,110,15.79,27,22.73,7,-61.11,39,56.00,499,114.16,48,200.00,1,0.00,34,142.86,18,260.00,8,14.29,41,355.56,...,...,...,...,19,171.43,9,350.00,15,25.00,1,--,19,280.00,53,70.97,25,316.67,15,275.00,48,60.00,38,58.33,57,67.65,12,20.00,3,200.00,35,133.33
1990M11,662,2.16,16,23.08,-,--,27,8.00,19,-5.00,8,60.00,16,14.29,...,...,...,...,33,-8.33,7,40.00,7,-12.50,1,--,9,-18.18,64,-11.11,13,18.18,18,12.50,117,-10.69,93,-2.11,142,20.34,20,-4.76,10,-16.67,42,23.53,"1,276",477.38,54,671.43,3,--,82,331.58,66,"1,550.00",17,"1,600.00",68,466.67,...,...,...,...,55,266.67,6,100.00,28,"1,300.00",1,--,16,100.00,158,731.58,33,725.00,15,275.00,157,324.32,152,533.33,158,393.75,57,612.50,41,583.33,109,581.25
1990M12,519,-5.64,19,26.67,2,0.00,17,-29.17,16,-11.11,4,-55.56,8,-11.11,...,...,...,...,21,-43.24,4,300.00,10,-56.52,-,--,8,60.00,74,8.82,13,18.18,15,-11.76,94,-6.93,77,8.45,86,1.18,13,-35.00,9,28.57,29,7.41,"1,168",41.06,72,9.09,3,200.00,141,281.08,51,27.50,20,42.86,78,36.84,...,...,...,...,24,-4.00,17,325.00,28,-9.68,1,--,22,100.00,117,34.48,42,16.67,14,600.00,152,58.33,93,29.17,154,58.76,32,23.08,11,-63.33,96,0.00
1991M01,645,27.22,19,46.15,1,--,25,78.57,24,20.00,5,-37.50,12,100.00,...,...,...,...,36,38.46,2,-60.00,15,87.50,1,0.00,6,-50.00,57,9.62,16,14.29,13,18.18,128,42.22,101,44.29,118,43.90,24,26.32,12,0.00,30,-31.82,215,-65.54,5,-92.42,-,--,15,-50.00,10,-44.44,5,-44.44,13,-77.59,...,...,...,...,12,-53.85,1,-90.00,8,-68.00,-,--,6,-25.00,22,-68.57,8,-61.90,4,-20.00,26,-70.45,17,-60.47,39,-9.30,7,-69.57,2,-92.31,15,-71.15
1991M02,528,46.67,22,120.00,-,--,21,61.54,10,0.00,7,75.00,9,-18.18,...,...,...,...,20,-16.67,3,--,14,100.00,-,--,14,133.33,48,37.14,15,36.36,8,-20.00,111,60.87,73,23.73,92,80.39,21,31.25,9,28.57,31,82.35,291,76.36,15,200.00,-,--,29,123.08,20,100.00,5,150.00,22,175.00,...,...,...,...,11,57.14,3,50.00,2,-33.33,-,--,5,0.00,25,47.06,27,800.00,4,100.00,46,100.00,26,73.33,29,-17.14,4,-42.86,2,100.00,16,166.67
1991M03,427,-32.86,20,53.85,-,--,20,-39.39,16,-23.81,5,-50.00,8,-46.67,...,...,...,...,25,-44.44,3,0.00,9,0.00,1,--,6,-50.00,38,-37.70,14,-26.32,6,-66.67,88,-20.00,50,-31.51,76,-33.33,21,-8.70,5,-64.29,16,-61.90,500,98.41,23,155.56,-,--,21,23.53,12,-7.69,11,83.33,33,120.00,...,...,...,...,12,140.00,8,300.00,5,-54.55,-,--,19,375.00,71,115.15,12,100.00,6,200.00,56,133.33,74,146.67,68,65.85,22,214.29,10,66.67,37,76.19
1991M04,501,0.20,13,-38.10,-,--,29,52.63,14,7.69,6,50.00,17,54.55,...,...,...,...,21,-19.23,5,150.00,10,-16.67,-,--,8,100.00,42,-10.64,13,30.00,11,-26.67,90,-13.46,79,61.22,80,-23.81,26,0.00,12,20.00,25,31.58,200,-0.50,8,0.00,-,--,18,5.88,12,100.00,6,0.00,10,25.00,...,...,...,...,9,12.50,4,300.00,7,-36.36,1,--,1,-75.00,16,-38.46,3,-62.50,5,66.67,27,68.75,17,-15.00,32,0.00,5,-44.44,3,-66.67,16,77.78
1991M05,559,25.06,16,-30.43,1,--,21,16.67,16,77.78,6,500.00,5,-37.50,...,...,...,...,27,17.39,3,-25.00,10,66.67,-,--,3,-70.00,62,26.53,12,20.00,8,0.00,111,27.59,71,24.56,121,39.08,28,27.27,11,175.00,27,35.00,215,7.50,16,166.67,-,--,22,37.50,7,-30.00,5,66.67,7,-30.00,...,...,...,...,7,75.00,2,--,6,-53.85,-,--,5,66.67,31,40.91,2,-80.00,2,-66.67,36,56.52,18,5.88,27,-15.62,5,-37.50,5,-44.44,12,50.00
1991M06,586,1.21,17,-19.05,1,--,23,27.78,21,40.00,3,-78.57,11,10.00,...,...,...,...,31,29.17,2,0.00,14,16.67,-,--,6,50.00,81,17.39,18,20.00,9,-18.18,114,11.76,75,-21.88,98,11.36,20,-23.08,10,-28.57,32,-13.51,272,-85.68,11,-88.42,-,--,26,-75.00,7,-87.93,7,-79.41,18,-90.27,...,...,...,...,7,-90.67,2,-85.71,3,-94.92,-,--,1,-98.44,28,-88.76,8,-82.61,9,-43.75,28,-88.66,30,-89.17,52,-63.64,11,-83.82,7,-66.67,17,-87.86
1991M07,639,3.90,25,108.33,-,--,33,-2.94,24,14.29,5,-28.57,13,44.44,...,...,...,...,22,-29.03,8,33.33,8,-50.00,-,--,10,42.86,67,15.52,14,27.27,12,-7.69,117,0.86,83,-8.79,128,17.43,26,-3.70,14,40.00,30,-16.67,283,8.02,6,-45.45,-,--,22,-15.38,11,22.22,3,-57.14,10,-23.08,...,...,...,...,10,0.00,5,66.67,8,-11.11,-,--,5,400.00,29,-6.45,13,116.67,5,0.00,37,27.59,26,0.00,56,47.37,10,11.11,4,-50.00,23,9.52
