期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),換匯_原始值,換匯_年增率(%),換匯_原始值,換匯_年增率(%),換匯換利_原始值,換匯換利_年增率(%),換匯換利_原始值,換匯換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006M03,"658,181",-6.23,"461,215",197.27,"1,174,335",2.05,"1,429,584",81.29,"133,186",21.00,"1,544",--,"46,097",-38.52,"476,865",33.54,"39,513",-51.34,"472,278",38.59,"2,051,312",-3.19,"2,841,486",73.10
2006M04,"674,999",14.42,"438,440",166.15,"962,908",-0.29,"1,192,464",51.28,"131,339",80.31,135,-36.92,"35,925",-50.50,"291,199",14.10,"24,050",-65.27,"283,682",13.85,"1,829,221",3.33,"2,205,920",51.34
2006M05,"685,862",35.98,"449,593",172.12,"938,995",13.34,"1,421,036",61.36,"154,935",67.74,320,119.18,"61,832",2.01,"522,667",90.35,"45,443",-14.12,"513,580",81.77,"1,887,067",22.64,"2,907,196",81.34
2006M06,"675,998",9.11,"438,637",117.84,"1,009,798",1.03,"1,541,352",51.59,"157,990",31.17,"2,873",-32.62,"29,260",-40.80,"860,176",248.83,"17,515",-58.89,"843,024",245.78,"1,890,561",3.22,"3,686,062",115.21
2006M07,"594,587",-1.39,"599,120",143.96,"963,666",-4.13,"1,988,178",103.85,"93,699",7.95,"1,136",-29.88,"37,897",-40.14,"455,933",59.19,"31,856",-44.53,"449,586",61.29,"1,721,705",-5.18,"3,493,953",95.45
2006M08,"633,159",1.61,"617,356",317.02,"814,573",-21.02,"2,287,632",101.88,"125,040",-6.86,561,-84.98,"54,005",-32.85,"640,808",76.47,"50,813",-38.88,"629,618",75.35,"1,677,590",-14.07,"4,175,975",108.06
2006M09,"609,695",-3.31,"596,089",216.01,"886,066",-9.71,"2,127,536",93.67,"127,799",-7.91,"13,337","1,058.73","50,428",-31.20,"689,187",157.85,"44,737",-37.71,"681,750",165.00,"1,718,725",-9.34,"4,107,899",126.60
2006M10,"685,215",7.08,"762,790",291.39,"869,869",-21.65,"2,225,355",102.67,"87,455",24.70,747,60.65,"39,303",-9.69,"408,087",-3.17,"40,070",1.49,"395,297",-4.66,"1,721,912",-9.53,"3,792,276",78.09
2006M11,"636,162",4.46,"911,634",304.49,"850,126",-15.43,"2,821,105",169.89,"106,756",-35.40,"10,004",--,"37,430",6.99,"478,725",-4.18,"38,880",22.84,"443,459",-10.41,"1,669,354",-9.57,"4,664,927",105.94
2006M12,"826,553",4.68,"824,807",136.52,"953,209",0.62,"2,514,263",78.07,"105,513",-16.43,"12,163",-25.39,"53,075",8.76,"504,376",-21.54,"41,873",23.64,"468,827",-26.79,"1,980,223",1.77,"4,324,436",41.31
2007M01,"862,048",19.22,"795,487",199.19,"934,709",8.88,"2,591,181",131.60,"88,314",-17.22,"2,755","1,643.67","60,478",5.93,"400,975",-6.14,"54,915",6.17,"362,849",-13.88,"2,000,464",11.32,"4,153,247",85.96
