期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2008M03,797,-14.48,"3,945,448",-38.89,204,-11.30,"2,059,767","1,349.11",18,5.88,"1,266",2.43,53,-27.40,"62,573",-48.20,4,-83.33,752,-77.91,471,-2.89,"1,821,089",-70.57,11,-70.27,28,55.56,8,-83.33,0,--,0,--,0,--,0,--
2008M04,952,-17.22,"1,856,561",-76.18,241,-1.63,"102,824",-53.91,13,-45.83,"1,724",-43.08,73,-21.51,"68,820",-34.18,48,128.57,"18,762",93.82,464,-37.97,"1,664,430",-77.67,39,550.00,35,600.00,39,457.14,0,-100.00,0,--,0,--,0,--
2008M05,878,4.90,"1,426,535",-68.13,244,12.96,"84,961",23.95,56,250.00,"30,115","2,169.40",41,-53.41,"91,615",6.07,9,-82.35,"2,923",45.71,488,26.75,"1,216,922",-71.82,12,-65.71,22,83.33,6,-82.35,0,--,0,--,0,--,0,--
2008M06,"1,298",28.77,"1,511,314",-47.66,234,24.47,"122,514",-52.02,22,-21.43,"4,821",67.16,85,18.06,"109,584",114.24,18,-76.00,"54,916",742.53,838,35.16,"1,219,479",-52.57,25,150.00,21,162.50,55,"1,275.00",0,--,0,--,0,-100.00,0,-100.00
2008M07,814,-4.01,"1,308,791",-58.63,276,43.75,"136,514",-11.76,31,-11.43,"17,911",505.92,46,-48.89,"123,200",268.70,2,-95.24,13,-99.71,421,-0.24,"1,024,930",-47.93,6,-75.00,10,0.00,1,-96.88,21,"2,000.00","6,223",-99.38,0,--,0,--
2008M08,809,-19.26,"5,838,107",265.21,218,2.83,"188,419",6.97,12,-45.45,"3,587",173.61,37,-51.95,"29,060",14.05,3,-85.00,324,-81.29,471,-28.42,"5,616,323",302.92,29,314.29,16,700.00,21,425.00,2,--,394,--,0,--,0,--
2008M09,"1,190",30.48,"2,492,004",109.82,276,19.48,"688,912",331.62,19,5.56,"2,522",120.84,108,61.19,"40,436",9.31,27,-50.91,"32,645",98.10,675,47.38,"1,727,488",77.45,27,-25.00,39,254.55,19,-47.22,0,--,0,--,0,--,0,--
2008M10,787,-32.62,"1,125,379",-28.45,277,19.40,"117,246",-3.83,7,-69.57,715,-95.92,65,-21.69,"189,176",366.44,23,-30.30,"49,922",193.66,370,-52.75,"768,289",-44.16,20,233.33,14,366.67,9,80.00,2,--,30,--,0,--,0,--
2008M11,768,-18.47,"1,247,852",-33.29,232,3.11,"271,548",51.24,3,-86.36,84,-86.23,63,-8.70,"100,171",99.27,30,11.11,"18,348",-11.58,415,-20.04,"857,700",-47.04,17,-59.52,4,-50.00,4,-86.21,0,-100.00,0,-100.00,0,--,0,--
2008M12,"1,045",19.98,"1,381,502",-58.49,272,38.07,"748,923",497.05,4,-75.00,594,-54.06,40,-53.49,"52,918",61.50,15,-82.14,"16,501",-23.03,622,34.63,"562,467",-81.90,45,200.00,20,400.00,23,360.00,4,100.00,99,-99.75,0,--,0,--
2009M01,644,-30.68,"808,566",-48.71,235,16.34,"337,539",273.69,13,-31.58,"3,056",76.55,67,-14.10,"57,081",-66.26,44,29.41,"14,266",-18.62,260,-54.62,"396,624",-69.44,13,116.67,9,-35.71,3,0.00,0,--,0,--,0,--,0,--
2009M02,838,19.89,"4,401,821",205.78,279,18.22,"3,295,064",515.23,13,-31.58,"1,452",-1.76,66,120.00,"65,413",12.71,15,25.00,"14,878","2,528.62",334,17.19,"1,024,602",21.42,66,50.00,30,-6.25,34,-17.07,1,--,411,--,0,--,0,--
2009M03,"1,193",49.69,"1,685,435",-57.28,314,53.92,"384,041",-81.36,13,-27.78,"2,804",121.48,68,28.30,"68,571",9.59,28,600.00,"22,743","2,924.34",731,55.20,"1,207,276",-33.71,11,0.00,8,-71.43,20,150.00,0,--,0,--,0,--,0,--
2009M04,828,-13.03,"1,002,878",-45.98,274,13.69,"337,866",228.59,17,30.77,"17,528",916.71,36,-50.68,"47,968",-30.30,20,-58.33,"6,264",-66.61,360,-22.41,"593,251",-64.36,50,28.21,42,20.00,29,-25.64,0,--,0,--,0,--,0,--
2009M05,916,4.33,"1,639,347",14.92,316,29.51,"720,653",748.22,8,-85.71,"1,042",-96.54,89,117.07,"62,416",-31.87,88,877.78,"46,549","1,492.51",393,-19.47,"808,659",-33.55,3,-75.00,11,-50.00,7,16.67,1,--,28,--,0,--,0,--
2009M06,"1,271",-2.08,"1,518,672",0.49,336,43.59,"735,262",500.15,10,-54.55,"2,451",-49.16,54,-36.47,"27,494",-74.91,12,-33.33,"4,394",-92.00,725,-13.48,"749,071",-38.57,45,80.00,53,152.38,36,-34.55,0,--,0,--,0,--,0,--
2009M07,760,-6.63,"1,392,422",6.39,269,-2.54,"738,366",440.87,8,-74.19,"1,118",-93.76,66,43.48,"53,703",-56.41,7,250.00,488,"3,653.85",368,-12.59,"598,746",-41.58,11,83.33,16,60.00,15,"1,400.00",0,-100.00,0,-100.00,0,--,0,--
2009M08,802,-0.87,"1,632,137",-72.04,273,25.23,"531,916",182.30,8,-33.33,902,-74.85,46,24.32,"137,025",371.52,17,466.67,"45,322","13,888.27",403,-14.44,"916,971",-83.67,8,-72.41,33,106.25,14,-33.33,0,-100.00,0,-100.00,0,--,0,--
2009M09,"1,051",-11.68,"2,143,956",-13.97,325,17.75,"589,374",-14.45,11,-42.11,"3,594",42.51,59,-45.37,"36,084",-10.76,68,151.85,"36,189",10.86,375,-44.44,"774,041",-55.19,76,181.48,85,117.95,49,157.89,0,--,0,--,3,--,"704,674",--
2009M10,"1,302",65.44,"1,500,721",33.35,321,15.88,"223,136",90.31,14,100.00,"20,310","2,740.56",50,-23.08,"48,277",-74.48,19,-17.39,"20,077",-59.78,745,101.35,"1,188,922",54.75,46,130.00,65,364.29,42,366.67,0,-100.00,0,-100.00,0,--,0,--
2009M11,783,1.95,"2,336,615",87.25,275,18.53,"976,148",259.48,7,133.33,"5,297","6,205.95",40,-36.51,"49,092",-50.99,16,-46.67,"34,935",90.40,337,-18.80,"1,271,143",48.20,32,88.24,46,"1,050.00",30,650.00,0,--,0,--,0,--,0,--
2009M12,771,-26.22,"1,920,463",39.01,125,-54.04,"920,627",22.93,8,100.00,"2,841",378.28,62,55.00,"51,464",-2.75,46,206.67,"7,913",-52.05,511,-17.85,"937,618",66.70,3,-93.33,10,-50.00,6,-73.91,0,-100.00,0,-100.00,0,--,0,--
2010M01,648,0.62,"791,559",-2.10,281,19.57,"238,166",-29.44,11,-15.38,"3,442",12.63,37,-44.78,"88,268",54.64,11,-75.00,"10,516",-26.29,278,6.92,"451,168",13.75,4,-69.23,21,133.33,5,66.67,0,--,0,--,0,--,0,--
2010M02,818,-2.39,"10,702,250",143.13,286,2.51,"10,164,764",208.48,10,-23.08,913,-37.12,81,22.73,"71,074",8.65,83,453.33,"14,154",-4.87,238,-28.74,"451,345",-55.95,33,-50.00,52,73.33,35,2.94,0,-100.00,0,-100.00,0,--,0,--
2010M03,"1,093",-8.38,"2,673,572",58.63,296,-5.73,"466,723",21.53,17,30.77,"4,644",65.62,47,-30.88,"71,025",3.58,21,-25.00,"6,438",-71.69,672,-8.07,"2,124,741",75.99,5,-54.55,23,187.50,12,-40.00,0,--,0,--,0,--,0,--
2010M04,859,3.74,"4,105,869",309.41,346,26.28,"3,271,138",868.18,10,-41.18,"1,008",-94.25,45,25.00,"43,561",-9.19,23,15.00,642,-89.75,297,-17.50,"789,519",33.08,35,-30.00,62,47.62,41,41.38,0,--,0,--,0,--,0,--
2010M05,690,-24.67,"1,313,887",-19.85,206,-34.81,"498,097",-30.88,6,-25.00,775,-25.62,75,-15.73,"63,797",2.21,58,-34.09,"13,367",-71.28,304,-22.65,"737,851",-8.76,3,0.00,19,72.73,16,128.57,0,-100.00,0,-100.00,3,--,0,--
