期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
2005M11,"417,379",6.12,...,...,...,...,...,...,...,...,...,...,...,...,"5,372,671",2.25,...,...,...,...,...,...,...,...,...,...,...,...
2005M12,"418,635",6.25,...,...,...,...,...,...,...,...,...,...,...,...,"5,369,278",2.42,...,...,...,...,...,...,...,...,...,...,...,...
2006M01,"420,260",6.47,...,...,...,...,...,...,...,...,...,...,...,...,"5,382,995",2.25,...,...,...,...,...,...,...,...,...,...,...,...
2006M02,"421,521",6.55,...,...,...,...,...,...,...,...,...,...,...,...,"5,356,262",2.49,...,...,...,...,...,...,...,...,...,...,...,...
2006M03,"423,131",6.82,...,...,...,...,...,...,...,...,...,...,...,...,"5,364,292",2.88,...,...,...,...,...,...,...,...,...,...,...,...
2006M04,"424,702",6.93,...,...,...,...,...,...,...,...,...,...,...,...,"5,387,213",2.99,...,...,...,...,...,...,...,...,...,...,...,...
2006M05,"425,175",6.78,...,...,...,...,...,...,...,...,...,...,...,...,"5,383,179",3.39,...,...,...,...,...,...,...,...,...,...,...,...
2006M06,"425,152",7.46,...,...,...,...,...,...,...,...,...,...,...,...,"5,375,450",4.14,...,...,...,...,...,...,...,...,...,...,...,...
2006M07,"425,702",5.78,...,...,...,...,...,...,...,...,...,...,...,...,"5,411,687",2.32,...,...,...,...,...,...,...,...,...,...,...,...
2006M08,"426,083",4.01,...,...,...,...,...,...,...,...,...,...,...,...,"5,411,845",1.78,...,...,...,...,...,...,...,...,...,...,...,...
