期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%)
2003,"835,885",-4.11,"835,885",-4.11
2004,"862,687",3.21,"862,687",3.21
2005,"837,637",-2.90,"837,637",-2.90
