期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2008M03,"1,133,059",0.88,"180,181",0.95,"844,462",0.87,"108,207",1.04,"553,378",-0.56,"88,653",-3.18,"414,437",-0.03,"50,209",0.06,"579,681",2.30,"91,529",5.29,"430,026",1.76,"57,998",1.92
2008M04,"1,132,570",2.93,"191,217",3.82,"840,773",3.64,"99,769",-4.33,"566,783",3.97,"98,970",4.62,"420,483",4.76,"46,880",-3.93,"565,787",1.91,"92,247",2.98,"420,290",2.56,"52,889",-4.68
2008M05,"1,145,388",0.52,"194,640",7.70,"843,999",-1.28,"106,235",2.59,"572,690",1.27,"99,559",9.00,"423,041",-0.32,"49,831",0.53,"572,698",-0.22,"95,081",6.39,"420,958",-2.22,"56,404",4.48
2008M06,"1,137,712",3.80,"190,154",7.51,"837,675",3.03,"109,643",3.83,"581,265",6.43,"97,876",8.95,"429,383",5.90,"53,907",6.59,"556,447",1.18,"92,278",6.02,"408,292",0.18,"55,736",1.30
2008M07,"1,175,279",7.78,"193,361",10.99,"874,632",7.67,"106,724",3.15,"584,256",8.58,"97,852",9.98,"435,620",8.79,"50,487",4.24,"591,023",7.01,"95,509",12.04,"439,012",6.59,"56,237",2.20
2008M08,"1,175,024",2.70,"191,797",7.48,"877,393",1.72,"105,316",2.57,"594,488",4.17,"98,413",7.66,"446,800",3.83,"48,961",0.50,"580,537",1.24,"93,384",7.28,"430,593",-0.37,"56,355",4.44
2008M09,"1,134,068",3.14,"179,023",-1.89,"850,734",3.72,"103,709",7.65,"572,607",4.38,"93,257",-1.02,"429,669",5.46,"49,337",5.64,"561,462",1.92,"85,766",-2.82,"421,065",2.01,"54,372",9.55
2008M10,"1,195,236",8.90,"194,694",8.83,"892,333",8.39,"107,590",13.56,"592,437",8.79,"99,976",6.45,"442,041",9.14,"50,149",10.60,"602,799",9.01,"94,718",11.46,"450,292",7.66,"57,441",16.26
2008M11,"1,160,844",4.44,"182,551",1.36,"870,610",4.58,"107,079",8.75,"588,464",8.48,"93,897",2.82,"442,400",9.52,"51,767",10.18,"572,380",0.58,"88,654",-0.15,"428,211",-0.09,"55,312",7.45
2008M12,"1,227,756",6.83,"192,720",0.09,"915,323",7.15,"118,956",16.61,"619,719",7.49,"101,097",4.04,"459,576",7.14,"58,734",16.93,"608,038",6.17,"91,624",-3.93,"455,747",7.16,"60,222",16.29
2009M01,"1,156,568",2.69,"181,879",0.73,"867,113",2.22,"106,942",10.31,"584,646",5.60,"95,647",6.56,"436,812",4.85,"51,827",10.34,"571,922",-0.13,"86,232",-5.03,"430,300",-0.31,"55,115",10.27
2009M02,"995,294",1.22,"143,906",-0.47,"756,699",-0.52,"94,073",21.27,"506,657",-0.38,"71,509",-7.04,"387,459",-1.11,"47,357",19.50,"488,637",2.94,"72,397",6.99,"369,240",0.12,"46,716",23.12
2009M03,"1,150,952",1.58,"192,264",6.71,"836,790",-0.91,"121,377",12.17,"570,055",3.01,"96,880",9.28,"415,075",0.15,"57,815",15.15,"580,897",0.21,"95,384",4.21,"421,715",-1.93,"63,562",9.59
2009M04,"1,122,804",-0.86,"188,100",-1.63,"831,896",-1.06,"102,294",2.53,"566,873",0.02,"96,799",-2.19,"420,160",-0.08,"49,675",5.96,"555,931",-1.74,"91,301",-1.03,"411,736",-2.04,"52,619",-0.51
