期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%)
2013M07,"1,258",-14.94,"1,794",1.07,908,-25.21,915,-25.37,336,31.25,856,63.36,4,100.00,7,250.00,10,42.86,16,-30.43
2013M08,808,-41.15,"1,313",-27.62,494,-52.27,539,-47.92,301,-8.79,754,-1.31,1,0.00,1,0.00,12,71.43,19,35.71
2013M09,475,-39.02,822,-31.04,201,-54.00,268,-39.50,264,-20.72,544,-25.99,5,66.67,5,66.67,5,-16.67,5,-54.55
2013M10,494,-8.86,958,-0.10,131,-48.83,153,-40.93,356,33.83,794,16.76,3,-25.00,3,-25.00,4,-75.00,8,-50.00
2013M11,387,-22.44,938,13.83,105,0.00,109,0.93,275,-27.63,814,16.29,0,-100.00,0,-100.00,7,-36.36,15,15.38
2013M12,393,16.62,859,7.38,87,-13.86,90,-15.89,295,31.70,751,10.28,0,-100.00,0,-100.00,11,37.50,18,125.00
2014M01,615,58.51,"1,536",50.59,213,227.69,227,163.95,390,25.40,"1,293",42.24,1,0.00,1,-50.00,11,0.00,15,-34.78
2014M02,903,6.86,"1,734",-21.61,445,14.99,461,0.00,449,-0.22,"1,257",-27.80,3,0.00,5,66.67,6,20.00,11,57.14
2014M03,534,-31.63,"1,059",-24.63,145,-59.94,172,-55.09,375,-8.76,873,-6.73,6,500.00,6,500.00,8,14.29,8,-90.59
2014M04,423,-27.94,948,-13.50,91,-34.06,109,-28.29,312,-28.93,813,-12.49,4,100.00,4,100.00,16,100.00,22,69.23
2014M05,392,-23.74,890,-0.56,51,-55.26,54,-56.45,326,-16.20,817,8.21,1,-50.00,1,-50.00,14,55.56,18,28.57
2014M06,281,-29.22,587,-21.00,86,-5.49,96,-11.11,187,-35.96,465,-24.76,1,-50.00,1,-50.00,7,-41.67,25,66.67
2014M07,"1,056",-16.06,"1,580",-11.93,745,-17.95,751,-17.92,304,-9.52,810,-5.37,2,-50.00,2,-71.43,5,-50.00,17,6.25
