期間,總計_原始值,總計_年增率(%),大客車_原始值,大客車_年增率(%),大客車-自用_原始值,大客車-自用_年增率(%),大客車-營業_原始值,大客車-營業_年增率(%),大貨車_原始值,大貨車_年增率(%),大貨車-自用_原始值,大貨車-自用_年增率(%),大貨車-營業_原始值,大貨車-營業_年增率(%),小客車_原始值,小客車_年增率(%),小客車-自用_原始值,小客車-自用_年增率(%),小客車-營業_原始值,小客車-營業_年增率(%),小客車-營業-計程車_原始值,小客車-營業-計程車_年增率(%),小貨車_原始值,小貨車_年增率(%),小貨車-自用_原始值,小貨車-自用_年增率(%),小貨車-營業_原始值,小貨車-營業_年增率(%),特種車_原始值,特種車_年增率(%),機器腳踏車_原始值,機器腳踏車_年增率(%),機器腳踏車-重型_原始值,機器腳踏車-重型_年增率(%),機器腳踏車-輕型_原始值,機器腳踏車-輕型_年增率(%)
2008M03,"20,405,743",2.17,"27,541",1.74,"1,799",-2.39,"25,742",2.05,"165,961",0.81,"90,495",2.48,"75,466",-1.12,"5,709,909",0.87,"5,565,746",0.83,"144,163",2.56,"91,853",-2.63,"807,961",1.76,"785,725",1.45,"22,236",14.21,"52,564",-0.19,"13,641,807",2.78,"9,342,093",5.55,"4,299,714",-2.78
2008M04,"20,426,218",2.15,"27,532",1.36,"1,801",-1.69,"25,731",1.58,"165,821",0.62,"90,534",2.35,"75,287",-1.38,"5,703,808",0.72,"5,559,391",0.68,"144,417",2.53,"91,625",-2.74,"808,506",1.56,"786,144",1.28,"22,362",12.91,"52,549",-0.23,"13,668,002",2.82,"9,379,432",5.64,"4,288,570",-2.84
2008M05,"20,454,883",2.11,"27,393",0.80,"1,805",-1.80,"25,588",0.99,"165,820",0.46,"90,728",2.29,"75,092",-1.67,"5,705,022",0.60,"5,560,582",0.56,"144,440",2.05,"91,289",-3.10,"809,702",1.43,"787,194",1.17,"22,508",11.33,"52,585",-0.15,"13,694,361",2.83,"9,422,340",5.71,"4,272,021",-3.01
2008M06,"20,487,647",2.07,"27,439",0.89,"1,798",-2.23,"25,641",1.12,"165,696",0.21,"90,803",2.02,"74,893",-1.90,"5,708,520",0.57,"5,563,814",0.54,"144,706",1.77,"91,014",-3.22,"810,237",1.32,"787,448",1.05,"22,789",11.67,"52,858",0.37,"13,722,897",2.79,"9,461,706",5.65,"4,261,191",-3.04
2008M07,"20,535,992",2.06,"27,461",0.49,"1,799",-1.42,"25,662",0.63,"165,272",-0.13,"90,800",1.84,"74,472",-2.42,"5,707,918",0.38,"5,563,005",0.35,"144,913",1.47,"90,809",-3.20,"810,123",1.11,"786,930",0.81,"23,193",12.66,"52,866",0.28,"13,772,352",2.87,"9,523,848",5.80,"4,248,504",-3.12
2008M08,"20,566,546",2.04,"27,465",0.34,"1,793",-1.48,"25,672",0.47,"164,915",-0.49,"90,781",1.69,"74,134",-3.04,"5,704,842",0.37,"5,559,804",0.34,"145,038",1.79,"90,646",-3.13,"810,010",1.00,"786,516",0.68,"23,494",13.16,"52,712",-0.16,"13,806,602",2.85,"9,574,966",5.81,"4,231,636",-3.27
2008M09,"20,624,291",2.00,"27,403",-0.09,"1,792",-1.21,"25,611",-0.02,"164,620",-0.76,"90,842",1.60,"73,778",-3.51,"5,708,205",0.33,"5,562,944",0.29,"145,261",1.91,"90,470",-3.04,"811,042",0.89,"787,245",0.58,"23,797",12.39,"52,630",-0.34,"13,860,391",2.81,"9,640,184",5.76,"4,220,207",-3.34
2008M10,"20,658,192",2.00,"27,440",-0.04,"1,789",-1.32,"25,651",0.05,"164,323",-0.98,"90,835",1.37,"73,488",-3.74,"5,708,801",0.37,"5,563,541",0.33,"145,260",1.89,"90,206",-3.06,"810,970",0.83,"786,940",0.51,"24,030",12.56,"52,481",-0.41,"13,894,177",2.81,"9,687,726",5.77,"4,206,451",-3.41
2008M11,"20,687,529",1.98,"27,410",-0.34,"1,789",-1.27,"25,621",-0.28,"164,172",-1.12,"90,963",1.25,"73,209",-3.92,"5,712,007",0.33,"5,566,880",0.29,"145,127",1.72,"90,033",-2.90,"811,673",0.81,"787,457",0.49,"24,216",12.59,"52,410",-0.30,"13,919,857",2.79,"9,725,276",5.73,"4,194,581",-3.44
2008M12,"20,711,754",1.99,"27,361",-0.58,"1,793",-1.05,"25,568",-0.55,"164,004",-1.33,"91,050",1.01,"72,954",-4.09,"5,712,842",0.25,"5,567,687",0.22,"145,155",1.64,"89,738",-2.90,"811,646",0.75,"787,361",0.43,"24,285",12.37,"52,428",-0.18,"13,943,473",2.85,"9,762,555",5.83,"4,180,918",-3.48
2009M01,"20,748,261",2.00,"27,253",-0.66,"1,784",-1.27,"25,469",-0.61,"163,722",-1.39,"91,132",0.88,"72,590",-4.10,"5,722,284",0.24,"5,576,475",0.21,"145,809",1.59,"89,708",-2.75,"812,638",0.73,"788,177",0.43,"24,461",11.45,"52,321",-0.63,"13,970,043",2.87,"9,800,152",5.83,"4,169,891",-3.47
2009M02,"20,770,882",1.98,"27,198",-1.49,"1,780",-1.55,"25,418",-1.48,"163,540",-1.47,"91,116",0.81,"72,424",-4.20,"5,718,482",0.10,"5,572,815",0.08,"145,667",1.03,"89,585",-2.80,"812,495",0.70,"788,028",0.41,"24,467",11.12,"52,267",-0.66,"13,996,900",2.90,"9,835,867",5.86,"4,161,033",-3.48
2009M03,"20,802,481",1.94,"27,181",-1.31,"1,773",-1.45,"25,408",-1.30,"163,544",-1.46,"91,241",0.82,"72,303",-4.19,"5,716,314",0.11,"5,570,626",0.09,"145,688",1.06,"89,411",-2.66,"813,260",0.66,"788,741",0.38,"24,519",10.27,"52,255",-0.59,"14,029,927",2.85,"9,881,834",5.78,"4,148,093",-3.53
2009M04,"20,840,003",2.03,"27,188",-1.25,"1,759",-2.33,"25,429",-1.17,"163,416",-1.45,"91,360",0.91,"72,056",-4.29,"5,708,745",0.09,"5,563,024",0.07,"145,721",0.90,"89,295",-2.54,"813,796",0.65,"789,215",0.39,"24,581",9.92,"52,177",-0.71,"14,074,681",2.98,"9,938,340",5.96,"4,136,341",-3.55
2009M05,"20,878,856",2.07,"27,209",-0.67,"1,753",-2.88,"25,456",-0.52,"163,063",-1.66,"91,394",0.73,"71,669",-4.56,"5,705,184",0.00,"5,559,436",-0.02,"145,748",0.91,"89,215",-2.27,"814,052",0.54,"789,362",0.28,"24,690",9.69,"52,178",-0.77,"14,117,170",3.09,"9,994,893",6.08,"4,122,277",-3.51
2009M06,"20,921,117",2.12,"27,174",-0.97,"1,742",-3.11,"25,432",-0.82,"162,909",-1.68,"91,507",0.78,"71,402",-4.66,"5,697,282",-0.20,"5,551,394",-0.22,"145,888",0.82,"89,099",-2.10,"814,445",0.52,"789,185",0.22,"25,260",10.84,"52,231",-1.19,"14,167,076",3.24,"10,058,515",6.31,"4,108,561",-3.58
2009M07,"20,952,496",2.03,"27,090",-1.35,"1,736",-3.50,"25,354",-1.20,"162,406",-1.73,"91,378",0.64,"71,028",-4.62,"5,690,489",-0.31,"5,544,211",-0.34,"146,278",0.94,"89,131",-1.85,"814,075",0.49,"788,498",0.20,"25,577",10.28,"52,272",-1.12,"14,206,164",3.15,"10,112,287",6.18,"4,093,877",-3.64
2009M08,"20,967,476",1.95,"27,003",-1.68,"1,735",-3.23,"25,268",-1.57,"162,150",-1.68,"91,317",0.59,"70,833",-4.45,"5,683,539",-0.37,"5,537,751",-0.40,"145,788",0.52,"88,934",-1.89,"813,549",0.44,"787,912",0.18,"25,637",9.12,"52,150",-1.07,"14,229,085",3.06,"10,150,028",6.01,"4,079,057",-3.61
2009M09,"21,015,079",1.89,"27,092",-1.13,"1,737",-3.07,"25,355",-1.00,"161,982",-1.60,"91,319",0.53,"70,663",-4.22,"5,679,515",-0.50,"5,533,884",-0.52,"145,631",0.25,"88,832",-1.81,"813,463",0.30,"787,701",0.06,"25,762",8.26,"51,821",-1.54,"14,281,206",3.04,"10,218,501",6.00,"4,062,705",-3.73
2009M10,"21,048,631",1.89,"27,153",-1.05,"1,743",-2.57,"25,410",-0.94,"161,802",-1.53,"91,308",0.52,"70,494",-4.07,"5,678,741",-0.53,"5,533,371",-0.54,"145,370",0.08,"88,867",-1.48,"813,390",0.30,"787,665",0.09,"25,725",7.05,"51,660",-1.56,"14,315,885",3.04,"10,270,131",6.01,"4,045,754",-3.82
2009M11,"21,068,657",1.84,"27,163",-0.90,"1,736",-2.96,"25,427",-0.76,"161,462",-1.65,"91,211",0.27,"70,251",-4.04,"5,677,398",-0.61,"5,532,626",-0.62,"144,772",-0.24,"88,799",-1.37,"813,144",0.18,"787,395",-0.01,"25,749",6.33,"51,640",-1.47,"14,337,850",3.00,"10,305,826",5.97,"4,032,024",-3.88
2009M12,"21,092,358",1.84,"27,339",-0.08,"1,723",-3.90,"25,616",0.19,"161,231",-1.69,"91,215",0.18,"70,016",-4.03,"5,674,426",-0.67,"5,530,314",-0.67,"144,112",-0.72,"88,779",-1.07,"812,440",0.10,"786,782",-0.07,"25,658",5.65,"51,480",-1.81,"14,365,442",3.03,"10,349,865",6.02,"4,015,577",-3.95
2010M01,"21,096,019",1.68,"27,328",0.28,"1,708",-4.26,"25,620",0.59,"161,056",-1.63,"91,208",0.08,"69,848",-3.78,"5,680,882",-0.72,"5,536,675",-0.71,"144,207",-1.10,"88,884",-0.92,"812,363",-0.03,"786,606",-0.20,"25,757",5.30,"51,371",-1.82,"14,363,019",2.81,"10,356,586",5.68,"4,006,433",-3.92
2010M02,"21,100,714",1.59,"27,297",0.36,"1,706",-4.16,"25,591",0.68,"160,635",-1.78,"91,107",-0.01,"69,528",-4.00,"5,672,975",-0.80,"5,529,353",-0.78,"143,622",-1.40,"88,851",-0.82,"812,364",-0.02,"786,746",-0.16,"25,618",4.70,"51,219",-2.01,"14,376,224",2.71,"10,383,006",5.56,"3,993,218",-4.03
2010M03,"21,102,535",1.44,"27,236",0.20,"1,703",-3.95,"25,533",0.49,"160,313",-1.98,"91,108",-0.15,"69,205",-4.28,"5,668,581",-0.84,"5,525,202",-0.82,"143,379",-1.58,"88,900",-0.57,"812,374",-0.11,"786,921",-0.23,"25,453",3.81,"51,108",-2.20,"14,382,923",2.52,"10,403,879",5.28,"3,979,044",-4.08
2010M04,"21,100,834",1.25,"27,228",0.15,"1,702",-3.24,"25,526",0.38,"160,009",-2.08,"91,083",-0.30,"68,926",-4.34,"5,665,267",-0.76,"5,521,938",-0.74,"143,329",-1.64,"88,982",-0.35,"812,970",-0.10,"787,527",-0.21,"25,443",3.51,"51,089",-2.09,"14,384,271",2.20,"10,420,520",4.85,"3,963,751",-4.17
2010M05,"21,104,505",1.08,"27,255",0.17,"1,707",-2.62,"25,548",0.36,"159,850",-1.97,"91,171",-0.24,"68,679",-4.17,"5,666,648",-0.68,"5,523,373",-0.65,"143,275",-1.70,"89,063",-0.17,"813,378",-0.08,"788,125",-0.16,"25,253",2.28,"51,100",-2.07,"14,386,274",1.91,"10,434,869",4.40,"3,951,405",-4.15
2010M06,"21,112,547",0.92,"27,276",0.38,"1,700",-2.41,"25,576",0.57,"159,613",-2.02,"91,262",-0.27,"68,351",-4.27,"5,670,190",-0.48,"5,526,551",-0.45,"143,639",-1.54,"89,100",0.00,"814,248",-0.02,"788,731",-0.06,"25,517",1.02,"51,194",-1.99,"14,390,026",1.57,"10,453,560",3.93,"3,936,466",-4.19
2010M07,"21,133,412",0.86,"27,253",0.60,"1,692",-2.53,"25,561",0.82,"159,447",-1.82,"91,295",-0.09,"68,152",-4.05,"5,677,167",-0.23,"5,533,447",-0.19,"143,720",-1.75,"89,100",-0.03,"814,868",0.10,"789,215",0.09,"25,653",0.30,"51,430",-1.61,"14,403,247",1.39,"10,480,534",3.64,"3,922,713",-4.18
2010M08,"21,150,779",0.87,"27,220",0.80,"1,694",-2.36,"25,526",1.02,"159,199",-1.82,"91,337",0.02,"67,862",-4.19,"5,676,142",-0.13,"5,532,265",-0.10,"143,877",-1.31,"89,019",0.10,"815,044",0.18,"789,287",0.17,"25,757",0.47,"51,390",-1.46,"14,421,784",1.35,"10,512,466",3.57,"3,909,318",-4.16
2010M09,"21,188,050",0.82,"27,212",0.44,"1,694",-2.48,"25,518",0.64,"159,145",-1.75,"91,348",0.03,"67,797",-4.06,"5,674,613",-0.09,"5,530,893",-0.05,"143,720",-1.31,"88,843",0.01,"815,760",0.28,"789,708",0.25,"26,052",1.13,"51,202",-1.19,"14,460,118",1.25,"10,565,655",3.40,"3,894,463",-4.14
2010M10,"21,217,369",0.80,"27,218",0.24,"1,697",-2.64,"25,521",0.44,"159,065",-1.69,"91,428",0.13,"67,637",-4.05,"5,680,099",0.02,"5,536,104",0.05,"143,995",-0.95,"88,711",-0.18,"816,976",0.44,"790,472",0.36,"26,504",3.03,"51,482",-0.34,"14,482,529",1.16,"10,601,303",3.22,"3,881,226",-4.07
2010M11,"21,253,591",0.88,"27,323",0.59,"1,695",-2.36,"25,628",0.79,"159,038",-1.50,"91,622",0.45,"67,416",-4.04,"5,689,014",0.20,"5,544,873",0.22,"144,141",-0.44,"88,605",-0.22,"818,236",0.63,"791,554",0.53,"26,682",3.62,"51,472",-0.33,"14,508,508",1.19,"10,640,644",3.25,"3,867,864",-4.07
2010M12,"21,374,175",1.34,"27,667",1.20,"1,909",10.80,"25,758",0.55,"158,812",-1.50,"91,543",0.36,"67,269",-3.92,"5,704,312",0.53,"5,559,247",0.52,"145,065",0.66,"88,589",-0.21,"827,955",1.91,"792,288",0.70,"35,667",39.01,"51,099",-0.74,"14,604,330",1.66,"10,749,348",3.86,"3,854,982",-4.00
2011M01,"21,376,174",1.33,"27,688",1.32,"1,890",10.66,"25,798",0.69,"158,872",-1.36,"91,652",0.49,"67,220",-3.76,"5,713,317",0.57,"5,568,327",0.57,"144,990",0.54,"88,478",-0.46,"828,976",2.05,"792,846",0.79,"36,130",40.27,"50,922",-0.87,"14,596,399",1.62,"10,750,532",3.80,"3,845,867",-4.01
2011M02,"21,384,396",1.34,"27,781",1.77,"1,888",10.67,"25,893",1.18,"158,833",-1.12,"91,668",0.62,"67,165",-3.40,"5,716,291",0.76,"5,571,336",0.76,"144,955",0.93,"88,400",-0.51,"829,216",2.07,"792,896",0.78,"36,320",41.78,"50,814",-0.79,"14,601,461",1.57,"10,763,046",3.66,"3,838,415",-3.88
2011M03,"21,388,404",1.35,"27,808",2.10,"1,877",10.22,"25,931",1.56,"158,847",-0.91,"91,735",0.69,"67,112",-3.02,"5,715,207",0.82,"5,569,879",0.81,"145,328",1.36,"88,288",-0.69,"830,192",2.19,"793,642",0.85,"36,550",43.60,"50,679",-0.84,"14,605,671",1.55,"10,779,434",3.61,"3,826,237",-3.84
