期間,函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%)
2004M05,"1,245,798",-10.30,"730,185",-24.32,"515,613",21.60,-,--,-,--,-,--,-,--,-,--,-,--
2004M06,"1,352,632",-2.38,"815,477",-13.80,"537,155",22.20,-,--,-,--,-,--,-,--,-,--,-,--
2004M07,"1,185,531",1.73,"669,839",-9.99,"515,692",22.42,-,--,-,--,-,--,-,--,-,--,-,--
2004M08,"1,180,811",0.35,"664,716",-11.81,"516,095",22.00,-,--,-,--,-,--,-,--,-,--,-,--
2004M09,"1,368,602",13.01,"812,926",22.70,"555,676",1.30,-,--,-,--,-,--,-,--,-,--,-,--
2004M10,"1,123,936",-10.50,"659,058",-6.89,"464,878",-15.15,-,--,-,--,-,--,-,--,-,--,-,--
2004M11,"1,363,990",22.99,"771,213",18.80,"592,777",28.90,-,--,-,--,-,--,-,--,-,--,-,--
2004M12,"2,085,085",-4.32,"1,225,377",8.42,"859,708",-18.04,-,--,-,--,-,--,-,--,-,--,-,--
2005M01,"2,223,099",56.66,"1,502,258",91.14,"720,841",13.85,-,--,-,--,-,--,-,--,-,--,-,--
2005M02,"1,351,657",17.57,"845,690",30.81,"505,967",0.56,-,--,-,--,-,--,-,--,-,--,-,--
2005M03,"1,528,705",17.24,"940,470",22.41,"588,235",9.83,-,--,-,--,-,--,-,--,-,--,-,--
2005M04,"1,164,473",-17.30,"715,893",-1.99,"448,580",-33.80,-,--,-,--,-,--,-,--,-,--,-,--
2005M05,"1,389,919",11.57,"886,923",21.47,"502,996",-2.45,-,--,-,--,-,--,-,--,-,--,-,--
2005M06,"1,236,639",-8.58,"724,420",-11.17,"512,219",-4.64,-,--,-,--,-,--,-,--,-,--,-,--
2005M07,"1,073,920",-9.41,"551,752",-17.63,"522,168",1.26,-,--,-,--,-,--,-,--,-,--,-,--
2005M08,"1,218,717",3.21,"624,159",-6.10,"594,558",15.20,-,--,-,--,-,--,-,--,-,--,-,--
2005M09,"1,107,887",-19.05,"571,707",-29.67,"536,180",-3.51,-,--,-,--,-,--,-,--,-,--,-,--
2005M10,"1,100,300",-2.10,"611,125",-7.27,"489,175",5.23,-,--,-,--,-,--,-,--,-,--,-,--
2005M11,"1,171,430",-14.12,"621,294",-19.44,"550,136",-7.19,-,--,-,--,-,--,-,--,-,--,-,--
2005M12,"1,601,368",-23.20,"802,548",-34.51,"798,820",-7.08,-,--,-,--,-,--,-,--,-,--,-,--
2006M01,"1,375,081",-38.15,"634,785",-57.74,"740,296",2.70,-,--,-,--,-,--,-,--,-,--,-,--
2006M02,"951,854",-29.58,"402,185",-52.44,"549,669",8.64,-,--,-,--,-,--,-,--,-,--,-,--
2006M03,"1,164,763",-23.81,"584,243",-37.88,"580,520",-1.31,-,--,-,--,-,--,-,--,-,--,-,--
2006M04,"959,531",-17.60,"512,790",-28.37,"446,741",-0.41,-,--,-,--,-,--,-,--,-,--,-,--
2006M05,"1,000,871",-27.99,"456,020",-48.58,"544,851",8.32,-,--,-,--,-,--,-,--,-,--,-,--
2006M06,"1,019,453",-17.56,"524,760",-27.56,"494,693",-3.42,-,--,-,--,-,--,-,--,-,--,-,--
2006M07,"914,618",-14.83,"397,020",-28.04,"517,598",-0.88,-,--,-,--,-,--,-,--,-,--,-,--
2006M08,"958,088",-21.39,"419,620",-32.77,"538,468",-9.43,-,--,-,--,-,--,-,--,-,--,-,--
2006M09,"812,967",-26.62,"402,395",-29.62,"410,572",-23.43,-,--,-,--,-,--,-,--,-,--,-,--
2006M10,"939,812",-14.59,"408,695",-33.12,"531,117",8.57,-,--,-,--,-,--,-,--,-,--,-,--
2006M11,"967,270",-17.43,"522,596",-15.89,"444,674",-19.17,-,--,-,--,-,--,-,--,-,--,-,--
2006M12,"1,422,415",-11.18,"719,997",-10.29,"702,418",-12.07,-,--,-,--,-,--,-,--,-,--,-,--
2007M01,"1,215,843",-11.58,"486,858",-23.30,"728,985",-1.53,-,--,-,--,-,--,-,--,-,--,-,--
2007M02,"952,635",0.08,"389,449",-3.17,"563,186",2.46,-,--,-,--,-,--,-,--,-,--,-,--
2007M03,"947,479",-18.65,"453,419",-22.39,"494,060",-14.89,-,--,-,--,-,--,-,--,-,--,-,--
2007M04,"916,366",-4.50,"411,139",-19.82,"505,227",13.09,-,--,-,--,-,--,-,--,-,--,-,--
2007M05,"954,505",-4.63,"450,999",-1.10,"503,506",-7.59,-,--,-,--,-,--,-,--,-,--,-,--
2007M06,"812,467",-20.30,"351,498",-33.02,"460,969",-6.82,-,--,-,--,-,--,-,--,-,--,-,--
2007M07,"902,773",-1.30,"387,897",-2.30,"514,876",-0.53,-,--,-,--,-,--,-,--,-,--,-,--
2007M08,"887,191",-7.40,"434,977",3.66,"452,214",-16.02,-,--,-,--,-,--,-,--,-,--,-,--
