期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2005M02,"2,448,144",2.29,"16,774,106",15.72,"221,060",-1.66,"1,210,258",2.41,"2,174,192",6.40,"15,334,548",19.46,"27,163",-55.12,"128,182",-49.55,"19,035",-48.62,"72,114",-37.28,"1,374",50.00,"4,427",54.90,"5,320",-80.06,"24,577",-76.57
2005M03,"4,176,553",19.97,"28,759,721",31.13,"898,053",99.54,"6,758,458",136.97,"3,187,803",10.77,"21,652,778",17.82,"49,830",-50.15,"183,440",-64.08,"20,557",-19.26,"81,702",6.27,"5,443",-58.04,"18,202",-53.99,"14,867",-1.45,"65,141",-14.47
2005M04,"3,014,745",-6.12,"20,131,991",-0.78,"258,843",-8.35,"1,737,195",-7.44,"2,654,154",-4.51,"18,003,280",1.21,"73,903",15.72,"278,958",11.88,"11,316",-38.77,"44,729",-29.83,408,-95.89,"1,142",-95.83,"16,121",-71.80,"66,687",-76.67
2005M05,"3,652,391",7.36,"24,226,064",5.37,"419,012",49.23,"3,531,894",65.30,"3,104,783",4.08,"20,206,306",-0.26,"97,422",3.21,"374,486",-6.67,"13,372",-58.25,"50,813",-63.94,760,-76.70,"2,460",-80.59,"17,042",101.37,"60,105",40.64
2005M06,"4,239,388",26.49,"28,552,511",25.88,"465,264",63.31,"3,613,777",81.72,"3,651,606",23.57,"24,433,837",21.60,"96,216",152.24,"392,100",116.61,"20,219",-14.32,"68,505",-23.63,673,-92.88,"22,766",-39.82,"5,410",-86.61,"21,526",-92.58
2005M07,"3,643,529",-20.30,"24,839,238",-7.53,"321,867",-10.17,"2,196,628",14.77,"3,218,868",-20.83,"22,204,928",-8.74,"59,639",-38.89,"265,373",-40.29,"32,313",7.09,"132,681",41.41,"1,674",-81.82,"4,662",-89.08,"9,168",-9.40,"34,966",-1.68
2005M08,"3,526,414",-1.76,"25,980,388",4.40,"426,590",-31.47,"3,043,084",-35.05,"2,995,962",5.67,"22,541,843",14.61,"88,177",19.91,"329,914",11.75,"9,338",-61.12,"36,046",-56.50,946,-89.74,"3,748",-86.22,"5,401",-78.48,"25,753",-79.77
2005M09,"4,051,623",13.52,"29,774,196",24.68,"644,606",92.49,"4,938,308",136.72,"3,298,301",4.98,"24,415,780",13.87,"91,014",52.97,"354,333",56.50,"15,196",19.54,"55,272",10.81,923,-87.86,"3,178",-86.73,"1,583",-87.32,"7,325",-86.20
2005M10,"3,141,213",-7.70,"21,744,477",-5.85,"440,848",29.25,"3,135,185",21.94,"2,599,398",-12.52,"18,251,016",-9.45,"82,395",29.83,"285,258",18.57,"7,923",-29.50,"29,636",-30.87,"3,667",30.04,"11,808",7.84,"6,982",-48.54,"31,574",-57.71
2005M11,"4,020,360",6.21,"29,527,859",15.40,"1,061,293",88.65,"9,278,167",135.17,"2,844,655",-8.65,"19,821,958",-6.47,"78,586",4.09,"285,700",-6.69,"21,912",103.04,"84,796",98.35,"10,445",232.96,"31,631",207.34,"3,469",-82.02,"25,607",-71.91
2005M12,"3,911,890",-11.09,"30,828,283",1.95,"727,100",50.45,"7,974,908",119.25,"3,109,185",-18.28,"22,551,685",-13.70,"41,951",-39.01,"154,508",-44.15,"19,320",-29.94,"85,070",-23.60,"10,265",788.74,"48,441","1,396.94","4,069",-72.14,"13,671",-82.34
2006M01,"3,653,519",8.28,"26,718,347",13.52,"309,304",-10.41,"2,090,205",-24.72,"2,646,072",-8.90,"18,927,897",-6.35,"678,786",859.43,"5,631,680","1,733.37","15,894",6.31,"54,071",-14.48,"1,656",-32.96,"4,639",-37.93,"1,807",-95.01,"9,855",-94.20
2006M02,"2,186,252",-10.70,"15,233,341",-9.19,"185,260",-16.19,"1,508,078",24.61,"1,846,311",-15.08,"12,836,932",-16.29,"140,618",417.68,"825,394",543.92,"11,119",-41.59,"48,147",-33.23,57,-95.85,295,-93.34,"2,887",-45.73,"14,495",-41.02
2006M03,"3,257,927",-21.99,"22,128,799",-23.06,"572,101",-36.30,"4,652,171",-31.17,"2,386,255",-25.14,"16,014,746",-26.04,"262,519",426.83,"1,313,417",615.99,"18,282",-11.07,"62,914",-23.00,"8,040",47.71,"25,514",40.17,"10,730",-27.83,"60,037",-7.84
2006M04,"2,836,396",-5.92,"20,556,427",2.11,"159,948",-38.21,"1,322,154",-23.89,"2,241,802",-15.54,"16,774,381",-6.83,"413,395",459.38,"2,375,280",751.48,"13,843",22.33,"54,292",21.38,604,48.04,"1,912",67.43,"6,804",-57.79,"28,408",-57.40
2006M05,"3,083,702",-15.57,"21,031,934",-13.18,"321,316",-23.32,"2,027,645",-42.59,"2,410,521",-22.36,"17,164,848",-15.05,"325,254",233.86,"1,739,667",364.55,"20,732",55.04,"77,842",53.19,"1,957",157.50,"6,006",144.15,"3,922",-76.99,"15,926",-73.50
