期間,出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%)
2010,"22,771",19.08,"256,836",31.54,"279,607",30.43,"48,141",24.25,"209,972",38.02,"258,113",35.23
2011,"26,299",15.49,"290,156",12.97,"316,455",13.18,"54,102",12.38,"240,730",14.65,"294,832",14.23
2012,"23,557",-10.43,"280,088",-3.47,"303,645",-4.05,"51,801",-4.25,"236,407",-1.80,"288,208",-2.25
2013,"22,053",-6.38,"291,299",4.00,"313,352",3.20,"47,675",-7.97,"235,905",-0.21,"283,580",-1.61
