期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
2010M01,31.921,4.94,32.045,5.70,31.913,4.92,32.045,5.68,31.907,4.83,32.039,5.69,31.896,4.71,32.037,5.60,31.879,4.62,32.032,5.51,31.837,4.38,32.019,5.27
2010M02,32.008,8.86,32.140,8.96,32.001,8.83,32.139,8.96,31.992,8.73,32.132,8.92,31.980,8.60,32.130,8.82,31.962,8.46,32.123,8.66,31.915,8.16,32.106,8.37
2010M03,31.750,6.55,31.874,6.62,31.743,6.50,31.874,6.59,31.737,6.39,31.869,6.55,31.731,6.23,31.862,6.46,31.715,6.09,31.859,6.29,31.680,5.81,31.844,6.06
2010M04,31.348,5.23,31.483,5.78,31.340,5.20,31.481,5.78,31.332,5.11,31.474,5.75,31.324,4.99,31.466,5.69,31.307,4.88,31.460,5.56,31.273,4.61,31.448,5.34
2010M05,32.149,1.24,32.286,1.34,32.134,1.26,32.278,1.35,32.100,1.26,32.260,1.39,32.074,1.21,32.235,1.41,31.994,1.33,32.205,1.40,31.920,1.23,32.110,1.46
2010M06,32.208,1.62,32.331,1.72,32.196,1.63,32.326,1.72,32.173,1.64,32.314,1.74,32.150,1.57,32.292,1.79,32.110,1.59,32.278,1.74,32.027,1.52,32.208,1.74
2010M07,31.979,2.34,32.113,2.41,31.967,2.35,32.109,2.41,31.947,2.36,32.101,2.42,31.934,2.30,32.086,2.44,31.906,2.30,32.083,2.42,31.847,2.23,32.041,2.41
2010M08,32.029,2.54,32.164,2.58,32.013,2.56,32.154,2.61,31.990,2.58,32.142,2.63,31.972,2.60,32.124,2.67,31.935,2.60,32.112,2.68,31.871,2.57,32.067,2.72
2010M09,31.258,2.56,31.394,2.79,31.247,2.57,31.389,2.80,31.227,2.60,31.380,2.83,31.210,2.60,31.362,2.87,31.177,2.63,31.353,2.89,31.123,2.61,31.316,2.97
2010M10,30.710,5.63,30.845,5.71,30.697,5.66,30.839,5.72,30.675,5.69,30.829,5.74,30.648,5.73,30.812,5.79,30.627,5.73,30.804,5.79,30.574,5.66,30.767,5.85
2010M11,30.777,4.29,30.912,4.29,30.761,4.31,30.902,4.33,30.720,4.43,30.876,4.39,30.698,4.46,30.864,4.43,30.649,4.57,30.840,4.49,30.573,4.66,30.770,4.68
2010M12,30.293,5.27,30.428,5.45,30.274,5.30,30.416,5.48,30.250,5.37,30.406,5.50,30.223,5.42,30.386,5.56,30.193,5.45,30.373,5.57,30.122,5.54,30.328,5.67
2011M01,28.968,10.19,29.103,10.11,28.953,10.22,29.095,10.14,28.928,10.30,29.081,10.17,28.902,10.36,29.064,10.23,28.870,10.42,29.044,10.29,28.800,10.55,28.997,10.42
2011M02,29.677,7.85,29.812,7.81,29.659,7.90,29.802,7.84,29.634,7.96,29.788,7.87,29.609,8.01,29.772,7.92,29.572,8.08,29.752,7.97,29.505,8.17,29.698,8.11
2011M03,29.327,8.26,29.462,8.19,29.312,8.29,29.453,8.22,29.284,8.38,29.437,8.26,29.259,8.45,29.422,8.29,29.226,8.52,29.400,8.36,29.154,8.66,29.347,8.51
2011M04,28.540,-8.96,28.676,-8.92,28.533,-8.96,28.675,-8.91,28.514,-8.99,28.668,-8.92,28.492,-9.04,28.655,-8.93,28.457,-9.10,28.640,-8.96,28.400,-9.19,28.592,-9.08
2011M05,28.591,-11.07,28.725,-11.03,28.586,-11.04,28.723,-11.01,28.569,-11.00,28.718,-10.98,28.546,-11.00,28.708,-10.94,28.520,-10.86,28.696,-10.90,28.452,-10.86,28.645,-10.79
2011M06,28.639,-11.08,28.773,-11.00,28.632,-11.07,28.770,-11.00,28.616,-11.06,28.764,-10.99,28.596,-11.05,28.760,-10.94,28.566,-11.04,28.740,-10.96,28.501,-11.01,28.692,-10.92
2011M07,28.754,-10.08,28.886,-10.05,28.749,-10.07,28.884,-10.04,28.734,-10.06,28.880,-10.03,28.711,-10.09,28.872,-10.02,28.685,-10.10,28.857,-10.06,28.617,-10.14,28.807,-10.09
2011M08,28.942,-9.64,29.074,-9.61,28.930,-9.63,29.067,-9.60,28.910,-9.63,29.055,-9.60,28.882,-9.66,29.041,-9.60,28.848,-9.67,29.019,-9.63,28.781,-9.70,28.973,-9.65
2011M09,30.399,-2.75,30.534,-2.74,30.383,-2.77,30.522,-2.76,30.350,-2.81,30.500,-2.80,30.308,-2.89,30.472,-2.84,30.267,-2.92,30.442,-2.91,30.184,-3.02,30.377,-3.00
2011M10,29.839,-2.84,29.975,-2.82,29.825,-2.84,29.965,-2.83,29.792,-2.88,29.947,-2.86,29.759,-2.90,29.922,-2.89,29.722,-2.95,29.906,-2.92,29.646,-3.04,29.850,-2.98
2011M11,30.247,-1.72,30.378,-1.73,30.226,-1.74,30.365,-1.74,30.198,-1.70,30.348,-1.71,30.166,-1.73,30.327,-1.74,30.127,-1.70,30.302,-1.74,30.052,-1.70,30.242,-1.72
2011M12,30.205,-0.29,30.327,-0.33,30.191,-0.27,30.322,-0.31,30.167,-0.27,30.307,-0.33,30.141,-0.27,30.291,-0.31,30.104,-0.29,30.272,-0.33,30.046,-0.25,30.226,-0.34
2012M01,29.527,1.93,29.653,1.89,29.515,1.94,29.649,1.90,29.490,1.94,29.635,1.91,29.465,1.95,29.620,1.91,29.439,1.97,29.605,1.93,29.380,2.01,29.565,1.96
2012M02,29.308,-1.24,29.439,-1.25,29.299,-1.21,29.438,-1.22,29.282,-1.19,29.432,-1.20,29.258,-1.19,29.418,-1.19,29.235,-1.14,29.405,-1.17,29.178,-1.11,29.369,-1.11
2012M03,29.434,0.36,29.566,0.35,29.427,0.39,29.567,0.39,29.415,0.45,29.565,0.43,29.396,0.47,29.557,0.46,29.377,0.52,29.547,0.50,29.322,0.58,29.515,0.57
2012M04,29.074,1.87,29.206,1.85,29.067,1.87,29.207,1.86,29.062,1.92,29.202,1.86,29.046,1.94,29.195,1.88,29.026,2.00,29.188,1.91,28.975,2.02,29.166,2.01
2012M05,29.772,4.13,29.904,4.10,29.763,4.12,29.902,4.10,29.744,4.11,29.883,4.06,29.717,4.10,29.867,4.04,29.681,4.07,29.847,4.01,29.604,4.05,29.795,4.01
2012M06,29.803,4.06,29.935,4.04,29.795,4.06,29.935,4.05,29.783,4.08,29.924,4.03,29.768,4.10,29.918,4.03,29.748,4.14,29.910,4.07,29.695,4.19,29.887,4.16
2012M07,29.908,4.01,30.040,4.00,29.901,4.01,30.041,4.01,29.892,4.03,30.033,3.99,29.878,4.06,30.028,4.00,29.858,4.09,30.020,4.03,29.810,4.17,30.000,4.14
2012M08,29.859,3.17,29.991,3.15,29.854,3.19,29.994,3.19,29.851,3.25,29.990,3.22,29.840,3.32,29.990,3.27,29.823,3.38,29.985,3.33,29.781,3.47,29.970,3.44
2012M09,29.225,-3.86,29.356,-3.86,29.220,-3.83,29.359,-3.81,29.216,-3.74,29.356,-3.75,29.207,-3.63,29.357,-3.66,29.189,-3.56,29.352,-3.58,29.149,-3.43,29.339,-3.42
2012M10,29.140,-2.34,29.271,-2.35,29.135,-2.31,29.272,-2.31,29.131,-2.22,29.270,-2.26,29.122,-2.14,29.269,-2.18,29.114,-2.05,29.264,-2.15,29.076,-1.92,29.255,-1.99
2012M11,28.984,-4.18,29.116,-4.15,28.979,-4.13,29.118,-4.11,28.976,-4.05,29.114,-4.07,28.965,-3.98,29.112,-4.01,28.954,-3.89,29.104,-3.95,28.912,-3.79,29.091,-3.81
2012M12,28.966,-4.10,29.098,-4.05,28.961,-4.07,29.100,-4.03,28.957,-4.01,29.096,-4.00,28.947,-3.96,29.094,-3.95,28.936,-3.88,29.089,-3.91,28.899,-3.82,29.081,-3.79
2013M01,29.463,-0.22,29.595,-0.20,29.455,-0.20,29.596,-0.18,29.450,-0.14,29.592,-0.15,29.442,-0.08,29.590,-0.10,29.436,-0.01,29.585,-0.07,29.402,0.07,29.585,0.07
2013M02,29.593,0.97,29.724,0.97,29.585,0.98,29.722,0.96,29.579,1.01,29.718,0.97,29.569,1.06,29.717,1.02,29.561,1.12,29.711,1.04,29.536,1.23,29.703,1.14
2013M03,29.751,1.08,29.883,1.07,29.738,1.06,29.880,1.06,29.723,1.05,29.875,1.05,29.704,1.05,29.870,1.06,29.692,1.07,29.855,1.04,29.647,1.11,29.833,1.08
2013M04,29.462,1.33,29.594,1.33,29.451,1.32,29.591,1.31,29.434,1.28,29.584,1.31,29.415,1.27,29.574,1.30,29.399,1.29,29.560,1.27,29.357,1.32,29.538,1.28
2013M05,29.852,0.27,29.984,0.27,29.842,0.27,29.982,0.27,29.826,0.28,29.976,0.31,29.810,0.31,29.969,0.34,29.797,0.39,29.958,0.37,29.757,0.52,29.938,0.48
2013M06,29.913,0.37,30.045,0.37,29.905,0.37,30.044,0.36,29.889,0.36,30.040,0.39,29.875,0.36,30.034,0.39,29.858,0.37,30.020,0.37,29.811,0.39,29.991,0.35
2013M07,29.905,-0.01,30.019,-0.07,29.895,-0.02,30.016,-0.08,29.878,-0.05,30.010,-0.08,29.858,-0.07,30.000,-0.09,29.845,-0.04,29.986,-0.11,29.800,-0.03,29.962,-0.13
2013M08,29.864,0.02,29.978,-0.04,29.852,-0.01,29.974,-0.07,29.833,-0.06,29.966,-0.08,29.813,-0.09,29.956,-0.11,29.798,-0.08,29.941,-0.15,29.774,-0.02,29.933,-0.12
2013M09,29.508,0.97,29.622,0.91,29.494,0.94,29.615,0.87,29.476,0.89,29.608,0.86,29.456,0.85,29.598,0.82,29.440,0.86,29.585,0.79,29.413,0.91,29.575,0.80
2013M10,29.332,0.66,29.446,0.60,29.316,0.62,29.438,0.57,29.290,0.55,29.422,0.52,29.264,0.49,29.406,0.47,29.246,0.45,29.388,0.42,29.210,0.46,29.375,0.41
2013M11,29.521,1.85,29.635,1.78,29.493,1.77,29.616,1.71,29.451,1.64,29.585,1.62,29.422,1.58,29.566,1.56,29.390,1.51,29.545,1.52,29.348,1.51,29.508,1.43
2013M12,29.710,2.57,29.824,2.50,29.690,2.52,29.813,2.45,29.662,2.43,29.795,2.40,29.628,2.35,29.769,2.32,29.600,2.29,29.745,2.26,29.550,2.25,29.715,2.18
