期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),賦閒_原始值,賦閒_年增率(%),賦閒_原始值,賦閒_年增率(%),賦閒_原始值,賦閒_年增率(%),傷病_原始值,傷病_年增率(%),傷病_原始值,傷病_年增率(%),傷病_原始值,傷病_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
2006M01,201,0.02,133,-5.48,68,12.98,"2,178",0.97,"1,124",1.47,"1,054",0.44,"2,489",-2.31,14,-22.30,"2,475",-2.17,"2,106",3.27,"1,118",2.40,988,4.28,0,--,0,--,0,--,0,--,0,--,0,--,657,10.22,521,6.31,136,28.33
2006M02,195,-5.37,134,-6.87,61,-1.87,"2,205",2.10,"1,132",1.83,"1,073",2.37,"2,502",-2.12,17,-7.52,"2,485",-2.08,"2,104",2.69,"1,111",1.00,993,4.66,0,--,0,--,0,--,0,--,0,--,0,--,661,12.02,524,7.88,138,31.14
2006M03,191,-10.58,131,-8.62,60,-14.56,"2,218",1.94,"1,139",1.83,"1,079",2.06,"2,485",-2.86,12,-32.94,"2,473",-2.64,"2,110",3.03,"1,116",1.43,994,4.88,0,--,0,--,0,--,0,--,0,--,0,--,659,12.30,529,10.18,130,21.86
2006M04,189,-9.21,129,-7.98,61,-11.71,"2,237",1.95,"1,154",2.32,"1,084",1.55,"2,488",-2.51,7,-43.05,"2,481",-2.30,"2,107",2.84,"1,114",1.53,993,4.34,0,--,0,--,0,--,0,--,0,--,0,--,650,11.69,524,9.27,126,23.05
2006M05,183,-9.19,116,-10.12,68,-7.57,"2,250",1.77,"1,169",1.22,"1,080",2.37,"2,459",-2.55,12,-43.64,"2,447",-2.20,"2,116",2.80,"1,118",2.14,998,3.55,0,--,0,--,0,--,0,--,0,--,0,--,658,13.53,514,10.63,144,25.22
2006M06,185,-6.42,119,-12.23,66,6.18,"2,240",2.02,"1,159",1.67,"1,081",2.40,"2,441",-3.17,12,-42.44,"2,428",-2.84,"2,123",2.68,"1,117",1.64,"1,006",3.86,0,--,0,--,0,--,0,--,0,--,0,--,672,12.77,535,11.23,137,19.21
2006M07,195,-4.71,125,-5.99,70,-2.33,"2,160",1.37,"1,115",1.37,"1,045",1.37,"2,432",-3.61,14,-8.84,"2,418",-3.57,"2,125",2.13,"1,119",1.03,"1,006",3.37,498,--,417,--,81,--,124,--,88,--,37,--,77,-87.68,59,-88.58,18,-83.22
2006M08,205,-4.06,115,-14.60,90,13.73,"2,124",1.93,"1,123",2.42,"1,001",1.38,"2,427",-4.10,20,23.20,"2,407",-4.27,"2,123",1.75,"1,119",1.21,"1,004",2.34,495,--,398,--,97,--,144,--,103,--,41,--,72,-88.66,60,-88.45,11,-89.66
2006M09,211,-3.84,112,-20.04,99,24.90,"2,160",1.40,"1,152",4.30,"1,008",-1.72,"2,422",-3.84,15,-5.26,"2,408",-3.83,"2,127",1.53,"1,110",0.33,"1,017",2.88,517,--,417,--,100,--,149,--,100,--,50,--,53,-91.82,41,-92.20,11,-90.04
2006M10,214,-3.41,120,-19.08,94,28.36,"2,155",1.60,"1,135",3.09,"1,020",-0.01,"2,406",-3.60,10,-16.96,"2,396",-3.54,"2,138",1.62,"1,109",-0.02,"1,029",3.45,533,--,442,--,90,--,146,--,99,--,47,--,47,-92.75,32,-94.06,16,-86.88
