期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機械工業_原始值,金屬機械工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1981,...,...,21.22,3.51,...,...,19.89,-3.96,...,...,19.49,3.62,23.91,2.88,3.55,11.29,25.43,-0.04,97.92,5.47,20.29,-1.79,32.86,7.11,148.15,10.60
1982,...,...,21.04,-0.85,...,...,20.04,0.75,...,...,19.66,0.87,23.38,-2.22,3.57,0.56,26.20,3.03,98.61,0.70,20.63,1.68,35.38,7.67,102.96,-30.50
1983,...,...,23.70,12.64,...,...,22.71,13.32,...,...,22.37,13.78,26.91,15.10,4.64,29.97,30.09,14.85,105.91,7.40,22.98,11.39,38.57,9.02,98.03,-4.79
1984,...,...,26.51,11.86,...,...,25.39,11.80,...,...,25.15,12.43,29.30,8.88,5.96,28.45,34.09,13.29,114.31,7.93,24.80,7.92,40.49,4.98,109.57,11.77
1985,...,...,27.22,2.68,...,...,26.09,2.76,...,...,25.80,2.58,29.75,1.54,5.70,-4.36,36.15,6.04,117.36,2.67,26.41,6.49,43.68,7.88,109.96,0.36
1986,...,...,31.03,14.00,...,...,29.93,14.72,...,...,29.74,15.27,34.78,16.91,7.23,26.84,41.74,15.46,128.60,9.58,29.56,11.93,46.17,5.70,99.62,-9.40
1987,...,...,34.32,10.60,...,...,33.21,10.96,...,...,33.03,11.06,39.47,13.48,8.92,23.37,45.57,9.18,136.29,5.98,32.81,10.99,49.81,7.88,96.59,-3.04
1988,...,...,35.78,4.25,...,...,34.53,3.97,...,...,34.23,3.63,42.90,8.69,9.78,9.64,47.78,4.85,130.55,-4.21,35.73,8.90,53.92,8.25,114.51,18.55
1989,...,...,37.13,3.77,...,...,35.79,3.65,...,...,35.47,3.62,46.48,8.34,10.19,4.19,49.34,3.26,130.44,-0.08,36.87,3.19,57.78,7.16,121.82,6.38
1990,...,...,37.05,-0.22,...,...,35.69,-0.28,...,...,35.22,-0.70,47.31,1.79,10.46,2.65,48.70,-1.30,125.49,-3.79,39.45,7.00,61.08,5.71,122.58,0.62
