期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2007M09,"23,252,185",0.93,"2,661,091",-6.75,"12,831,588",6.69,"1,458,727",-15.45,"4,388,345",13.04,"510,816",-15.45,"464,076",-41.48,"937,542",-18.65,"16,710,957",0.52,"1,981,305",-8.32,"8,856,991",6.91,"312,355",-22.49,"3,879,925",11.16,"310,445",-16.96,"450,537",-42.69,"919,399",-18.29,"6,541,228",2.00,"679,786",-1.84,"3,974,597",6.21,"1,146,372",-13.30,"508,420",29.85,"200,371",-13.00,"13,539",96.67,"18,143",-33.34
2007M10,"22,356,715",3.59,"2,604,702",-9.25,"11,805,843",8.12,"1,528,770",-3.17,"4,701,020",7.22,"555,041",26.79,"441,107",111.72,"720,232",-39.14,"15,543,548",3.05,"1,902,287",-16.43,"7,728,931",7.86,"247,175",215.19,"4,169,069",5.58,"368,495",45.98,"425,747",111.25,"701,844",-39.52,"6,813,167",4.84,"702,415",18.26,"4,076,912",8.61,"1,281,595",-14.59,"531,951",22.10,"186,546",0.65,"15,360",125.55,"18,388",-19.69
2007M11,"21,574,374",-1.97,"2,369,832",-22.34,"11,707,698",13.04,"1,351,323",-10.53,"4,731,609",-11.04,"499,476",30.69,"235,236",-0.75,"679,200",-41.05,"15,336,274",-2.93,"1,719,456",-26.97,"7,985,091",16.26,"222,491",85.28,"4,226,435",-12.39,"322,285",23.61,"226,327",-2.95,"634,189",-44.31,"6,238,100",0.47,"650,376",-6.70,"3,722,607",6.71,"1,128,832",-18.81,"505,174",2.16,"177,191",45.90,"8,909",134.08,"45,011",236.98
2007M12,"23,290,875",14.72,"2,788,737",9.33,"13,249,017",27.40,"1,556,326",27.14,"3,899,339",-9.22,"408,654",-38.90,"638,986",153.79,"749,816",-17.85,"16,464,401",17.32,"2,137,635",12.72,"9,292,596",40.27,"143,554",92.18,"3,331,712",-13.38,"190,740",-57.72,"621,469",152.72,"746,695",-16.55,"6,826,474",8.89,"651,102",-0.47,"3,956,421",4.80,"1,412,772",22.92,"567,627",26.37,"217,914",0.12,"17,517",198.82,"3,121",-82.65
2008M01,"23,512,248",-8.21,"2,936,582",-0.44,"12,919,704",-4.79,"1,674,743",-5.50,"3,850,400",-14.24,"612,425",9.59,"613,791",-37.33,"904,603",-30.21,"16,748,564",-11.80,"2,300,807",3.87,"8,762,352",-10.79,"379,911",20.59,"3,350,395",-16.29,"457,980",20.70,"601,196",-38.27,"895,923",-30.05,"6,763,684",2.08,"635,775",-13.45,"4,157,352",10.95,"1,294,832",-11.14,"500,005",2.67,"154,445",-13.92,"12,595",131.23,"8,680",-42.87
2008M02,"19,006,464",-0.82,"1,896,393",-10.82,"11,109,699",6.39,"1,043,972",-20.17,"3,487,868",0.34,"469,474",13.48,"312,244",-33.89,"686,814",-25.71,"13,711,348",-2.35,"1,425,520",-15.03,"7,608,299",3.05,"178,639",-28.95,"3,158,255",0.34,"359,035",70.91,"302,018",-34.93,"679,582",-25.09,"5,295,116",3.38,"470,873",4.91,"3,501,400",14.46,"865,333",-18.08,"329,613",0.31,"110,439",-45.77,"10,226",25.32,"7,232",-58.17
2008M03,"26,092,159",14.45,"2,762,230",2.05,"14,712,088",21.35,"1,589,962",-5.56,"4,984,436",18.67,"446,906",2.73,"693,830",-5.41,"902,707",-1.43,"19,003,006",17.12,"2,061,045",4.63,"10,499,719",24.66,"240,728",1.54,"4,438,529",19.86,"196,095",-27.06,"673,628",-6.24,"893,262",-1.29,"7,089,153",7.84,"701,185",-4.86,"4,212,369",13.82,"1,349,234",-6.72,"545,907",9.80,"250,811",50.90,"20,202",34.18,"9,445",-13.34
2008M04,"24,043,849",-1.23,"2,510,316",-1.62,"13,319,255",-5.60,"1,595,367",-16.40,"4,632,700",20.21,"525,578",-24.10,"710,057",38.43,"750,576",5.14,"17,448,390",0.90,"1,875,797",1.19,"9,171,278",-10.24,"391,948",16.87,"4,177,248",26.06,"401,980",9.58,"695,182",37.45,"734,957",4.87,"6,595,459",-6.44,"634,519",-9.09,"4,147,977",6.56,"1,203,419",-23.50,"455,452",-15.70,"123,598",-62.04,"14,875",107.90,"15,619",19.70
2008M05,"24,385,745",6.82,"2,786,961",5.83,"13,678,251",11.22,"1,296,069",-21.63,"4,986,932",12.32,"207,255",-43.94,"698,517",38.78,"731,760",-21.38,"17,595,530",11.02,"2,124,336",9.78,"9,304,754",10.91,"153,705",109.84,"4,493,894",14.80,"112,074",-26.93,"683,350",39.51,"723,417",-19.07,"6,790,215",-2.73,"662,625",-5.12,"4,373,497",11.86,"1,142,364",-27.72,"493,038",-6.12,"95,181",-56.01,"15,167",12.47,"8,343",-77.39
2008M06,"21,913,527",-2.11,"2,686,619",8.78,"11,931,480",-3.81,"1,503,090",2.96,"4,209,654",1.05,"339,882",-32.33,"481,456",9.06,"761,346",-19.25,"15,859,145",-0.04,"2,026,804",12.77,"8,378,886",-2.50,"261,594",22.90,"3,728,396",1.50,"242,045",4.41,"468,750",10.58,"752,670",-19.34,"6,054,382",-7.14,"659,815",-1.88,"3,552,594",-6.77,"1,241,496",-0.44,"481,258",-2.24,"97,837",-63.82,"12,706",-27.64,"8,676",-10.39
