期間,總計_原始值,總計_年增率(%),一般政務支出_原始值,一般政務支出_年增率(%),國防支出_原始值,國防支出_年增率(%),教育科學文化支出-合計_原始值,教育科學文化支出-合計_年增率(%),教育支出_原始值,教育支出_年增率(%),科學支出_原始值,科學支出_年增率(%),文化支出_原始值,文化支出_年增率(%),經濟發展支出-合計_原始值,經濟發展支出-合計_年增率(%),農業支出_原始值,農業支出_年增率(%),工業支出_原始值,工業支出_年增率(%),交通支出_原始值,交通支出_年增率(%),其他經濟服務支出_原始值,其他經濟服務支出_年增率(%),社會福利支出-合計_原始值,社會福利支出-合計_年增率(%),社會保險支出_原始值,社會保險支出_年增率(%),社會救助支出_原始值,社會救助支出_年增率(%),福利服務支出_原始值,福利服務支出_年增率(%),國民就業支出_原始值,國民就業支出_年增率(%),醫療保健支出_原始值,醫療保健支出_年增率(%),社區發展及環境保護支出-合計_原始值,社區發展及環境保護支出-合計_年增率(%),社區發展支出_原始值,社區發展支出_年增率(%),環境保護支出_原始值,環境保護支出_年增率(%),退休撫恤支出_原始值,退休撫恤支出_年增率(%),債務支出_原始值,債務支出_年增率(%),雜項支出_原始值,雜項支出_年增率(%)
1979,"246,888,081",11.47,"24,936,438",14.70,"70,464,144",12.84,"41,227,731",5.74,...,...,...,...,...,...,"77,566,993",8.82,...,...,...,...,...,...,...,...,"29,117,728",18.90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"338,920",-8.02,"3,236,127",49.42
1980,"340,362,650",37.86,"32,030,564",28.45,"103,141,034",46.37,"52,845,986",28.18,...,...,...,...,...,...,"108,859,513",40.34,...,...,...,...,...,...,...,...,"38,223,855",31.27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,826,529",438.93,"3,435,169",6.15
1981,"425,731,392",25.08,"42,218,998",31.81,"104,623,350",1.44,"75,408,911",42.70,...,...,...,...,...,...,"145,365,077",33.53,...,...,...,...,...,...,...,...,"51,294,988",34.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,756,296",-3.85,"5,063,772",47.41
1982,"487,253,354",14.45,"50,137,264",18.76,"119,640,527",14.35,"87,421,674",15.93,...,...,...,...,...,...,"147,480,238",1.46,...,...,...,...,...,...,...,...,"71,818,948",40.01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,391,035",36.14,"8,363,668",65.17
1983,"489,894,459",0.54,"54,479,854",8.66,"134,155,473",12.13,"96,266,845",10.12,...,...,...,...,...,...,"121,183,834",-17.83,...,...,...,...,...,...,...,...,"32,518,200",-54.72,...,...,...,...,...,...,...,...,...,...,"12,334,489",...,...,...,...,...,"30,936,101",...,"4,196,548",75.51,"3,823,115",-54.29
1984,"506,223,779",3.33,"53,647,863",-1.53,"123,417,611",-8.00,"98,563,617",2.39,...,...,...,...,...,...,"138,612,897",14.38,...,...,...,...,...,...,...,...,"33,911,201",4.28,...,...,...,...,...,...,...,...,...,...,"13,187,689",6.92,...,...,...,...,"34,863,023",12.69,"5,657,004",34.80,"4,362,874",14.12
1985,"546,337,833",7.92,"61,968,012",15.51,"135,242,585",9.58,"111,522,051",13.15,...,...,...,...,...,...,"138,021,357",-0.43,...,...,...,...,...,...,...,...,"34,279,484",1.09,...,...,...,...,...,...,...,...,...,...,"14,001,480",6.17,...,...,...,...,"40,462,210",16.06,"6,031,789",6.63,"4,808,865",10.22
1986,"616,717,846",12.88,"70,076,529",13.09,"153,587,770",13.56,"129,018,453",15.69,...,...,...,...,...,...,"154,534,271",11.96,...,...,...,...,...,...,...,...,"40,591,479",18.41,...,...,...,...,...,...,...,...,...,...,"15,785,575",12.74,...,...,...,...,"42,888,311",6.00,"5,394,101",-10.57,"4,841,357",0.68
1987,"641,910,820",4.09,"72,073,513",2.85,"148,798,300",-3.12,"133,700,061",3.63,...,...,...,...,...,...,"171,363,968",10.89,...,...,...,...,...,...,...,...,"37,085,134",-8.64,...,...,...,...,...,...,...,...,...,...,"18,265,813",15.71,...,...,...,...,"47,724,184",11.28,"6,988,774",29.56,"5,911,073",22.10
1988,"726,468,366",13.17,"80,222,307",11.31,"160,374,536",7.78,"147,182,528",10.08,...,...,...,...,...,...,"192,405,725",12.28,...,...,...,...,...,...,...,...,"55,169,160",48.76,...,...,...,...,...,...,...,...,...,...,"21,882,739",19.80,...,...,...,...,"55,242,402",15.75,"8,000,490",14.48,"5,988,479",1.31
1989,"1,207,350,774",66.19,"97,298,843",21.29,"187,907,780",17.17,"205,000,812",39.28,...,...,...,...,...,...,"541,384,677",181.38,...,...,...,...,...,...,...,...,"65,488,382",18.70,...,...,...,...,...,...,...,...,...,...,"26,103,761",19.29,...,...,...,...,"61,982,583",12.20,"10,701,208",33.76,"11,482,728",91.75
1990,"1,097,517,620",-9.10,"125,786,116",29.28,"210,974,301",12.28,"227,271,390",10.86,...,...,...,...,...,...,"302,280,978",-44.17,...,...,...,...,...,...,...,...,"96,207,023",46.91,...,...,...,...,...,...,...,...,...,...,"31,248,194",19.71,...,...,...,...,"76,245,588",23.01,"16,755,409",56.57,"10,748,621",-6.39
