期間,總計_原始值,總計_年增率(%),產業外籍勞工-合計_原始值,產業外籍勞工-合計_年增率(%),產業外籍勞工-農、林、漁、牧業(國內外船員)_原始值,產業外籍勞工-農、林、漁、牧業(國內外船員)_年增率(%),產業外籍勞工-製造業_原始值,產業外籍勞工-製造業_年增率(%),產業外籍勞工-製造業-重大投資_原始值,產業外籍勞工-製造業-重大投資_年增率(%),產業外籍勞工-營造業_原始值,產業外籍勞工-營造業_年增率(%),產業外籍勞工-營造業-重大公共工程_原始值,產業外籍勞工-營造業-重大公共工程_年增率(%),社福外籍勞工-合計_原始值,社福外籍勞工-合計_年增率(%),社福外籍勞工-看護工_原始值,社福外籍勞工-看護工_年增率(%),社福外籍勞工-家庭幫傭_原始值,社福外籍勞工-家庭幫傭_年增率(%)
2006M03,"333,189",9.30,"183,900",4.24,"3,233",13.04,"167,543",3.67,"81,567",9.36,"13,124",9.82,"6,354",-7.98,"149,289",16.26,"146,992",16.67,"2,297",-5.08
2006M04,"333,593",10.22,"184,720",5.39,"3,238",9.58,"168,060",4.92,"82,123",9.99,"13,422",10.57,"6,634",-1.06,"148,873",16.88,"146,602",17.28,"2,271",-4.06
2006M05,"333,477",11.24,"184,723",6.20,"3,246",12.28,"168,645",6.38,"83,078",12.21,"12,832",2.58,"6,196",-7.33,"148,754",18.21,"146,457",18.54,"2,297",-0.04
2006M06,"336,945",12.05,"186,831",7.36,"3,223",12.77,"170,808",7.99,"84,399",13.69,"12,800",-1.47,"6,200",-7.30,"150,114",18.49,"147,791",18.78,"2,323",2.24
2006M07,"336,779",10.85,"185,470",6.18,"3,198",9.82,"169,625",6.83,"84,256",12.77,"12,647",-2.60,"6,136",-2.63,"151,309",17.17,"148,962",17.39,"2,347",4.36
2006M08,"336,462",8.53,"184,715",4.38,"3,152",9.14,"169,134",5.07,"84,292",11.39,"12,429",-5.19,"6,030",-3.24,"151,747",14.06,"149,387",14.23,"2,360",4.29
2006M09,"336,864",6.76,"184,301",2.79,"3,153",9.14,"168,986",3.58,"84,308",9.76,"12,162",-8.35,"5,931",-4.81,"152,563",11.99,"150,194",12.09,"2,369",5.85
2006M10,"336,985",5.11,"184,259",1.88,"3,145",5.43,"169,065",2.89,"84,242",8.54,"12,049",-11.13,"5,963",-7.96,"152,726",9.28,"150,326",9.34,"2,400",5.87
2006M11,"338,041",4.73,"184,871",1.65,"3,243",8.17,"169,498",2.48,"84,182",7.25,"12,130",-10.03,"6,007",-6.05,"153,170",8.71,"150,764",8.74,"2,406",6.89
2006M12,"338,755",3.47,"184,970",0.87,"3,322",5.56,"169,903",1.78,"83,993",5.56,"11,745",-11.73,"5,884",-4.99,"153,785",6.78,"151,391",6.80,"2,394",5.79
