期間,權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%)
2010M04,659,423.02,313,311.84,"489,178",124.56,"1,539",-82.22,0,--,"55,582",-42.64,701,-99.25,"5,370",453.61
2010M05,337,90.40,"1,594",--,"571,734",180.38,"8,048",58.43,0,--,"45,749",-25.73,878,-97.65,"8,783","1,024.58"
2010M06,484,48.01,293,452.83,"343,505",49.38,"5,234",71.66,0,--,"63,006",8.40,768,-97.98,"11,181","1,135.47"
2010M07,248,-17.88,135,--,"370,214",59.96,"5,776",-0.53,0,--,"59,226",-15.65,503,-98.65,"1,360",74.81
2010M08,240,22.45,171,-39.36,"349,295",62.69,"7,696",208.33,0,--,"62,326",30.99,546,-98.53,"41,854","5,602.18"
2010M09,139,-62.63,76,-79.23,"343,265",29.31,"2,465",-41.78,0,--,"34,054",-27.84,714,-98.13,"13,275",430.79
2010M10,205,-30.27,156,--,"396,698",58.75,"7,256",195.20,0,--,"37,420",-23.82,"1,351",-96.69,"3,399",33.61
2010M11,350,-4.37,353,-31.85,"383,209",38.56,"4,343",41.14,0,--,"42,073",55.33,"1,072",-97.40,"3,469",66.62
2010M12,320,-27.44,251,70.75,"371,441",36.71,"2,968",-18.53,0,--,"48,520",1.30,"1,289",-97.16,"4,555","1,208.91"
2011M01,"1,298",197.03,"1,350",99.41,"547,617",88.47,"6,401",121.72,0,--,"54,432",-6.05,"1,894",98.74,"29,074","2,265.66"
2011M02,827,407.36,197,--,"673,684",198.78,"6,799",66.28,0,--,"34,022",-41.29,"1,342",121.09,"89,494","10,058.23"
2011M03,"151,852","127,506.72","1,090","1,457.14","753,756",107.41,"22,796",540.16,0,--,"39,167",-45.25,"1,016",131.96,"74,205","1,628.11"
2011M04,"1,880",185.28,"2,100",570.93,"612,754",25.26,"27,976","1,717.80",0,--,"31,256",-43.77,"15,416","2,099.14","46,842",772.29
2011M05,"5,068","1,403.86",774,-51.44,"586,520",2.59,"24,817",208.36,0,--,"55,990",22.39,"1,058",20.50,"22,841",160.06
2011M06,"7,152","1,377.69","2,027",591.81,"441,858",28.63,"24,277",363.83,0,--,"90,555",43.72,"1,251",62.89,"23,492",110.11
2011M07,"3,555","1,333.47","1,841","1,263.70","385,693",4.18,"21,214",267.28,0,--,"51,690",-12.72,"1,296",157.65,"16,236","1,093.82"
2011M08,"1,495",522.92,688,302.34,"509,341",45.82,"41,882",444.20,0,--,"62,511",0.30,"2,700",394.51,"20,239",-51.64
2011M09,"5,688","3,992.09",144,89.47,"325,643",-5.13,"41,733","1,593.02",0,--,"61,683",81.13,"1,607",125.07,"25,038",88.61
2011M10,"2,944","1,336.10","1,199",668.59,"221,052",-44.28,"19,989",175.48,30,--,"93,345",149.45,"1,962",45.23,"14,813",335.80
2011M11,"6,354","1,715.43",636,80.17,"260,292",-32.08,"30,092",592.89,0,--,"42,195",0.29,"1,751",63.34,"5,826",67.94
2011M12,"3,973","1,141.56",226,-9.96,"217,623",-41.41,"7,678",158.69,0,--,"38,527",-20.60,"2,094",62.45,"5,012",10.03
2012M01,852,-34.36,864,-36.00,"167,473",-69.42,"10,488",63.85,0,--,"40,106",-26.32,"1,303",-31.20,"9,214",-68.31
2012M02,745,-9.92,"1,591",707.61,"259,287",-61.51,"10,904",60.38,0,--,"68,799",102.22,"3,088",130.10,"7,255",-91.89
2012M03,"1,113",-99.27,"1,195",9.63,"306,104",-59.39,"18,862",-17.26,0,--,"42,916",9.57,"1,496",47.24,"6,546",-91.18
2012M04,789,-58.03,"1,572",-25.14,"258,123",-57.87,"15,732",-43.77,0,--,"31,479",0.71,"1,887",-87.76,"4,033",-91.39
2012M05,733,-85.54,"2,489",221.58,"266,892",-54.50,"14,767",-40.50,0,--,"39,404",-29.62,"1,712",61.81,"5,024",-78.00
2012M06,768,-89.26,462,-77.21,"179,819",-59.30,"13,283",-45.29,0,--,"34,705",-61.68,"2,015",61.07,"2,695",-88.53
2012M07,129,-96.37,"2,140",16.24,"201,993",-47.63,"18,238",-14.03,0,--,"41,273",-20.15,"1,444",11.42,"6,855",-57.78
2012M08,408,-72.71,"3,028",340.12,"220,225",-56.76,"5,619",-86.58,0,--,"41,013",-34.39,"2,020",-25.19,"5,028",-75.16
2012M09,438,-92.30,"3,312","2,200.00","191,493",-41.20,"3,681",-91.18,0,--,"31,862",-48.35,"1,641",2.12,"2,193",-91.24
2012M10,512,-82.61,"5,845",387.49,"290,667",31.49,"5,487",-72.55,0,-100.00,"32,246",-65.46,"1,422",-27.52,"7,060",-52.34
2012M11,484,-92.38,"3,753",490.09,"372,193",42.99,"8,611",-71.38,0,--,"29,982",-28.94,928,-47.00,"8,770",50.53
2012M12,360,-90.94,"1,870",727.43,"337,329",55.01,"6,162",-19.74,0,--,"22,253",-42.24,"1,352",-35.43,"7,104",41.74
2013M01,901,5.75,"11,232","1,200.00","389,923",132.83,"4,013",-61.74,0,--,"21,192",-47.16,"1,137",-12.74,"6,134",-33.43
2013M02,387,-48.05,"3,466",117.85,"181,711",-29.92,"5,135",-52.91,0,--,"16,260",-76.37,"1,296",-58.03,"3,120",-57.00
2013M03,926,-16.80,"2,074",73.56,"288,337",-5.80,"7,928",-57.97,0,--,"19,633",-54.25,"1,005",-32.82,"7,509",14.71
2013M04,471,-40.30,"4,721",200.32,"338,405",31.10,"9,600",-38.98,0,--,"15,028",-52.26,"2,660",40.96,"13,723",240.27
2013M05,905,23.47,"1,565",-37.12,"431,398",61.64,"14,343",-2.87,0,--,"14,167",-64.05,"1,690",-1.29,"18,539",269.01
2013M06,174,-77.34,"1,753",279.44,"303,876",68.99,"26,543",99.83,0,--,"14,711",-57.61,"1,690",-16.13,"8,489",214.99
2013M07,426,230.23,"5,138",140.09,"407,880",101.93,"10,868",-40.41,0,--,"16,469",-60.10,"1,543",6.86,"11,295",64.77
2013M08,675,65.44,"5,096",68.30,"329,042",49.41,"17,193",205.98,0,--,"12,113",-70.47,"2,442",20.89,"17,933",256.66
2013M09,28,-93.61,"3,002",-9.36,"349,480",82.50,"6,496",76.47,0,--,"9,657",-69.69,"1,332",-18.83,"8,774",300.09
2013M10,52,-89.84,"2,890",-50.56,"315,120",8.41,"7,533",37.29,0,--,"11,938",-62.98,"1,448",1.83,"10,315",46.10
2013M11,112,-76.86,"1,673",-55.42,"325,213",-12.62,"4,155",-51.75,0,--,"9,754",-67.47,946,1.94,"4,573",-47.86
2013M12,"1,488",313.19,"1,026",-45.13,"353,494",4.79,"1,094",-82.25,0,--,"11,211",-49.62,"1,292",-4.44,"6,094",-14.22
2014M01,"4,910",444.95,"2,614",-76.73,"353,676",-9.30,"7,430",85.15,0,--,"12,460",-41.20,940,-17.33,"9,887",61.18
