期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2007M09,"2,799,363","21,096","5,891","329,838","154,003","11,557","8,943","237,790","43,822","1,905,863","1,932","78,628"
2007M10,"2,898,999","1,866","100,541","380,234","169,526","14,459","15,958","169,637","13,668","1,921,144","1,772","110,194"
2007M11,"3,486,655","1,697","30,182","526,297","219,779","11,073","70,039","370,541","87,047","2,077,705","1,185","91,110"
2007M12,"3,013,520","4,953","26,830","390,205","143,957","8,072","23,211","300,455","49,104","2,023,714",610,"42,409"
2008M01,"3,451,848","4,713","47,323","557,407","174,121","14,577","20,717","340,066","7,405","2,115,166","11,788","158,565"
2008M02,"2,496,898","4,183","69,827","590,742","147,898","9,099","16,611","292,536","14,552","1,294,825","2,050","54,575"
2008M03,"2,495,950","5,803","40,146","367,390","160,258","7,658","26,797","339,056","37,091","1,412,817","1,920","97,014"
2008M04,"2,625,250",0,"114,226","268,300","145,858","20,846","174,009","250,184","8,304","1,565,719","2,319","75,485"
2008M05,"2,947,354","4,392","57,276","461,875","188,800","9,531","131,182","129,542","18,117","1,652,223","1,457","292,959"
2008M06,"2,917,409","7,570","55,762","402,988","160,351","28,772","32,561","494,131","16,288","1,669,748","2,507","46,731"
2008M07,"2,472,098",751,"44,159","452,407","156,683","35,158","25,100","181,284","57,713","1,447,071","1,735","70,037"
2008M08,"2,671,791","47,131","163,733","516,259","182,412","9,151","80,828","94,731","20,945","1,517,680","1,626","37,295"
2008M09,"2,521,583","2,929","59,576","501,358","161,838","5,838","6,306","262,003","19,006","1,427,956","1,235","73,538"
2008M10,"3,132,748","5,716","205,258","358,367","239,161","30,705","10,443","357,042","25,247","1,791,193",956,"108,660"
2008M11,"2,462,405","21,228","68,458","453,057","136,892","25,421","29,734","277,431","4,501","1,377,993","1,472","66,218"
2008M12,"2,521,800","5,517","76,284","425,183","204,510","18,821","29,440","531,575","4,286","1,142,214","3,613","80,357"
2009M01,"2,725,025","35,288","85,342","449,721","198,142","9,258","38,170","298,097","150,148","1,375,386",580,"84,893"
2009M02,"1,707,375","5,228","69,727","646,785","99,169","7,658","2,653","192,554","2,036","613,280",884,"67,401"
2009M03,"2,006,825",0,"126,376","331,814","139,375","12,005","19,531","245,674","29,825","1,052,463",887,"48,875"
2009M04,"2,080,970",405,"9,947","669,383","187,459","14,237","8,120","173,884","34,037","906,990","1,922","74,586"
2009M05,"2,130,301","23,940","71,822","205,786","234,766","7,851","37,851","201,722","16,066","1,302,721",829,"26,947"
2009M06,"2,465,940",0,"43,636","529,621","345,677","20,183","48,697","210,375","10,444","1,167,097","2,639","87,571"
2009M07,"2,108,080","1,764","23,385","223,349","181,842","15,225","21,998","150,682","3,092","1,415,898","2,275","68,570"
2009M08,"1,911,559","6,916","95,778","185,028","213,171","47,941","2,608","132,302","14,547","1,089,880","1,127","122,261"
2009M09,"2,541,019","2,438","210,493","387,314","220,964","9,434","30,729","257,562","49,069","1,240,507",652,"131,857"
2009M10,"2,202,226","11,862","42,725","417,793","68,846","24,297","15,108","331,254","103,625","1,088,992","1,028","96,696"
2009M11,"1,857,411","83,586","76,935","358,497","108,165","9,245","26,977","137,730","3,999","1,000,882","2,090","49,305"
2009M12,"2,798,199","27,199","335,424","416,637","229,434","56,806","100,725","250,851","24,973","1,263,876","1,372","90,902"
2010M01,"1,884,752","5,456","146,332","252,220","90,512","10,130","14,465","186,778","1,307","1,079,834",278,"97,440"
2010M02,"2,433,489","2,229",403,"673,878","119,380","25,885","19,633","245,524","20,777","1,041,722","1,720","282,338"
2010M03,"1,643,971","7,113","102,555","291,190","92,125","20,637","10,316","87,771","5,630","782,111","2,556","241,967"
2010M04,"1,782,110","2,776","41,097","396,997","69,629","19,442","10,469","192,272","11,394","952,068",79,"85,887"
2010M05,"1,528,229","2,024","5,159","210,875","62,128","11,142","82,960","198,458","7,689","885,983","1,603","60,208"
2010M06,"2,116,844","11,008","11,925","297,266","220,060","5,525","3,960","306,011","27,516","1,027,529",665,"205,379"
2010M07,"1,622,257","9,148","18,231","254,014","60,541","29,976","2,949","52,363",0,"1,096,788",28,"98,219"
2010M08,"1,805,567","3,361","16,005","211,272","163,872","13,259","38,062","271,773","10,963","921,001",299,"155,700"
2010M09,"2,215,008","3,712","31,673","352,915","130,245","18,834","12,158","179,102","2,775","1,392,511",0,"91,083"
2010M10,"1,979,132","5,127","95,988","356,887","114,573","13,507","11,903","77,202","76,644","1,097,885","1,255","128,161"
2010M11,"1,996,625","4,699","35,502","268,220","94,246","18,168","38,662","138,839","20,344","1,300,624",778,"76,543"
2010M12,"3,005,850","5,220","58,343","859,177","67,100","29,272","20,873","140,244","9,526","1,737,034","1,462","77,599"
