期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%)
2009,"1,185,483",10.26,"1,185,483",10.26
2010,"1,301,096",9.75,"1,301,096",9.75
2011,"1,404,831",7.97,"1,404,831",7.97
2012,"1,469,040",4.57,"1,469,040",4.57
