期間,景氣領先指標綜合指數(點)_原始值,景氣領先指標綜合指數(點)_年增率(%),外銷訂單指數(Index 2011=100)_原始值,外銷訂單指數(Index 2011=100)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業及服務業受僱員工淨進入率(%)_原始值,工業及服務業受僱員工淨進入率(%)_年增率(%),核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_原始值,核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_年增率(%),SEMI半導體接單出貨比(比率)_原始值,SEMI半導體接單出貨比(比率)_年增率(%)
1978M11,...,...,...,...,...,...,589,44.36,...,-,...,...,...,-
1978M12,...,...,...,...,...,...,572,33.02,...,-,...,...,...,-
1979M01,...,...,...,...,...,...,527,11.89,...,-,...,...,...,-
1979M02,...,...,...,...,...,...,534,9.65,...,-,...,...,...,-
1979M03,...,...,...,...,...,...,556,17.55,...,-,...,...,...,-
1979M04,...,...,...,...,...,...,637,33.54,...,-,...,...,...,-
1979M05,...,...,...,...,...,...,603,11.87,...,-,...,...,...,-
1979M06,...,...,...,...,...,...,575,7.88,...,-,...,...,...,-
1979M07,...,...,...,...,...,...,539,-6.10,...,-,...,...,...,-
1979M08,...,...,...,...,...,...,573,-4.66,...,-,...,...,...,-
1979M09,...,...,...,...,...,...,577,-12.58,...,-,...,...,...,-
1979M10,...,...,...,...,...,...,555,-17.53,...,-,...,...,...,-
1979M11,...,...,...,...,...,...,523,-11.21,...,-,...,...,...,-
1979M12,...,...,...,...,...,...,527,-7.87,...,-,...,...,...,-
1980M01,...,...,...,...,...,...,552,4.74,-0.34,-,...,...,...,-
1980M02,...,...,...,...,...,...,555,3.93,-0.21,-,...,...,...,-
1980M03,...,...,...,...,...,...,558,0.36,0.89,-,...,...,...,-
1980M04,...,...,...,...,...,...,520,-18.37,0.36,-,...,...,...,-
1980M05,...,...,...,...,...,...,510,-15.42,-0.04,-,...,...,...,-
1980M06,...,...,...,...,...,...,505,-12.17,0.57,-,...,...,...,-
1980M07,...,...,...,...,...,...,513,-4.82,2.11,-,...,...,...,-
1980M08,...,...,...,...,...,...,561,-2.09,0.74,-,...,...,...,-
1980M09,...,...,...,...,...,...,574,-0.52,0.09,-,...,...,...,-
1980M10,...,...,...,...,...,...,584,5.23,-1.17,-,...,...,...,-
1980M11,...,...,...,...,...,...,575,9.94,0.45,-,...,...,...,-
1980M12,...,...,...,...,...,...,557,5.69,1.08,-,...,...,...,-
1981M01,...,...,...,...,...,...,551,-0.18,-0.73,-,"2,025",...,...,-
