期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2004M07,419,-12.34,29,-17.14,-,--,5,-37.50,6,-60.00,3,0.00,3,-25.00,6,0.00,9,80.00,28,40.00,5,-28.57,12,20.00,2,--,1,-75.00,29,-39.58,4,-75.00,9,-10.00,71,14.52,97,-11.01,30,-16.67,27,-3.57,7,-58.82,12,-14.29,15,66.67,9,-25.00,345,-71.91,13,-92.35,-,--,17,-66.00,7,-91.57,5,-50.00,3,-94.00,7,-70.83,10,-61.54,18,-68.97,1,-92.86,3,-82.35,1,-50.00,4,-33.33,32,-53.62,7,-80.00,5,-81.48,45,-53.61,52,-61.19,37,-37.29,32,6.67,21,-73.08,12,-75.51,2,-93.75,11,-89.81
2004M08,425,-20.86,30,-28.57,-,--,6,-57.14,13,30.00,1,-87.50,3,-62.50,3,0.00,6,50.00,15,-34.78,5,150.00,8,-27.27,1,0.00,7,-12.50,35,0.00,10,-23.08,13,8.33,71,-23.66,107,-8.55,21,-46.15,25,-34.21,19,-32.14,11,10.00,9,50.00,6,-50.00,301,-27.47,13,0.00,-,--,6,-66.67,18,38.46,3,-50.00,3,-70.00,9,28.57,9,-35.71,7,-70.83,4,0.00,5,-28.57,-,--,4,-33.33,22,-26.67,14,7.69,4,-42.86,35,-30.00,50,-33.33,34,13.33,24,9.09,14,-50.00,9,-47.06,4,0.00,10,-37.50
2004M09,369,-21.32,22,-31.25,-,--,9,-35.71,10,0.00,2,-66.67,6,-25.00,4,-33.33,5,-37.50,9,-52.63,4,-42.86,9,-55.00,-,--,5,150.00,20,-37.50,8,-27.27,11,22.22,81,3.85,75,-27.88,22,-21.43,27,12.50,13,0.00,15,50.00,7,-41.67,5,-68.75,531,36.50,22,29.41,-,--,46,130.00,21,200.00,9,0.00,13,-23.53,10,-16.67,5,-28.57,10,-47.37,7,40.00,7,-36.36,-,--,11,120.00,46,53.33,14,100.00,13,18.18,101,68.33,86,30.30,34,100.00,25,38.89,12,-40.00,17,0.00,4,-33.33,18,200.00
2004M10,360,-27.57,27,-25.00,-,--,4,-71.43,8,-20.00,1,-90.00,3,-25.00,5,-50.00,5,-50.00,7,-61.11,2,-66.67,15,25.00,1,--,5,-44.44,29,-32.56,5,-37.50,8,-27.27,60,-26.83,79,-32.48,22,-31.25,32,45.45,10,66.67,17,21.43,11,10.00,4,-69.23,281,-19.02,18,100.00,-,--,14,-17.65,6,-33.33,6,-45.45,5,-28.57,6,-25.00,6,50.00,14,40.00,1,-66.67,9,0.00,1,0.00,2,-50.00,29,0.00,17,240.00,7,40.00,39,-30.36,32,-52.24,18,-28.00,15,-21.05,4,-66.67,15,0.00,2,-71.43,15,0.00
2004M11,408,-3.09,22,-24.14,-,--,13,44.44,10,150.00,1,-75.00,-,--,4,-42.86,5,-28.57,18,5.88,12,140.00,15,66.67,2,0.00,4,0.00,29,-30.95,8,-20.00,12,50.00,66,-14.29,86,13.16,21,-25.00,32,3.23,17,6.25,12,20.00,10,-16.67,9,0.00,273,-75.88,11,-80.36,-,--,9,-91.43,7,-75.86,2,-92.00,3,-88.46,4,-88.57,9,-50.00,10,-71.43,3,-50.00,10,-37.50,-,--,5,-72.22,27,-55.74,7,-63.16,9,-25.00,32,-88.45,60,-58.33,20,-16.67,14,-41.67,15,-64.29,7,-91.25,3,-78.57,6,-90.62
2004M12,432,-8.28,33,-15.38,-,--,12,9.09,4,-71.43,4,100.00,3,-25.00,3,-75.00,8,60.00,16,-11.11,4,-20.00,9,-50.00,-,--,4,-42.86,39,14.71,8,33.33,6,-60.00,79,11.27,96,-2.04,27,-32.50,31,29.17,5,-54.55,22,57.14,13,-7.14,6,-25.00,301,-72.83,6,-89.83,-,--,15,-68.75,10,-68.75,6,-75.00,7,-68.18,3,-90.00,5,-61.54,9,-76.32,2,-77.78,9,-59.09,1,-50.00,5,-58.33,28,-62.16,8,-55.56,11,-54.17,36,-72.31,52,-71.11,25,-24.24,22,-33.33,11,-86.59,13,-85.23,6,-87.50,11,-87.36
2005M01,352,12.10,19,-20.83,-,--,7,-46.15,6,-14.29,-,--,-,--,3,-25.00,3,-57.14,21,10.53,1,-50.00,9,-10.00,1,0.00,8,33.33,29,-6.45,9,80.00,8,33.33,55,5.77,76,38.18,31,55.00,21,40.00,8,60.00,15,36.36,16,166.67,6,-25.00,263,-12.33,8,-61.90,-,--,15,15.38,6,-33.33,7,-12.50,2,-83.33,3,-62.50,8,60.00,6,-53.85,4,300.00,2,-80.00,-,--,2,-33.33,34,41.67,5,-54.55,5,66.67,40,33.33,50,25.00,19,-17.39,15,-6.25,10,-33.33,11,0.00,6,-25.00,5,-66.67
2005M02,226,-35.98,12,-53.85,-,--,8,-20.00,4,-55.56,1,0.00,1,--,3,-40.00,3,0.00,9,-30.77,2,0.00,9,-18.18,-,--,2,-33.33,22,-18.52,4,-50.00,10,150.00,39,-38.10,46,-39.47,17,-41.38,13,-63.89,5,-50.00,7,0.00,6,100.00,3,-50.00,137,-77.97,5,-88.89,-,--,7,-65.00,5,-84.85,2,-83.33,-,--,4,-66.67,1,-95.24,1,-92.31,1,-85.71,3,-78.57,-,--,1,-85.71,18,-25.00,5,-89.80,3,-76.92,15,-76.56,30,-65.91,8,-55.56,11,-56.00,3,-86.96,3,-92.68,5,-28.57,6,-87.23
2005M03,419,5.01,26,44.44,-,--,6,-40.00,7,-53.33,2,-60.00,2,-60.00,7,75.00,6,-14.29,15,25.00,4,-33.33,11,-21.43,-,--,6,20.00,29,3.57,11,-8.33,10,-16.67,75,8.70,101,18.82,27,12.50,28,-6.67,12,-7.69,14,16.67,12,100.00,8,14.29,397,6.72,27,107.69,-,--,13,-13.33,20,33.33,11,10.00,3,-62.50,5,25.00,8,0.00,26,116.67,5,400.00,10,66.67,-,--,6,-14.29,28,-39.13,6,-60.00,4,-60.00,58,48.72,74,54.17,31,24.00,19,-38.71,16,-36.00,3,-70.00,8,0.00,16,6.67
2005M04,341,-24.22,22,-21.43,-,--,7,-41.67,7,-22.22,1,--,3,-25.00,5,-28.57,2,-71.43,18,12.50,3,-62.50,8,-38.46,1,--,7,0.00,36,-5.26,4,-66.67,13,0.00,53,-40.45,71,-21.98,20,-20.00,28,-3.45,8,-46.67,10,42.86,6,-14.29,8,-38.46,214,-18.01,6,-14.29,-,--,19,111.11,5,-58.33,5,66.67,2,-60.00,4,100.00,3,0.00,8,-33.33,1,-83.33,7,133.33,1,-50.00,2,-50.00,19,-34.48,4,300.00,3,-62.50,28,-36.36,46,4.55,15,-28.57,17,-15.00,7,16.67,-,--,7,250.00,5,-44.44
