期間,進入率_工業及服務業,進入率_工業部門,進入率_礦業及土石採取業,進入率_製造業,進入率_食品製造業,進入率_飲料及菸草製造業,進入率_紡織業,進入率_成衣及服飾品製造業,進入率_皮革、毛皮及其製品製造業,進入率_木竹製品製造業,進入率_紙漿、紙及紙製品製造業,進入率_印刷及資料儲存媒體複製業,進入率_石油及煤製品製造業,進入率_化學材料製造業,進入率_化學製品製造業,進入率_藥品製造業,進入率_橡膠製品製造業,進入率_塑膠製品製造業,進入率_非金屬礦物製品製造業,進入率_基本金屬製造業,進入率_金屬製品製造業,進入率_電子零組件製造業,進入率_電腦、電子產品及光學製品製造業,進入率_電力設備製造業,進入率_機械設備製造業,進入率_汽車及其零件製造業,進入率_其他運輸工具製造業,進入率_家具製造業,進入率_其他製造業,進入率_產業用機械設備維修及安裝業,進入率_電力及燃氣供應業,進入率_用水供應及污染整治業,進入率_營造業,進入率_服務業部門,進入率_批發及零售業,進入率_運輸及倉儲業,進入率_住宿及餐飲業,進入率_資訊及通訊傳播業,進入率_金融及保險業,進入率_不動產業,進入率_專業、科學及技術服務業,進入率_支援服務業,進入率_教育服務業,進入率_醫療保健服務業,進入率_藝術、娛樂及休閒服務業,進入率_其他服務業,退出率_工業及服務業,退出率_工業部門,退出率_礦業及土石採取業,退出率_製造業,退出率_食品製造業,退出率_飲料及菸草製造業,退出率_紡織業,退出率_成衣及服飾品製造業,退出率_皮革、毛皮及其製品製造業,退出率_木竹製品製造業,退出率_紙漿、紙及紙製品製造業,退出率_印刷及資料儲存媒體複製業,退出率_石油及煤製品製造業,退出率_化學材料製造業,退出率_化學製品製造業,退出率_藥品製造業,退出率_橡膠製品製造業,退出率_塑膠製品製造業,退出率_非金屬礦物製品製造業,退出率_基本金屬製造業,退出率_金屬製品製造業,退出率_電子零組件製造業,退出率_電腦、電子產品及光學製品製造業,退出率_電力設備製造業,退出率_機械設備製造業,退出率_汽車及其零件製造業,退出率_其他運輸工具製造業,退出率_家具製造業,退出率_其他製造業,退出率_產業用機械設備維修及安裝業,退出率_電力及燃氣供應業,退出率_用水供應及污染整治業,退出率_營造業,退出率_服務業部門,退出率_批發及零售業,退出率_運輸及倉儲業,退出率_住宿及餐飲業,退出率_資訊及通訊傳播業,退出率_金融及保險業,退出率_不動產業,退出率_專業、科學及技術服務業,退出率_支援服務業,退出率_教育服務業,退出率_醫療保健服務業,退出率_藝術、娛樂及休閒服務業,退出率_其他服務業
1973,-,5.43,5.37,4.85,6.73,3.71,5.87,4.92,5.16,4.54,2.73,0.42,0.66,2.98,3.17,3.21,4.23,6.50,5.98,3.35,5.37,-,-,4.38,3.95,4.12,4.16,6.41,6.15,5.17,0.88,-,13.74,-,-,3.57,-,-,-,-,-,-,-,-,-,-,-,4.88,4.78,4.43,6.66,3.43,4.54,7.32,5.40,4.09,3.77,0.26,0.71,2.41,2.41,2.57,4.30,4.96,3.65,2.48,4.29,-,-,3.48,3.74,2.86,2.84,4.67,5.02,4.86,0.66,-,11.50,-,-,3.30,-,-,-,-,-,-,-,-,-,-
1974,-,4.59,4.84,3.77,6.07,4.36,4.05,3.08,3.66,2.74,4.90,0.82,1.00,5.37,2.33,1.70,3.81,5.00,6.24,5.80,4.42,-,-,2.70,2.61,2.84,3.17,5.12,3.45,4.16,1.31,-,13.22,-,-,2.84,-,-,-,-,-,-,-,-,-,-,-,4.73,4.52,4.29,6.34,5.20,4.27,2.93,4.37,4.67,3.79,0.29,0.61,4.55,2.00,2.15,3.42,4.09,6.28,5.41,3.99,-,-,4.95,3.31,2.06,3.70,4.41,4.06,4.72,0.99,-,9.79,-,-,3.29,-,-,-,-,-,-,-,-,-,-
1975,-,5.07,4.25,4.18,7.19,3.00,5.17,3.91,5.23,5.15,2.25,0.59,0.45,2.87,2.23,1.97,2.79,5.57,3.17,2.22,4.42,-,-,3.47,3.09,2.72,2.72,5.49,4.94,4.70,1.41,-,12.14,-,-,2.38,-,-,1.27,1.43,2.82,-,-,-,-,-,-,4.31,4.39,3.56,6.91,3.02,4.45,3.43,4.08,3.91,1.91,0.73,0.29,2.49,1.79,1.49,3.48,3.70,2.99,1.63,3.75,-,-,3.03,2.70,2.04,2.45,4.46,3.80,3.91,0.65,-,10.07,-,-,2.31,-,-,0.73,1.33,2.45,-,-,-,-,-
1976,-,5.19,4.37,4.67,5.89,3.99,5.15,4.40,5.53,4.72,2.51,0.56,1.05,3.85,1.89,2.64,4.14,4.93,3.33,3.41,7.06,-,-,5.29,3.46,2.73,3.34,6.49,4.89,5.51,0.89,-,9.27,-,-,2.42,-,-,2.13,1.28,3.23,-,-,-,-,-,-,4.27,4.11,3.80,5.59,4.05,4.77,4.08,4.36,3.94,1.96,0.45,0.66,3.31,1.95,1.90,3.17,3.78,2.60,2.39,5.14,-,-,3.70,3.38,2.19,2.53,4.60,3.92,4.58,0.63,-,7.76,-,-,2.10,-,-,1.59,1.21,2.99,-,-,-,-,-
1977,-,4.32,3.10,3.84,6.63,9.62,4.19,4.27,3.69,3.58,2.44,1.18,0.41,2.43,2.24,2.35,2.42,3.99,3.42,3.37,4.30,-,-,4.25,5.15,4.39,3.41,4.58,2.96,4.07,1.08,-,7.58,-,3.28,2.95,-,-,1.86,1.16,2.95,-,-,-,-,-,-,3.64,3.87,3.22,5.61,5.98,4.29,3.81,2.52,3.22,1.84,0.19,0.64,1.94,1.46,1.57,1.63,2.48,2.68,2.16,2.97,-,-,3.59,4.74,2.92,2.91,3.13,2.42,4.00,0.69,-,6.24,-,2.67,2.67,-,-,0.99,1.05,1.85,-,-,-,-,-
1978,-,5.34,4.58,4.47,5.20,4.87,4.10,6.48,5.46,3.31,2.76,1.50,0.87,5.35,4.23,2.39,5.07,3.68,4.18,4.09,4.78,-,-,5.47,4.73,5.21,4.18,5.05,2.87,5.38,1.45,-,10.71,-,3.82,3.10,-,-,1.11,0.80,1.40,-,-,-,-,-,-,4.49,5.30,3.79,4.49,3.46,3.75,5.97,5.11,3.49,2.13,0.79,0.73,3.17,3.07,2.03,4.01,3.33,3.60,2.96,4.26,-,-,3.72,3.41,2.90,2.35,2.55,2.76,4.26,1.03,-,8.60,-,3.44,2.57,-,-,0.33,0.69,0.75,-,-,-,-,-
1979,-,5.73,2.55,5.56,3.80,5.58,6.17,10.03,6.93,4.03,3.38,1.23,1.32,4.07,4.08,2.86,3.19,4.12,3.03,2.65,3.63,-,-,1.98,3.87,3.98,4.14,5.23,6.23,6.62,0.94,-,7.42,-,3.42,3.83,-,-,1.75,0.72,4.79,-,-,0.91,0.83,5.61,-,5.52,3.40,5.25,3.71,5.20,6.26,10.21,6.08,4.43,3.26,1.03,0.27,3.53,3.55,2.55,2.75,3.79,2.93,2.11,2.85,-,-,1.88,3.88,2.50,3.81,4.50,5.35,6.86,0.67,-,7.71,-,2.72,3.49,-,-,0.98,0.68,1.49,-,-,0.43,0.74,1.17
1980,3.76,3.98,3.18,3.90,3.73,4.61,4.26,4.11,4.47,3.68,2.71,1.02,0.62,2.13,2.94,2.64,2.71,4.02,2.72,2.58,3.94,4.06,4.76,4.06,3.76,4.99,3.31,4.13,6.57,4.59,1.15,1.03,4.75,3.30,3.69,2.47,4.45,1.52,2.29,0.60,7.70,2.26,-,1.26,2.08,2.43,3.33,3.63,3.36,3.66,3.41,4.26,4.47,4.22,3.72,4.43,2.61,0.21,0.75,1.66,2.71,2.05,2.80,3.68,2.44,1.57,3.42,4.05,4.31,3.73,3.12,3.55,2.89,3.72,5.87,4.06,0.56,0.86,3.80,2.68,3.24,2.29,4.52,1.13,1.86,0.83,2.35,1.97,-,0.49,1.73,1.98
1981,3.95,4.44,3.31,4.49,6.61,3.75,4.54,5.30,4.90,5.16,2.22,4.77,2.73,3.05,3.40,3.32,4.34,4.33,3.95,3.53,4.98,4.61,4.65,2.94,4.59,2.81,4.75,4.93,5.62,5.12,1.08,1.73,4.58,2.97,3.68,2.24,4.71,1.71,1.74,0.54,2.34,2.66,-,1.57,1.84,2.15,3.76,4.39,3.71,4.25,6.88,3.69,4.56,4.03,4.55,4.58,1.66,2.90,1.79,3.64,4.70,3.70,3.99,3.69,3.60,2.64,4.33,4.93,5.29,3.63,3.94,3.52,3.49,4.14,4.70,4.36,0.36,0.81,5.65,2.49,3.01,2.12,4.19,0.87,1.37,0.47,2.27,1.89,-,0.57,1.81,2.18
1982,3.34,3.74,3.12,3.41,4.40,2.20,4.23,3.58,4.15,3.87,1.89,4.35,1.49,1.74,3.72,1.69,2.93,4.22,3.09,1.77,3.06,3.83,3.54,2.81,2.46,2.44,2.55,3.43,3.82,3.36,0.88,1.54,6.19,2.58,3.06,1.75,3.25,1.31,1.78,2.63,2.86,2.63,-,1.00,2.70,3.04,3.46,4.01,3.74,3.63,4.34,3.03,4.66,3.53,4.02,4.26,2.05,3.73,0.83,2.23,3.09,1.95,2.94,4.17,2.88,1.60,2.56,3.99,5.29,4.04,3.05,2.16,3.54,3.69,3.41,3.67,0.38,0.99,6.80,2.41,2.89,1.74,2.99,1.17,1.04,2.80,2.55,2.23,-,1.07,3.71,2.91
