期間,民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%)
1994M07,430,-0.01,376,0.03,53,-0.27,490,-5.44,254,-6.46,236,-4.31,"1,302",4.95,780,3.44,522,7.29,840,5.99,221,-2.28,619,9.29,"1,401",0.14,670,-2.84,731,3.05,975,-1.48,709,1.71,266,-9.07,"3,515",4.77,"2,522",4.87,993,4.52
1994M08,427,-3.38,366,-4.11,61,1.25,490,0.43,240,-6.14,249,7.70,"1,326",2.40,801,2.05,525,2.93,848,3.55,231,0.57,618,4.71,"1,433",2.82,668,-0.33,765,5.74,981,-2.23,700,2.44,281,-12.23,"3,550",3.72,"2,534",4.37,"1,016",2.13
1994M09,430,-4.64,361,-7.32,68,12.52,490,-3.75,242,-8.01,249,0.79,"1,307",1.63,796,2.16,511,0.80,831,1.51,223,-2.06,608,2.88,"1,435",2.42,678,0.09,757,4.60,991,-2.13,710,0.66,282,-8.50,"3,496",3.33,"2,494",4.48,"1,002",0.55
1994M10,435,-2.11,375,-4.03,60,11.84,500,0.17,251,-1.02,249,1.39,"1,351",3.03,828,2.21,523,4.35,859,2.43,230,6.23,629,1.11,"1,471",3.21,709,0.90,762,5.46,965,0.37,685,0.41,281,0.28,"3,463",3.23,"2,465",3.21,998,3.28
1994M11,449,-2.43,392,-4.00,57,10.01,498,4.57,247,3.39,252,5.75,"1,343",2.55,814,1.09,529,4.87,857,3.93,221,3.99,635,3.90,"1,478",4.55,694,-0.93,784,9.94,939,-0.47,678,-0.88,260,0.62,"3,499",4.35,"2,511",4.43,987,4.15
1994M12,451,-5.13,394,-4.99,57,-6.10,480,2.95,244,-0.24,236,6.46,"1,338",2.16,798,0.11,540,5.35,855,2.77,228,0.31,627,3.70,"1,484",4.77,689,0.23,795,9.05,959,0.32,704,1.36,255,-2.44,"3,509",5.56,"2,522",5.38,987,6.02
1995M01,443,-8.61,388,-7.80,56,-13.86,491,5.42,240,-3.01,251,15.00,"1,338",1.34,799,-1.69,539,6.19,872,0.41,228,0.42,644,0.40,"1,487",3.73,710,2.59,777,4.80,937,0.24,687,1.93,250,-4.13,"3,523",4.96,"2,558",5.48,965,3.63
1995M02,436,0.36,383,-0.02,54,3.16,492,6.33,244,4.74,248,7.94,"1,328",4.23,785,-0.29,543,11.55,858,0.58,222,-2.86,635,1.84,"1,442",2.75,702,0.23,739,5.28,924,-3.17,673,-3.12,251,-3.29,"3,529",5.87,"2,551",5.51,977,6.82
1995M03,429,1.98,377,1.95,52,2.19,484,5.84,244,3.92,239,7.87,"1,310",4.05,779,2.21,531,6.85,865,4.93,220,-2.40,644,7.70,"1,438",-0.02,694,0.93,744,-0.89,933,-6.08,681,-4.78,252,-9.41,"3,542",1.00,"2,559",2.59,982,-2.94
1995M04,427,1.45,372,1.87,55,-1.28,480,5.41,247,4.64,234,6.24,"1,295",4.61,780,2.62,515,7.79,869,8.42,214,-0.19,655,11.56,"1,447",1.11,684,2.60,763,-0.19,938,-4.73,678,-4.43,260,-5.49,"3,561",0.43,"2,577",1.29,984,-1.76
