期間,景氣同時指標綜合指數(點)_原始值,景氣同時指標綜合指數(點)_年增率(%),工業生產指數(Index 2011=100)_原始值,工業生產指數(Index 2011=100)_年增率(%),電力(企業)總用電量(十億度)_原始值,電力(企業)總用電量(十億度)_年增率(%),製造業銷售量指數(Index 2011=100)_原始值,製造業銷售量指數(Index 2011=100)_年增率(%),商業營業額(十億元)_原始值,商業營業額(十億元)_年增率(%),非農業部門就業人數(千人)_原始值,非農業部門就業人數(千人)_年增率(%),海關出口值(十億元)_原始值,海關出口值(十億元)_年增率(%),機械及電機設備進口值(十億元)_原始值,機械及電機設備進口值(十億元)_年增率(%)
1973M08,...,...,10.28,5.76,...,...,...,...,...,...,...,...,15.4,37.60,...,...
1973M09,...,...,9.94,13.47,...,...,...,...,...,...,...,...,18.4,60.24,...,...
1973M10,...,...,10.26,14.38,...,...,...,...,...,...,...,...,15.0,25.52,...,...
1973M11,...,...,10.22,17.74,...,...,...,...,...,...,...,...,19.4,81.18,...,...
1973M12,...,...,11.09,14.21,...,...,...,...,...,...,...,...,17.2,30.15,...,...
1974M01,...,...,9.88,-1.00,...,...,...,...,...,...,...,...,17.0,52.42,...,...
1974M02,...,...,9.93,16.00,...,...,...,...,...,...,...,...,18.2,90.58,...,...
1974M03,...,...,10.40,0.87,...,...,...,...,...,...,...,...,19.0,61.21,...,...
1974M04,...,...,10.21,6.02,...,...,...,...,...,...,...,...,18.2,45.72,...,...
1974M05,...,...,10.32,1.88,...,...,...,...,...,...,...,...,17.0,38.26,...,...
1974M06,...,...,9.85,-3.43,...,...,...,...,...,...,...,...,19.4,51.56,...,...
1974M07,...,...,9.86,-4.09,...,...,...,...,...,...,...,...,20.5,26.31,...,...
1974M08,...,...,9.76,-5.06,...,...,...,...,...,...,...,...,19.0,23.29,...,...
1974M09,...,...,8.74,-12.07,...,...,...,...,...,...,...,...,16.0,-12.79,...,...
1974M10,...,...,8.82,-14.04,...,...,...,...,...,...,...,...,16.2,7.93,...,...
1974M11,...,...,8.49,-16.93,...,...,...,...,...,...,...,...,15.1,-21.96,...,...
1974M12,...,...,9.23,-16.77,...,...,...,...,...,...,...,...,19.9,15.66,...,...
