期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2007M09,"641,557",1.45,"348,446",1.07,"30,804",-46.26,"2,508",-0.83,"55,275",14.09,"204,379",14.50,145,-83.00,0.933,1.083,0.552,-6.122,99.98,-,40.86,-,0.39,-,8.62,-,31.86,-
2007M10,"676,695",4.73,"355,058",0.79,"45,373",-22.20,"2,738",-3.32,"54,999",9.65,"211,139",16.74,"7,387",341.54,0.952,4.272,0.574,-1.375,98.91,-,39.73,-,0.40,-,8.13,-,31.20,-
2007M11,"619,156",-3.23,"310,086",-11.51,"43,163",-14.57,"2,570",-12.85,"54,493",7.99,"201,751",10.05,"7,094",229.65,0.900,-3.537,0.524,-10.884,98.85,-,41.80,-,0.42,-,8.80,-,32.58,-
2007M12,"642,587",-0.12,"334,726",-3.00,"35,531",-37.31,"2,188",-18.57,"57,485",14.93,"205,478",9.73,"7,179",334.83,0.903,-0.551,0.531,-6.678,98.88,-,41.26,-,0.34,-,8.95,-,31.98,-
2008M01,"684,735",3.00,"382,802",3.00,"27,405",-42.95,"2,676",-11.92,"58,545",16.91,"213,132",11.52,176,-79.25,0.962,2.559,0.577,-2.698,99.97,-,40.07,-,0.39,-,8.55,-,31.13,-
2008M02,"653,822",-3.74,"365,300",-5.57,"23,174",-52.59,"2,292",-24.53,"57,652",13.78,"205,272",8.66,133,-85.51,0.982,-7.446,0.584,-14.370,99.98,-,40.56,-,0.35,-,8.82,-,31.40,-
2008M03,"615,646",-6.72,"337,292",-8.46,"18,753",-57.53,"2,161",8.70,"57,681",3.88,"199,608",5.58,151,-81.83,0.865,-7.089,0.500,--,99.98,-,42.14,-,0.35,-,9.37,-,32.42,-
2008M04,"616,037",-4.50,"337,406",-4.45,"17,960",-60.51,"2,301",5.65,"57,321",6.79,"200,890",6.28,158,-90.11,0.894,-4.894,0.516,-11.492,99.97,-,42.29,-,0.37,-,9.30,-,32.61,-
2008M05,"649,470",-3.34,"354,148",-3.11,"21,247",-58.02,"2,399",-15.20,"61,232",8.01,"210,435",8.33,8,-99.60,0.912,-3.696,0.527,-10.526,100.00,-,42.20,-,0.37,-,9.43,-,32.40,-
2008M06,"646,306",-5.60,"353,399",-7.34,"17,489",-53.41,"2,955",26.23,"60,109",5.36,"212,346",4.56,8,-99.75,0.937,-6.018,0.538,-12.520,100.00,-,42.61,-,0.46,-,9.30,-,32.86,-
2008M07,"652,819",-5.33,"360,850",-3.78,"19,080",-50.22,"4,325",58.77,"58,798",1.29,"209,758",-2.14,7,-99.38,0.916,-5.664,0.533,-8.733,100.00,-,41.80,-,0.66,-,9.01,-,32.13,-
2008M08,"625,774",-10.66,"333,976",-13.35,"17,645",-52.37,"4,321",39.79,"56,479",-3.94,"213,346",-1.20,7,-95.54,0.878,-10.953,0.493,--,100.00,-,43.81,-,0.69,-,9.03,-,34.09,-
2008M09,"644,923",0.52,"348,806",0.10,"18,396",-40.28,"5,525",120.30,"57,677",4.35,"214,470",4.94,49,-66.21,0.935,0.214,0.532,-3.623,99.99,-,43.06,-,0.86,-,8.94,-,33.26,-
2008M10,"623,244",-7.90,"331,001",-6.78,"19,926",-56.08,"6,097",122.68,"55,602",1.10,"210,611",-0.25,7,-99.91,0.874,-8.193,0.492,--,100.00,-,43.69,-,0.98,-,8.92,-,33.79,-
2008M11,"579,131",-6.46,"299,502",-3.41,"18,319",-57.56,"4,644",80.70,"53,494",-1.83,"203,166",0.70,7,-99.90,0.839,-6.778,0.460,--,100.00,-,45.12,-,0.80,-,9.24,-,35.08,-
