期間,總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%)
2005M04,"22,632",0.34,"11,504",0.18,"11,128",0.50,"17,902",1.02,"8,869",0.91,"9,034",1.13,"10,316",1.38,"6,011",1.18,"4,305",1.65,"9,899",1.72,"5,750",1.58,"4,149",1.90,417,-6.06,261,-6.96,156,-4.52,79.10,-,77.09,-,81.18,-,45.58,-,52.25,-,38.69,-,57.63,-,67.78,-,47.65,-,43.74,-,49.98,-,37.29,-,55.30,-,64.84,-,45.93,-,95.96,-,95.66,-,96.38,-,4.04,-,4.34,-,3.62,-
2005M05,"22,638",0.34,"11,506",0.18,"11,133",0.50,"17,917",1.03,"8,875",0.92,"9,042",1.15,"10,343",1.26,"6,010",0.89,"4,332",1.78,"9,918",1.58,"5,753",1.47,"4,165",1.74,424,-5.75,257,-10.67,167,2.99,79.15,-,77.14,-,81.22,-,45.69,-,52.24,-,38.92,-,57.72,-,67.72,-,47.91,-,43.81,-,50.00,-,37.42,-,55.35,-,64.82,-,46.07,-,95.90,-,95.72,-,96.14,-,4.10,-,4.28,-,3.86,-
2005M06,"22,645",0.34,"11,508",0.18,"11,138",0.50,"17,935",1.05,"8,884",0.94,"9,052",1.16,"10,357",0.98,"6,007",0.53,"4,350",1.59,"9,920",1.32,"5,747",1.27,"4,173",1.39,437,-6.24,260,-13.36,177,6.61,79.20,-,77.20,-,81.27,-,45.74,-,52.20,-,39.06,-,57.75,-,67.61,-,48.06,-,43.81,-,49.94,-,37.47,-,55.31,-,64.69,-,46.10,-,95.78,-,95.67,-,95.92,-,4.22,-,4.33,-,4.08,-
2005M07,"22,653",0.34,"11,510",0.18,"11,143",0.51,"17,954",1.08,"8,892",0.97,"9,062",1.18,"10,390",0.83,"6,017",0.55,"4,374",1.22,"9,941",1.14,"5,751",1.06,"4,191",1.25,449,-5.67,266,-9.43,183,0.40,79.26,-,77.26,-,81.32,-,45.87,-,52.28,-,39.25,-,57.87,-,67.66,-,48.26,-,43.89,-,49.96,-,37.61,-,55.37,-,64.67,-,46.25,-,95.68,-,95.58,-,95.82,-,4.32,-,4.42,-,4.18,-
2005M08,"22,660",0.34,"11,511",0.17,"11,148",0.52,"17,972",1.09,"8,901",0.99,"9,072",1.20,"10,427",1.06,"6,026",0.37,"4,401",2.01,"9,972",1.38,"5,760",0.88,"4,212",2.08,454,-5.62,265,-9.58,189,0.57,79.31,-,77.32,-,81.37,-,46.01,-,52.35,-,39.48,-,58.02,-,67.70,-,48.52,-,44.01,-,50.04,-,37.78,-,55.49,-,64.72,-,46.43,-,95.64,-,95.60,-,95.70,-,4.36,-,4.40,-,4.30,-
2005M09,"22,665",0.35,"11,513",0.17,"11,153",0.52,"17,990",1.10,"8,909",1.00,"9,081",1.20,"10,381",1.28,"6,011",0.55,"4,370",2.32,"9,951",1.66,"5,765",1.29,"4,186",2.18,430,-6.73,246,-14.14,184,5.42,79.37,-,77.39,-,81.42,-,45.80,-,52.21,-,39.18,-,57.70,-,67.47,-,48.13,-,43.90,-,50.07,-,37.53,-,55.31,-,64.71,-,46.10,-,95.86,-,95.91,-,95.79,-,4.14,-,4.09,-,4.21,-
2005M10,"22,673",0.34,"11,515",0.17,"11,158",0.52,"18,010",1.11,"8,919",1.01,"9,091",1.20,"10,417",1.33,"6,016",0.21,"4,401",2.91,"9,993",1.59,"5,771",0.88,"4,222",2.58,424,-4.37,245,-13.33,179,11.35,79.44,-,77.46,-,81.48,-,45.95,-,52.25,-,39.44,-,57.84,-,67.45,-,48.41,-,44.08,-,50.12,-,37.84,-,55.49,-,64.71,-,46.44,-,95.93,-,95.93,-,95.93,-,4.07,-,4.07,-,4.07,-
2005M11,"22,681",0.33,"11,517",0.15,"11,164",0.51,"18,029",1.12,"8,928",1.03,"9,101",1.21,"10,435",1.35,"6,020",0.23,"4,416",2.93,"10,024",1.56,"5,775",0.76,"4,249",2.66,411,-3.47,245,-10.94,166,10.14,79.49,-,77.52,-,81.52,-,46.01,-,52.27,-,39.55,-,57.88,-,67.43,-,48.52,-,44.20,-,50.14,-,38.06,-,55.60,-,64.68,-,46.69,-,96.06,-,95.93,-,96.23,-,3.94,-,4.07,-,3.77,-
2005M12,"22,690",0.33,"11,519",0.15,"11,170",0.52,"18,048",1.14,"8,936",1.05,"9,112",1.23,"10,440",1.27,"6,026",0.49,"4,414",2.36,"10,037",1.51,"5,777",0.96,"4,260",2.27,403,-4.41,249,-9.34,154,4.81,79.54,-,77.57,-,81.57,-,46.01,-,52.32,-,39.51,-,57.85,-,67.44,-,48.44,-,44.24,-,50.15,-,38.14,-,55.61,-,64.65,-,46.75,-,96.14,-,95.87,-,96.51,-,3.86,-,4.13,-,3.49,-
2006M01,"22,698",0.33,"11,521",0.15,"11,176",0.52,"18,066",1.15,"8,944",1.06,"9,122",1.24,"10,435",1.12,"6,033",0.53,"4,403",1.93,"10,038",1.39,"5,789",1.00,"4,249",1.92,397,-5.18,244,-9.30,153,2.20,79.59,-,77.63,-,81.62,-,45.97,-,52.36,-,39.39,-,57.76,-,67.45,-,48.26,-,44.23,-,50.25,-,38.02,-,55.56,-,64.72,-,46.58,-,96.20,-,95.96,-,96.52,-,3.80,-,4.04,-,3.48,-
