期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
2005M09,33.103,2.45,33.221,2.44,33.051,2.55,33.175,2.55,32.974,2.72,33.098,2.71,32.895,2.87,33.018,2.87,32.810,2.98,32.933,3.09,32.657,3.35,32.780,3.35
2005M10,33.466,-0.33,33.582,-0.29,33.411,-0.24,33.534,-0.20,33.322,-0.08,33.445,-0.03,33.227,0.12,33.349,0.17,33.158,0.23,33.281,0.28,32.979,0.56,33.106,0.62
2005M11,33.424,-3.93,33.546,-3.86,33.363,-3.84,33.491,-3.77,33.274,-3.69,33.402,-3.63,33.195,-3.58,33.323,-3.52,33.103,-3.47,33.231,-3.37,32.927,-3.23,33.053,-3.13
2005M12,32.712,-3.45,32.876,-2.79,32.647,-3.36,32.817,-2.69,32.572,-3.28,32.743,-2.61,32.481,-3.18,32.652,-2.51,32.395,-3.07,32.565,-2.37,32.203,-2.87,32.373,-2.13
2006M01,31.892,-0.66,32.015,-0.57,31.837,-0.57,31.966,-0.48,31.747,-0.45,31.877,-0.37,31.651,-0.31,31.781,-0.22,31.570,-0.22,31.699,-0.12,31.384,0.03,31.514,0.13
2006M02,32.372,-3.96,32.491,-3.92,32.307,-3.88,32.433,-3.83,32.219,-3.76,32.345,-3.71,32.124,-3.63,32.249,-3.58,32.027,-3.50,32.152,-3.44,31.824,-3.23,31.949,-3.18
2006M03,32.370,-2.89,32.489,-2.83,32.305,-2.81,32.431,-2.75,32.203,-2.70,32.328,-2.63,32.109,-2.59,32.233,-2.52,32.016,-2.51,32.140,-2.40,31.818,-2.32,31.942,-2.23
2006M04,31.817,-1.98,31.936,-1.94,31.744,-1.88,31.870,-1.84,31.656,-1.77,31.781,-1.73,31.561,-1.66,31.686,-1.62,31.457,-1.54,31.582,-1.50,31.275,-1.38,31.403,-1.35
2006M05,31.924,-2.02,32.044,-2.00,31.856,-1.94,31.980,-1.91,31.756,-1.79,31.882,-1.78,31.646,-1.64,31.770,-1.62,31.556,-1.57,31.685,-1.56,31.356,-1.36,31.480,-1.33
2006M06,32.255,-2.23,32.390,-2.27,32.178,-2.13,32.318,-2.16,32.075,-2.01,32.215,-2.05,31.970,-1.88,32.110,-1.92,31.855,-1.73,31.995,-1.77,31.645,-1.51,31.790,-1.57
2006M07,32.655,-2.50,32.774,-2.25,32.572,-2.39,32.697,-2.14,32.477,-2.31,32.601,-2.07,32.366,-2.19,32.492,-1.95,32.257,-2.10,32.384,-1.86,32.058,-2.00,32.183,-1.74
2006M08,32.811,-0.44,32.929,-0.44,32.741,-0.38,32.865,-0.37,32.632,-0.26,32.757,-0.26,32.532,-0.18,32.658,-0.18,32.427,-0.11,32.551,-0.09,32.236,0.03,32.361,0.03
2006M09,33.006,0.29,33.121,0.30,32.934,0.36,33.055,0.36,32.832,0.43,32.953,0.44,32.730,0.50,32.853,0.50,32.624,0.57,32.745,0.57,32.440,0.67,32.561,0.67
2006M10,33.167,0.90,33.286,0.89,33.092,0.96,33.218,0.95,32.995,0.99,33.121,0.98,32.892,1.02,33.017,1.01,32.802,1.09,32.930,1.07,32.607,1.14,32.732,1.14
2006M11,32.324,3.40,32.455,3.36,32.252,3.44,32.390,3.40,32.150,3.50,32.287,3.45,32.059,3.54,32.197,3.50,31.964,3.56,32.102,3.52,31.777,3.62,31.915,3.57
2006M12,32.492,0.68,32.616,0.80,32.417,0.71,32.548,0.83,32.327,0.76,32.458,0.88,32.233,0.77,32.363,0.89,32.143,0.78,32.275,0.90,31.950,0.79,32.081,0.91
2007M01,32.834,-2.87,32.987,-2.95,32.771,-2.85,32.934,-2.94,32.669,-2.82,32.831,-2.91,32.569,-2.82,32.736,-2.92,32.465,-2.76,32.624,-2.84,32.274,-2.76,32.437,-2.85
