期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
1996,"3,963",-0.95,"8,375",30.51,...,...,"3,119",3.93,"7,137",59.20,...,...,844,-15.60,"1,238",-35.99,...,...
1997,"4,056",2.35,"10,116",20.79,...,...,"3,151",1.03,"8,416",17.92,...,...,905,7.23,"1,700",37.32,...,...
1998,"3,391",-16.40,"5,586",-44.78,...,...,"2,428",-22.95,"3,946",-53.11,...,...,963,6.41,"1,640",-3.53,...,...
1999,"3,041",-10.32,"4,260",-23.74,"1,563,723",...,"1,604",-33.94,"2,290",-41.97,"423,480",...,"1,437",49.22,"1,970",20.12,"1,140,243",...
2000,"2,351",-22.69,"3,794",-10.94,"1,181,525",-24.44,"1,240",-22.69,"2,475",8.08,"326,527",-22.89,"1,111",-22.69,"1,319",-33.05,"854,998",-25.02
