期間,境外外國機構投資人-申請登記件數_原始值,境外外國機構投資人-申請登記件數_年增率(%),境外外國機構投資人-完成登記件數_原始值,境外外國機構投資人-完成登記件數_年增率(%),境外外國機構投資人-累積匯入淨額_原始值,境外外國機構投資人-累積匯入淨額_年增率(%),境外華僑及外國自然人-申請登記件數_原始值,境外華僑及外國自然人-申請登記件數_年增率(%),境外華僑及外國自然人-完成登記件數_原始值,境外華僑及外國自然人-完成登記件數_年增率(%),境外華僑及外國自然人-累積匯入淨額_原始值,境外華僑及外國自然人-累積匯入淨額_年增率(%),合計數-總完成登記件數_原始值,合計數-總完成登記件數_年增率(%),合計數-總累積匯入淨額_原始值,合計數-總累積匯入淨額_年增率(%),合計數-持有股票市值占總市值比例(%)_原始值,合計數-持有股票市值占總市值比例(%)_年增率(%)
2003,241,...,241,...,663.20,54.25,5,...,5,...,0.20,5.26,246,...,663.40,54.23,21.46,-
2004,"1,039",331.12,"1,039",331.12,800.65,20.73,16,220.00,16,220.00,0.25,25.00,"1,055",328.86,800.90,20.73,22.18,-
2005,"1,135",9.24,"1,134",9.14,"1,089.21",36.04,16,0.00,16,0.00,0.33,32.00,"1,150",9.00,"1,089.54",36.04,30.25,-
2006,"1,569",38.24,"1,569",38.36,"1,305.81",19.89,17,6.25,17,6.25,0.31,-6.06,"1,586",37.91,"1,306.12",19.88,31.90,-
