期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
2005M09,"42,826",84.61,"15,755",-21.34,"2,001,811",7.22,"42,826",344.48,"15,711",5.08,"1,217,605",0.00,...,...,44,-99.13,"784,206",20.73
2005M10,"16,651",-47.93,"26,126",190.94,"1,992,336",5.41,"9,251",3.06,"19,634",126.93,"1,207,222",-0.87,"7,400",-67.83,"6,492","1,879.27","785,114",16.80
2005M11,"19,578",7.81,"25,873",106.54,"1,986,041",4.77,"5,050",-38.63,"24,094",200.91,"1,188,178",-2.46,"14,528",46.30,"1,779",-60.64,"797,863",17.75
2005M12,"51,949",36.68,"34,875",284.51,"2,003,115",4.08,"36,000",612.87,"32,255",326.99,"1,191,923",-1.95,"15,949",-51.61,"2,620",72.82,"811,192",14.41
2006M01,"10,420",-47.64,"6,003",-50.61,"2,007,533",3.89,"6,700",86.11,"5,322",-45.93,"1,193,301",-1.33,"3,720",-77.18,681,-70.56,"814,232",12.61
2006M02,"6,100",8.00,"22,925",247.19,"1,990,707",3.07,"1,100",643.24,"22,261",323.62,"1,172,140",-2.67,"5,000",-9.09,664,-50.74,"818,567",12.57
2006M03,"12,000",-35.51,"15,228",28.45,"1,987,479",2.54,"5,000",-57.98,"12,091",36.85,"1,165,049",-3.50,"7,000",4.35,"3,137",3.87,"822,430",12.53
2006M04,"29,340",12.15,"17,306",48.04,"1,999,514",2.40,"6,700",-66.28,"17,194",65.41,"1,154,555",-5.11,"22,640",259.82,112,-91.35,"844,959",14.82
2006M05,"29,510",51.09,"29,973",6.26,"1,999,050",2.83,"13,000",121.88,"26,202",22.48,"1,141,353",-4.99,"16,510",20.75,"3,771",-44.65,"857,697",15.48
2006M06,"30,720",-51.77,"37,077",108.56,"1,992,693",0.14,"14,100",-46.39,"35,768",118.40,"1,119,685",-7.55,"16,620",-55.55,"1,309",-6.57,"873,008",12.11
2006M07,"18,320",-31.39,"31,046",-16.52,"1,979,967",0.03,"15,130",-31.85,"30,867",-15.28,"1,103,948",-7.77,"3,190",-29.11,179,-76.26,"876,019",11.96
2006M08,"29,000",21.12,"24,197",-15.45,"1,984,770",0.51,"23,000",9.82,"13,545",-50.55,"1,113,403",-6.48,"6,000",100.00,"10,652",770.26,"871,367",11.11
2006M09,"16,400",-61.71,"32,928",109.00,"1,968,241",-1.68,"13,300",-68.94,"20,825",32.55,"1,105,878",-9.18,"3,100",...,"12,103","27,406.82","862,363",9.97
2006M10,"39,649",138.12,"17,474",-33.12,"1,990,416",-0.10,"25,600",176.73,"15,890",-19.07,"1,115,588",-7.59,"14,049",89.85,"1,584",-75.60,"874,828",11.43
2006M11,"82,557",321.68,"34,056",31.63,"2,038,917",2.66,"58,400","1,056.44","27,598",14.54,"1,146,390",-3.52,"24,157",66.28,"6,458",263.01,"892,527",11.86
2006M12,"98,570",89.74,"60,124",72.40,"2,077,363",3.71,"48,100",33.61,"43,042",33.44,"1,151,448",-3.40,"50,470",216.45,"17,082",551.98,"925,915",14.14
2007M01,"5,430",-47.89,"23,935",298.72,"2,058,858",2.56,"5,430",-18.96,"21,835",310.28,"1,135,043",-4.88,...,...,"2,100",208.37,"923,815",13.46
