期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
2006M08,"6,611.77",9.58,"11,381.15",8.58,"2,183.75",1.47,"16,140.76",30.02,"5,906.10",11.50,"17,392.27",16.70,"1,352.74",24.87,"2,482.39",9.10,...,...
2006M09,"6,883.05",12.49,"11,679.07",10.51,"2,258.43",4.96,"16,127.58",18.81,"5,960.80",8.82,"17,543.05",13.71,"1,371.41",12.32,"2,568.86",11.44,...,...
2006M10,"7,021.32",21.81,"12,080.73",15.72,"2,366.71",11.62,"16,399.39",20.53,"6,129.20",15.27,"18,324.35",27.37,"1,364.55",17.83,"2,701.75",21.88,...,...
2006M11,"7,567.72",21.99,"12,221.93",13.10,"2,431.77",8.91,"16,274.33",9.43,"6,048.80",11.54,"18,960.48",26.94,"1,432.21",10.39,"2,838.53",23.40,...,...
2006M12,"7,823.72",19.48,"12,463.15",16.29,"2,415.29",9.52,"17,225.83",6.92,"6,220.80",10.71,"19,964.72",34.20,"1,434.46",3.99,"2,985.83",27.20,...,...
2007M01,"7,699.64",17.87,"12,621.69",16.17,"2,463.93",6.86,"17,383.42",4.41,"6,203.10",7.69,"20,106.42",27.63,"1,360.23",-2.83,"3,125.56",29.58,...,...
2007M02,"7,901.96",20.43,"12,268.63",11.60,"2,416.15",5.91,"17,604.12",8.63,"6,171.50",6.56,"19,651.51",23.45,"1,417.34",3.34,"3,104.15",25.07,...,...
2007M03,"7,884.41",19.21,"12,354.35",11.21,"2,421.64",3.50,"17,287.65",1.34,"6,308.00",5.76,"19,800.93",25.28,"1,452.55",6.84,"3,231.24",27.55,...,...
2007M04,"7,875.42",9.81,"13,062.91",14.92,"2,525.09",8.72,"17,400.41",2.92,"6,449.20",7.07,"20,318.98",21.95,"1,542.24",8.63,"3,361.29",28.75,...,...
2007M05,"8,144.95",18.96,"13,627.64",22.02,"2,604.52",19.53,"17,875.75",15.57,"6,621.40",15.68,"20,634.47",30.12,"1,700.91",29.08,"3,511.13",47.29,...,...
