期間,總計_原始值,總計_年增率(%),一般政務支出_原始值,一般政務支出_年增率(%),國防支出_原始值,國防支出_年增率(%),教育科學文化支出-合計_原始值,教育科學文化支出-合計_年增率(%),教育支出_原始值,教育支出_年增率(%),科學支出_原始值,科學支出_年增率(%),文化支出_原始值,文化支出_年增率(%),經濟發展支出-合計_原始值,經濟發展支出-合計_年增率(%),農業支出_原始值,農業支出_年增率(%),工業支出_原始值,工業支出_年增率(%),交通支出_原始值,交通支出_年增率(%),其他經濟服務支出_原始值,其他經濟服務支出_年增率(%),社會福利支出-合計_原始值,社會福利支出-合計_年增率(%),社會保險支出_原始值,社會保險支出_年增率(%),社會救助支出_原始值,社會救助支出_年增率(%),福利服務支出_原始值,福利服務支出_年增率(%),國民就業支出_原始值,國民就業支出_年增率(%),醫療保健支出_原始值,醫療保健支出_年增率(%),社區發展及環境保護支出-合計_原始值,社區發展及環境保護支出-合計_年增率(%),社區發展支出_原始值,社區發展支出_年增率(%),環境保護支出_原始值,環境保護支出_年增率(%),退休撫恤支出_原始值,退休撫恤支出_年增率(%),債務支出_原始值,債務支出_年增率(%),雜項支出_原始值,雜項支出_年增率(%)
2003,"2,216,514,388",3.33,"331,884,833",1.86,"237,945,728",5.64,"464,185,814",6.04,"329,976,803",-2.87,"95,097,142",36.17,"39,111,869",38.77,"400,910,367",-1.07,"121,044,268",9.12,"25,972,403",46.78,"194,449,568",0.76,"59,444,128",-28.93,"346,911,365",7.20,"169,893,108",10.79,"18,179,791",-7.48,"120,560,600",0.24,"4,084,280",56.30,"34,193,586",23.30,"90,060,978",25.60,"31,534,747",53.52,"58,526,231",14.40,"173,222,747",1.31,"159,666,642",-6.61,"11,725,914",-14.11
2004,"2,245,046,575",1.29,"334,797,223",0.88,"253,018,886",6.33,"469,544,210",1.15,"341,396,488",3.46,"92,022,729",-3.23,"36,124,993",-7.64,"412,869,722",2.98,"138,459,513",14.39,"22,070,959",-15.02,"202,347,968",4.06,"49,991,282",-15.90,"347,557,298",0.19,"153,324,069",-9.75,"19,572,230",7.66,"138,847,875",15.17,"2,673,369",-34.54,"33,139,755",-3.08,"95,008,485",5.49,"38,711,995",22.76,"56,296,490",-3.81,"179,665,178",3.72,"139,331,407",-12.74,"13,254,166",13.03
2005,"2,291,999,146",2.09,"341,873,740",2.11,"247,472,367",-2.19,"473,242,782",0.79,"347,705,858",1.85,"93,907,549",2.05,"31,629,375",-12.44,"430,475,604",4.26,"144,983,653",4.71,"23,357,582",5.83,"214,577,721",6.04,"47,556,648",-4.87,"357,762,268",2.94,"162,221,618",5.80,"20,658,490",5.55,"144,470,532",4.05,"2,505,544",-6.28,"27,906,084",-15.79,"100,703,928",5.99,"38,428,927",-0.73,"62,275,001",10.62,"191,530,723",6.60,"132,639,396",-4.80,"16,298,338",22.97
2006,"2,214,225,610",-3.39,"345,237,340",0.98,"234,698,581",-5.16,"484,827,465",2.45,"358,296,679",3.05,"91,591,938",-2.47,"34,938,848",10.46,"341,944,135",-20.57,"95,926,332",-33.84,"19,172,090",-17.92,"185,087,342",-13.74,"41,758,371",-12.19,"370,302,873",3.51,"163,151,663",0.57,"20,295,051",-1.76,"153,396,153",6.18,"2,615,018",4.37,"30,844,988",10.53,"88,849,473",-11.77,"25,653,026",-33.25,"63,196,447",1.48,"196,962,845",2.84,"138,330,878",4.29,"13,072,020",-19.80
2007,"2,290,169,058",3.43,"343,950,300",-0.37,"255,853,615",9.01,"492,624,765",1.61,"362,618,086",1.21,"96,214,492",5.05,"33,792,187",-3.28,"383,297,576",12.09,"106,788,333",11.32,"16,004,160",-16.52,"218,338,059",17.96,"42,167,024",0.98,"372,202,180",0.51,"162,548,204",-0.37,"23,245,160",14.54,"151,322,244",-1.35,"2,479,923",-5.17,"32,606,649",5.71,"87,282,092",-1.76,"24,520,014",-4.42,"62,762,078",-0.69,"200,677,374",1.89,"139,379,732",0.76,"14,901,425",13.99
2008,"2,343,585,358",2.33,"350,499,656",1.90,"262,150,486",2.46,"495,515,006",0.59,"362,963,912",0.10,"95,126,209",-1.13,"37,424,885",10.75,"432,334,774",12.79,"112,827,383",5.66,"34,001,049",112.45,"234,604,149",7.45,"50,902,193",20.72,"368,136,275",-1.09,"147,650,876",-9.16,"25,558,545",9.95,"158,274,828",4.59,"2,252,153",-9.18,"34,399,873",5.50,"82,157,115",-5.87,"13,513,887",-44.89,"68,643,228",9.37,"202,228,244",0.77,"134,696,605",-3.36,"15,867,197",6.48
2009,"2,670,898,052",13.97,"357,411,638",1.97,"297,746,330",13.58,"581,535,127",17.36,"426,445,488",17.49,"99,762,352",4.87,"55,327,287",47.84,"601,895,782",39.22,"162,784,285",44.28,"38,154,666",12.22,"250,679,051",6.85,"150,277,780",195.23,"388,561,948",5.55,"189,263,236",28.18,"24,142,594",-5.54,"136,715,713",-13.62,"2,741,980",21.75,"35,698,425",3.77,"91,638,725",11.54,"18,952,943",40.25,"72,685,782",5.89,"205,291,378",1.51,"129,484,210",-3.87,"17,332,914",9.24
2010,"2,566,804,424",-3.90,"368,420,184",3.08,"286,928,926",-3.63,"554,254,019",-4.69,"407,821,720",-4.37,"103,567,862",3.81,"42,864,437",-22.53,"517,038,782",-14.10,"191,954,604",17.92,"36,690,962",-3.84,"228,048,666",-9.03,"60,344,550",-59.84,"415,356,194",6.90,"203,081,916",7.30,"30,835,106",27.72,"138,618,928",1.39,"4,783,718",74.46,"38,036,526",6.55,"89,388,160",-2.46,"12,046,812",-36.44,"77,341,348",6.41,"201,002,052",-2.09,"119,615,240",-7.62,"14,800,867",-14.61
2011,"2,612,946,994",1.80,"376,014,586",2.06,"288,888,993",0.68,"588,554,695",6.19,"441,637,008",8.29,"100,816,901",-2.66,"46,100,786",7.55,"473,800,957",-8.36,"171,021,327",-10.91,"27,865,223",-24.05,"232,558,360",1.98,"42,356,047",-29.81,"446,921,628",7.60,"225,292,952",10.94,"31,161,163",1.06,"147,751,355",6.59,"5,317,036",11.15,"37,399,122",-1.68,"88,872,217",-0.58,"8,859,138",-26.46,"80,013,079",3.45,"213,038,722",5.99,"121,120,096",1.26,"15,735,100",6.31
2012,"2,677,984,291",2.49,"388,759,130",3.39,"303,902,964",5.20,"595,622,173",1.20,"449,151,108",1.70,"100,061,169",-0.75,"46,409,896",0.67,"403,945,424",-14.74,"132,245,899",-22.67,"20,896,979",-25.01,"199,392,513",-14.26,"51,410,033",21.38,"540,440,045",20.93,"303,471,755",34.70,"36,627,757",17.54,"162,095,606",9.71,"3,387,609",-36.29,"34,857,318",-6.80,"85,379,929",-3.93,"11,398,575",28.66,"73,981,354",-7.54,"218,354,757",2.50,"124,936,926",3.15,"16,642,943",5.77
2013,"2,665,244,289",-0.48,"381,630,935",-1.83,"292,646,019",-3.70,"599,086,844",0.58,"452,145,528",0.67,"101,322,475",1.26,"45,618,841",-1.70,"393,644,472",-2.55,"141,935,262",7.33,"24,246,740",16.03,"190,149,330",-4.64,"37,313,140",-27.42,"536,916,218",-0.65,"321,011,194",5.78,"36,167,944",-1.26,"140,933,916",-13.06,"2,981,731",-11.98,"35,821,433",2.77,"104,936,489",22.91,"39,975,947",250.71,"64,960,542",-12.19,"209,679,987",-3.97,"128,453,149",2.81,"18,250,176",9.66
2014,"2,781,410,000",4.36,"397,070,000",4.05,"304,317,000",3.99,"640,951,000",6.99,...,...,...,...,...,...,"415,093,000",5.45,...,...,...,...,...,...,...,...,"534,268,000",-0.49,...,...,...,...,...,...,...,...,...,...,"74,565,000",-28.94,...,...,...,...,"223,911,000",6.79,"140,807,000",9.62,"50,428,000",176.32
