期間,營造工程總指數_原始值,營造工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),(一)水泥及其製品類_原始值,(一)水泥及其製品類_年增率(%),(二)砂石及級配類_原始值,(二)砂石及級配類_年增率(%),(三)磚瓦瓷類_原始值,(三)磚瓦瓷類_年增率(%),(四)金屬製品類_原始值,(四)金屬製品類_年增率(%),(五)木材及其製品類_原始值,(五)木材及其製品類_年增率(%),(六)塑膠製品類_原始值,(六)塑膠製品類_年增率(%),(七)油漆塗裝類_原始值,(七)油漆塗裝類_年增率(%),(八)機電設備類_原始值,(八)機電設備類_年增率(%),(九)瀝青及其製品類_原始值,(九)瀝青及其製品類_年增率(%),(十)雜項類_原始值,(十)雜項類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),(一)工資類_原始值,(一)工資類_年增率(%),(二)機具設備租金類_原始值,(二)機具設備租金類_年增率(%),建築工程總指數_原始值,建築工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按構造別分－鋼筋混凝土工程總指數_原始值,按構造別分－鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨鋼筋混凝土工程總指數_原始值,按構造別分－鋼骨鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨構造工程總指數_原始值,按構造別分－鋼骨構造工程總指數_年增率(%),土木工程總指數_原始值,土木工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按工程別分－公路工程總指數_原始值,按工程別分－公路工程總指數_年增率(%),按工程別分－橋梁工程總指數_原始值,按工程別分－橋梁工程總指數_年增率(%),按工程別分－下水道工程總指數_原始值,按工程別分－下水道工程總指數_年增率(%),按工程別分－自來水工程總指數_原始值,按工程別分－自來水工程總指數_年增率(%),按工程別分－治水工程總指數_原始值,按工程別分－治水工程總指數_年增率(%),按工程別分－隧道工程總指數_原始值,按工程別分－隧道工程總指數_年增率(%),按工程別分－港灣工程總指數_原始值,按工程別分－港灣工程總指數_年增率(%)
2002M11,64.56,2.46,55.59,4.87,74.43,-3.89,63.06,3.38,76.32,0.57,47.40,16.12,59.46,14.79,60.01,0.62,60.89,-0.07,58.36,-2.18,38.86,8.06,65.57,-0.61,88.74,-1.31,92.78,-1.68,82.15,-0.36,66.58,2.12,57.97,4.66,90.23,-1.46,-,-,-,-,-,-,62.89,2.80,53.60,5.06,87.54,-1.17,59.61,1.78,66.05,5.16,-,-,-,-,-,-,-,-,-,-
2002M12,64.83,2.92,56.12,5.89,74.70,-3.58,63.75,4.51,76.32,0.36,48.38,18.81,59.45,14.22,59.84,0.50,60.89,-0.07,58.39,-1.80,39.19,8.23,65.56,-0.65,88.31,-1.70,92.12,-2.31,82.17,-0.22,66.75,2.42,58.47,5.60,89.66,-2.03,-,-,-,-,-,-,63.22,3.37,54.15,6.11,87.25,-1.39,59.90,2.24,66.45,5.85,-,-,-,-,-,-,-,-,-,-
2003M01,65.51,3.90,57.13,7.31,75.52,-2.10,64.36,4.86,76.36,0.41,50.37,21.87,59.54,12.55,60.35,1.96,60.88,-0.02,58.41,-1.82,39.42,8.86,65.47,-0.59,88.08,-1.51,91.77,-2.10,82.10,-0.19,67.41,3.36,59.47,6.85,89.38,-1.80,-,-,-,-,-,-,63.90,4.36,55.15,7.65,87.04,-1.27,60.41,3.11,67.45,7.22,-,-,-,-,69.93,-,-,-,-,-
2003M02,66.61,5.33,58.62,9.35,75.94,-1.16,64.81,5.30,76.38,0.09,53.72,26.61,59.39,12.16,61.21,3.62,60.97,0.11,58.72,-1.21,39.96,10.05,65.42,-0.55,88.10,-1.22,91.81,-1.67,82.10,-0.16,68.56,4.83,61.04,8.88,89.35,-1.47,-,-,-,-,-,-,64.96,5.71,56.58,9.71,87.10,-1.00,61.22,4.29,69.04,9.19,-,-,-,-,70.84,-,-,-,-,-
2003M03,67.46,6.35,59.78,10.93,76.35,0.42,66.32,7.75,76.43,0.16,55.72,27.83,59.08,10.91,62.37,4.67,61.09,0.31,59.00,-0.17,41.21,12.84,65.75,-0.06,88.09,-1.17,91.81,-1.59,82.10,-0.22,69.31,5.70,62.06,10.11,89.37,-1.32,-,-,-,-,-,-,65.87,6.85,57.82,11.54,87.09,-1.03,62.09,5.76,70.19,10.15,-,-,-,-,71.43,-,-,-,-,-
2003M04,67.25,5.57,59.49,9.62,76.73,1.51,66.62,8.24,76.52,0.37,54.56,22.06,59.63,10.69,63.01,4.01,61.53,1.03,59.03,0.17,41.22,11.47,65.92,0.08,88.09,-1.16,91.78,-1.57,82.11,-0.30,69.05,4.84,61.72,8.68,89.33,-1.35,-,-,-,-,-,-,65.68,6.07,57.55,10.29,87.08,-1.05,61.95,5.20,69.87,8.98,-,-,-,-,71.19,-,-,-,-,-
2003M05,66.73,4.15,58.83,7.35,77.25,2.69,66.53,6.57,76.67,0.56,52.57,15.61,59.30,4.73,62.70,1.16,61.49,0.92,59.11,0.72,41.24,8.84,65.84,-0.12,87.96,-1.21,91.58,-1.74,82.11,-0.07,68.44,3.38,60.96,6.41,89.11,-1.55,-,-,-,-,-,-,65.22,4.72,56.97,8.06,87.00,-0.96,61.69,4.22,69.04,6.77,-,-,-,-,70.85,-,-,-,-,-
2003M06,66.51,2.56,58.57,4.76,77.38,3.12,66.32,5.89,76.68,0.55,51.95,8.61,59.27,-3.14,62.42,0.47,61.43,0.84,58.83,0.29,41.24,8.84,65.55,-0.55,87.86,-1.27,91.56,-1.69,81.88,-0.32,68.20,1.59,60.68,3.43,88.99,-1.65,-,-,-,-,-,-,65.04,3.29,56.73,5.78,86.93,-0.97,61.63,3.37,68.62,4.17,-,-,-,-,70.81,-,-,-,-,-
2003M07,67.01,3.20,59.30,5.87,77.62,3.92,66.33,5.91,76.78,0.54,53.77,11.70,59.21,-5.34,62.32,0.76,61.45,0.90,58.65,0.00,41.24,8.84,65.51,-0.21,87.74,-1.39,91.38,-1.84,81.86,-0.41,68.72,2.28,61.45,4.63,88.79,-1.86,-,-,-,-,-,-,65.52,3.90,57.43,6.83,86.85,-1.05,61.99,3.87,69.37,4.84,-,-,-,-,71.36,-,-,-,-,-
2003M08,67.34,3.84,59.75,6.77,77.85,4.40,66.82,6.72,76.85,0.58,54.80,13.91,58.98,-5.93,62.32,1.04,61.53,1.03,58.61,0.38,41.24,8.84,65.54,0.00,87.69,-1.32,91.39,-1.63,81.75,-0.58,69.05,2.98,61.92,5.59,88.73,-1.75,-,-,-,-,-,-,65.84,4.46,57.86,7.65,86.83,-0.98,62.20,4.33,69.87,5.34,-,-,-,-,71.66,-,-,-,-,-
