期間,發行部門--中央銀行_原始值,發行部門--中央銀行_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%)
2000,"561,785",...,"557,125",...,"4,660",...
2001,"953,120",69.66,"945,410",69.69,"7,710",65.45
2002,"1,947,985",104.38,"1,908,460",101.87,"39,525",412.65
