期間,總計_原始值,總計_年增率(%),臺灣桃園國際機場_原始值,臺灣桃園國際機場_年增率(%),高雄國際機場_原始值,高雄國際機場_年增率(%),臺北松山機場_原始值,臺北松山機場_年增率(%),花蓮機場_原始值,花蓮機場_年增率(%),臺東機場_原始值,臺東機場_年增率(%),馬公機場_原始值,馬公機場_年增率(%),臺中機場_原始值,臺中機場_年增率(%),臺南機場_原始值,臺南機場_年增率(%),嘉義機場_原始值,嘉義機場_年增率(%),七美機場_原始值,七美機場_年增率(%),望安機場_原始值,望安機場_年增率(%),蘭嶼機場_原始值,蘭嶼機場_年增率(%),綠島機場_原始值,綠島機場_年增率(%),金門機場_原始值,金門機場_年增率(%),北竿機場_原始值,北竿機場_年增率(%),屏東機場_原始值,屏東機場_年增率(%),南竿機場_原始值,南竿機場_年增率(%)
2005M03,"3,489,986",1.88,"1,694,518",9.51,"611,151",2.29,"619,389",-7.94,"78,257",-2.02,"46,990",-12.17,"104,558",-7.26,"48,701",-26.73,"119,042",-4.14,"29,637",-9.80,"1,324",2.80,117,-24.03,"3,211",-0.99,"2,331",-10.89,"104,349",4.22,"4,863",-8.11,"7,993",-16.75,"12,899",-10.91
2005M04,"3,745,538",3.52,"1,791,378",11.43,"640,663",0.31,"655,955",-6.29,"83,030",-2.50,"54,045",-7.95,"151,394",0.40,"59,002",-12.33,"118,558",-2.78,"33,077",2.63,"1,619",4.86,166,-2.92,"4,411",-0.05,"2,073",-19.74,"118,910",2.11,"5,907",23.22,"9,598",1.65,"14,242",-3.35
2005M05,"3,854,338",4.98,"1,813,286",14.53,"647,584",2.53,"687,254",-6.39,"79,960",-4.97,"55,261",-9.83,"187,889",2.51,"65,302",-10.82,"119,262",-3.18,"32,179",-3.23,"1,588",-0.13,128,-14.09,"4,577",-11.86,"2,092",-13.98,"128,559",6.52,"6,270",2.50,"8,679",-11.04,"12,145",-22.75
2005M06,"3,853,766",-0.64,"1,888,926",6.02,"618,470",-3.96,"671,265",-6.88,"75,478",-5.04,"53,247",-10.24,"190,885",-8.10,"63,997",-10.91,"101,924",-14.77,"28,651",-14.67,"1,317",-15.14,75,-52.83,"4,675",-2.32,"1,944",-8.30,"123,341",6.06,"6,657",16.61,"5,763",-34.63,"15,628",-13.79
2005M07,"4,372,136",2.59,"2,120,531",8.06,"707,833",-1.08,"717,639",-5.96,"79,319",1.51,"59,396",-8.37,"258,499",6.45,"79,268",-3.40,"110,577",-6.83,"32,565",-4.34,"2,080",-0.67,220,11.68,"5,520",6.05,"2,054",7.20,"158,789",4.26,"6,732",7.23,"7,187",-12.06,"21,268",-0.87
2005M08,"4,033,046",-1.80,"2,030,108",6.55,"655,481",-5.55,"647,696",-9.98,"75,127",-12.27,"52,268",-24.76,"197,967",-11.70,"70,365",-10.17,"105,161",-6.71,"27,616",-13.17,"1,880",-4.18,155,-14.84,"5,154",-10.75,"2,168",9.11,"127,502",-7.38,"6,523",-0.85,"7,028",-24.50,"18,901",-1.91
2005M09,"3,574,200",0.39,"1,782,914",7.26,"577,773",-4.66,"600,179",-8.54,"66,781",-17.32,"44,276",-15.78,"158,656",7.97,"58,090",-5.09,"104,975",-6.11,"26,283",-12.54,"1,644",4.12,183,41.86,"3,879",-0.49,"2,076",12.16,"117,559",6.62,"6,070",5.86,"5,050",-36.26,"16,588",-10.88
2005M10,"3,667,603",-0.63,"1,883,088",8.78,"588,148",-8.28,"600,549",-10.44,"71,532",-17.96,"45,947",-16.34,"122,679",-1.19,"53,382",-11.83,"109,435",-6.74,"27,215",-12.60,"2,082",4.73,186,3.33,"3,830",50.97,"2,642",-1.12,"124,803",-1.76,"4,932",-17.29,"6,918",-22.28,"19,293",-12.95
2005M11,"3,323,885",-5.35,"1,674,268",3.49,"541,047",-11.15,"567,605",-14.72,"76,379",-16.01,"42,333",-19.30,"99,041",-4.85,"47,273",-16.10,"110,869",-9.14,"27,350",-12.99,"1,736",-5.86,128,-33.68,"3,573",25.63,"2,596",-1.37,"105,101",-12.09,"4,426",-26.66,"5,151",-39.12,"13,972",-29.13
2005M12,"3,376,384",-3.39,"1,698,291",3.41,"560,845",-8.57,"579,239",-11.55,"67,250",-18.10,"41,587",-15.11,"100,859",1.61,"44,986",-12.53,"114,627",-4.39,"27,141",-10.70,"2,508",47.10,153,26.45,"2,987",44.58,"2,642",-5.44,"106,177",-4.11,"4,283",-16.93,"5,439",-40.45,"16,885",-12.44
