期間,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上
1996M03,58.20,45.59,64.80,51.24,64.26,73.48,62.86,71.00,63.30,81.05,59.95,75.04,79.53,64.84,45.40,32.54,44.37,40.58,54.12,66.45,60.03,2.24,1.17,2.26,2.60,2.79,3.00,2.14,2.48,1.60,2.69,3.12,3.01,2.85,1.79,1.87,0.55,1.27,1.67,2.50,3.20,2.68
1996M04,58.07,45.93,64.51,51.40,63.89,72.40,63.37,70.66,63.31,80.33,59.85,74.16,78.87,65.34,45.49,33.13,44.32,41.13,54.10,64.98,60.63,2.21,1.25,2.51,2.50,2.54,2.59,2.43,2.44,1.85,3.03,3.07,2.64,2.24,1.67,1.86,0.42,1.32,1.50,2.42,3.07,3.57
1996M05,58.28,46.62,64.05,51.86,64.22,72.69,62.26,70.29,63.11,79.14,60.03,74.17,78.79,64.27,46.28,34.58,44.89,41.77,54.77,65.56,59.47,2.35,1.21,2.61,3.40,2.86,2.46,2.34,2.51,1.68,3.08,3.67,2.92,2.21,1.47,2.11,0.58,1.56,2.92,2.79,2.83,3.65
1996M06,58.11,45.95,63.36,52.29,64.60,73.57,61.73,70.34,62.74,78.90,60.47,74.82,79.33,63.50,45.90,33.87,43.19,42.17,54.91,66.84,59.22,2.60,1.34,3.05,2.86,3.05,3.05,2.85,2.77,1.81,3.55,2.96,3.25,2.51,2.19,2.34,0.72,1.88,2.67,2.79,3.80,3.86
1996M07,58.35,45.23,62.89,52.68,65.81,73.84,64.97,70.98,63.08,78.75,60.99,75.65,79.44,66.75,45.74,32.28,41.91,42.77,56.36,67.49,62.48,2.97,1.53,3.21,2.63,3.32,3.91,4.25,2.93,2.21,3.51,2.27,2.97,3.34,3.32,3.03,0.56,2.48,3.24,3.77,4.67,5.64
1996M08,58.23,45.00,66.03,52.67,64.50,71.30,63.62,71.12,63.23,82.83,61.62,74.87,76.33,65.30,45.37,31.74,43.68,41.76,54.81,65.66,61.21,3.19,1.69,3.29,2.94,3.74,4.25,4.10,3.14,2.27,3.54,3.06,3.14,3.93,3.37,3.28,0.85,2.64,2.73,4.50,4.67,5.23
1996M09,58.52,44.85,67.08,54.44,63.78,72.07,63.15,71.58,62.81,84.87,64.68,73.96,76.97,65.24,45.50,31.83,43.94,41.49,54.21,66.58,60.21,3.03,1.47,3.08,3.25,3.53,3.72,4.21,3.03,1.98,3.41,3.52,3.15,3.38,3.40,3.03,0.75,2.25,2.70,4.02,4.16,5.46
1996M10,58.47,44.08,67.15,54.56,64.10,72.42,63.24,71.40,61.83,84.29,64.32,74.12,78.18,65.62,45.58,31.19,45.29,42.21,54.68,65.91,59.82,3.05,1.63,3.14,3.53,3.53,3.68,3.58,3.09,2.20,3.60,3.85,3.20,3.06,2.98,2.98,0.81,2.06,2.91,3.96,4.50,4.53
1996M11,58.70,44.85,66.20,53.41,64.84,71.84,64.42,71.31,62.36,82.66,62.64,74.34,77.46,67.66,46.14,32.21,45.50,42.56,55.61,65.41,59.84,2.86,1.56,2.97,3.01,3.54,3.17,3.29,3.02,2.22,3.48,3.06,3.40,2.91,2.95,2.61,0.64,1.81,2.91,3.73,3.54,3.83
1996M12,58.81,45.14,66.89,52.22,65.09,72.80,63.61,71.18,62.26,82.27,61.06,74.89,78.11,66.67,46.49,32.75,47.30,42.25,55.43,66.59,59.50,2.60,1.73,2.82,2.82,3.07,2.73,2.66,2.81,2.38,3.53,2.48,2.81,2.54,2.82,2.28,0.84,1.25,3.37,3.41,2.99,2.42
1997M01,58.76,45.07,67.17,52.15,64.71,73.60,63.07,71.36,62.29,83.04,61.49,75.21,78.76,65.26,46.20,32.62,46.42,41.00,54.76,67.73,60.04,2.68,1.86,3.14,2.79,3.13,2.89,2.09,2.83,2.44,3.33,2.91,3.09,2.67,2.07,2.43,1.06,2.71,2.58,3.18,3.18,2.12
1997M02,58.20,44.35,65.02,51.89,64.91,73.01,63.30,70.87,61.81,81.06,62.11,75.20,78.11,65.84,45.58,31.73,44.70,39.08,55.29,67.23,59.74,2.97,2.16,3.70,3.60,3.04,3.16,2.44,3.28,3.01,4.05,3.57,3.32,2.74,2.46,2.49,0.97,2.88,3.68,2.68,3.70,2.41
1997M03,58.30,44.74,64.67,52.51,65.28,71.81,62.78,70.75,62.05,80.78,62.90,74.85,77.48,65.19,45.90,31.98,44.74,40.10,56.33,65.31,59.44,2.79,1.76,3.34,3.44,2.87,3.34,2.53,3.12,2.47,3.81,3.90,3.13,2.93,2.47,2.28,0.75,2.30,2.58,2.55,3.89,2.61
1997M04,58.09,45.00,64.51,51.78,64.46,71.75,63.03,70.49,61.61,80.27,61.15,74.61,78.70,65.63,45.75,32.64,44.86,40.88,54.84,63.68,59.62,2.59,1.62,3.14,2.89,2.98,2.88,2.11,2.88,2.24,3.61,3.46,3.03,2.83,1.83,2.15,0.76,2.07,1.91,2.92,2.96,2.52
1997M05,58.11,45.41,63.62,52.05,64.54,72.39,62.28,70.43,62.22,79.28,61.21,74.78,78.76,64.95,45.86,33.08,44.10,41.03,54.92,65.07,58.63,2.51,1.79,3.01,2.69,2.98,2.35,2.15,2.82,2.42,3.58,2.83,3.09,2.29,2.08,2.05,0.91,1.74,2.43,2.83,2.42,2.26
1997M06,58.11,44.82,62.83,51.77,65.21,73.32,63.19,70.61,61.44,79.04,62.65,75.62,79.21,65.29,45.67,32.55,42.68,38.88,55.43,66.52,60.36,2.67,1.63,2.88,3.17,3.36,2.62,2.56,2.99,2.28,3.61,3.51,3.42,2.23,2.66,2.19,0.74,1.18,2.51,3.28,3.15,2.41
1997M07,58.34,44.36,62.90,52.14,65.76,74.29,64.74,71.15,61.17,79.22,61.53,76.80,80.80,67.74,45.61,32.05,42.38,40.88,55.40,66.81,60.65,2.85,1.65,3.21,3.10,3.18,3.19,3.37,2.94,2.25,3.88,2.99,3.10,2.40,2.66,2.72,0.82,1.65,3.30,3.28,4.29,4.46
1997M08,58.41,44.20,63.48,51.93,65.58,74.28,65.17,71.40,61.48,80.48,61.24,76.73,80.40,67.74,45.50,31.51,42.26,40.79,55.12,67.25,61.68,3.03,1.72,3.59,2.68,3.26,3.60,3.79,3.10,2.41,4.34,2.60,3.01,2.89,2.78,2.93,0.74,1.81,2.81,3.59,4.56,5.30
1997M09,58.17,43.87,63.65,52.47,64.72,74.39,64.65,71.45,61.54,80.53,62.09,75.26,82.23,68.12,44.98,30.88,42.64,41.03,54.84,65.36,59.95,2.84,1.70,3.95,2.42,3.15,2.84,2.86,3.05,2.52,4.78,2.59,2.77,2.46,2.30,2.51,0.50,2.02,2.13,3.64,3.39,3.72
1997M10,58.32,43.92,64.91,53.19,64.12,74.92,64.00,71.59,61.33,80.98,63.55,74.90,82.61,68.05,45.13,31.18,44.79,40.82,54.00,66.11,58.49,2.63,1.67,3.21,2.79,3.08,2.64,2.43,2.78,2.38,3.76,3.34,2.67,2.10,2.16,2.40,0.65,1.96,1.76,3.62,3.41,2.86
1997M11,58.49,44.63,65.38,53.03,64.35,73.66,63.38,71.65,61.80,82.47,64.24,75.39,79.77,66.14,45.42,31.98,44.08,39.65,54.01,66.65,59.72,2.60,1.86,3.08,2.65,3.00,2.18,2.85,2.83,2.75,3.54,2.72,3.01,1.78,2.48,2.22,0.58,2.00,2.50,2.98,2.72,3.40
1997M12,58.65,44.89,66.59,52.68,64.91,72.15,62.50,71.28,61.62,82.79,63.32,74.96,78.61,65.98,46.13,32.55,46.33,40.36,55.30,65.03,57.84,2.45,1.83,2.78,2.52,2.68,2.60,2.33,2.70,2.63,3.16,2.40,2.87,2.59,1.90,2.06,0.71,1.93,2.75,2.44,2.61,2.99
1998M01,58.50,44.54,66.35,52.33,64.52,72.55,63.11,71.35,61.64,82.61,62.53,75.43,78.47,66.55,45.77,32.04,44.69,40.31,54.52,66.09,58.50,2.35,1.55,2.81,2.59,2.62,2.72,1.83,2.52,2.02,3.08,2.54,2.78,2.71,1.53,2.07,0.88,2.13,2.68,2.42,2.73,2.27
1998M02,58.01,43.66,65.28,52.38,63.94,72.28,63.75,70.99,61.62,81.79,63.03,74.36,77.63,67.05,45.13,30.62,43.68,39.87,54.32,66.17,59.41,2.57,1.74,2.84,3.24,2.89,2.72,2.22,2.80,2.34,3.32,3.24,3.03,2.84,1.69,2.20,0.86,1.67,3.22,2.72,2.57,3.01
1998M03,58.10,43.19,65.45,51.66,64.81,72.76,64.14,70.95,61.49,81.61,62.55,74.01,78.85,67.43,45.37,29.75,44.57,39.01,56.34,65.77,59.87,2.34,1.32,2.57,2.70,2.90,2.66,1.95,2.67,1.76,3.00,2.85,3.31,2.83,2.12,1.82,0.66,1.54,2.42,2.41,2.43,1.70
1998M04,57.87,43.11,64.12,52.22,64.67,72.75,63.47,70.76,60.68,80.36,63.24,74.42,80.12,66.82,45.10,30.10,43.79,39.43,55.60,64.46,59.02,2.29,1.41,2.45,1.99,3.11,2.42,1.92,2.53,1.83,2.72,2.05,3.42,2.59,2.00,1.91,0.78,1.84,1.88,2.72,2.18,1.81
1998M05,57.84,42.94,62.89,53.60,64.88,72.85,63.72,70.22,59.31,79.20,63.12,74.66,80.05,66.59,45.57,30.82,43.16,41.94,55.75,64.74,59.96,2.37,1.46,2.82,2.37,3.03,2.25,1.94,2.73,2.10,3.37,2.49,3.48,2.32,1.78,1.80,0.56,1.59,2.16,2.48,2.14,2.16
1998M06,57.80,42.41,62.37,52.85,65.56,73.05,64.99,70.36,58.85,78.58,62.91,75.73,79.66,68.34,45.34,30.38,42.00,40.44,56.11,65.73,60.69,2.70,1.60,2.82,2.54,3.09,2.96,3.57,2.95,2.17,3.21,2.95,3.43,2.79,3.11,2.32,0.79,1.92,1.75,2.66,3.18,4.24
1998M07,58.00,41.99,63.14,52.81,66.15,73.52,65.70,70.62,58.11,79.03,63.07,77.21,79.95,68.26,45.50,30.29,42.23,40.54,55.78,66.76,62.32,2.93,1.49,2.75,2.90,3.43,3.30,4.41,2.88,2.00,3.15,2.91,3.35,2.43,3.49,3.01,0.79,1.77,2.89,3.54,4.39,5.72
1998M08,58.09,42.11,65.63,52.23,65.80,72.77,63.55,70.52,58.08,82.55,62.55,76.28,78.38,65.85,45.78,30.32,44.45,39.86,56.06,66.49,60.58,3.05,1.79,2.99,3.06,3.57,3.67,3.51,3.00,2.28,3.42,3.18,3.44,3.07,2.23,3.12,1.10,2.00,2.82,3.73,4.46,5.31
1998M09,57.83,41.99,66.59,52.36,64.90,71.89,62.16,70.34,58.40,83.22,62.73,75.12,78.02,64.89,45.44,29.87,45.83,39.96,55.39,65.05,58.62,2.98,1.82,3.46,3.51,3.23,3.60,2.51,3.23,2.53,4.01,3.61,3.44,3.28,2.01,2.61,0.79,2.21,3.33,2.97,4.04,3.22
1998M10,58.05,42.21,66.70,53.17,64.44,71.89,62.44,70.22,57.72,83.22,63.08,75.70,77.13,63.84,45.99,30.84,46.06,41.29,54.00,66.08,60.60,2.98,1.75,3.56,3.51,3.48,2.95,2.69,3.26,2.59,3.94,3.74,3.66,2.67,2.46,2.56,0.60,2.68,3.10,3.25,3.30,3.00
1998M11,58.22,42.37,66.19,53.30,64.55,72.08,62.80,70.40,58.45,82.25,63.48,75.11,77.64,64.90,46.14,30.70,46.03,41.02,54.71,65.96,60.07,2.93,1.84,3.23,3.39,3.52,2.93,2.65,3.31,2.75,3.97,3.94,3.50,2.90,2.46,2.36,0.57,1.58,2.36,3.56,2.97,2.91
1998M12,58.12,42.31,65.07,52.64,64.69,72.97,62.60,70.30,58.46,81.05,63.60,74.30,78.77,65.82,46.05,30.67,44.86,39.48,55.75,66.60,58.39,2.80,2.14,3.30,2.37,3.20,2.61,2.78,3.21,3.11,3.97,2.35,3.46,2.51,2.95,2.18,0.79,1.78,2.43,2.88,2.73,2.54
1999M01,58.10,42.15,64.87,53.20,65.17,72.68,62.16,70.51,58.25,81.43,64.74,75.25,77.84,65.64,45.78,30.54,43.79,39.34,55.78,67.02,57.63,2.76,1.90,3.61,2.43,2.94,2.78,2.66,3.15,2.64,4.53,2.52,3.29,2.47,2.34,2.16,0.88,1.44,2.25,2.51,3.17,3.14
1999M02,57.92,41.92,64.45,53.17,64.81,72.45,62.53,70.06,58.22,80.96,63.21,74.40,78.32,65.17,45.88,30.08,43.66,41.11,55.91,65.96,59.09,2.73,1.99,3.21,2.61,3.01,3.00,2.29,3.09,2.62,3.97,2.95,3.40,2.95,1.78,2.18,1.11,1.46,1.98,2.53,3.07,3.03
1999M03,57.52,41.07,63.81,52.44,64.81,72.79,62.48,69.66,57.13,80.08,62.48,74.37,79.22,65.33,45.47,29.39,43.43,40.40,55.96,65.70,58.74,2.84,2.23,3.13,3.11,3.30,2.88,2.09,3.38,3.19,3.65,3.65,4.03,2.90,2.08,2.03,0.87,1.93,2.12,2.39,2.87,2.10
1999M04,57.55,41.26,63.71,52.36,64.47,71.99,63.38,69.82,57.45,79.14,63.93,74.37,78.65,66.20,45.37,29.49,44.27,38.56,55.29,64.68,59.69,2.75,2.09,3.04,2.82,3.49,2.65,1.74,3.16,2.89,3.34,3.53,4.00,2.76,1.63,2.11,0.96,2.35,1.44,2.84,2.50,1.90
1999M05,57.80,41.77,63.49,52.69,64.46,72.98,62.79,69.37,56.62,78.28,62.89,74.16,79.39,65.50,46.32,31.10,44.94,40.57,55.49,65.90,59.17,2.84,2.03,3.31,2.69,3.53,2.61,2.25,3.24,2.85,3.59,3.33,4.09,2.81,1.86,2.23,0.95,2.69,1.52,2.83,2.33,2.82
1999M06,57.99,41.64,62.65,53.09,65.30,73.57,63.22,69.73,56.88,77.28,63.34,75.46,79.77,66.22,46.34,30.76,44.18,40.85,55.91,66.72,59.25,2.92,1.77,3.21,2.78,3.35,3.11,3.27,3.23,2.41,3.86,3.26,3.59,3.14,2.69,2.46,0.94,1.79,1.89,3.06,3.06,4.11
1999M07,58.18,41.44,62.71,52.45,65.88,74.10,64.24,70.12,56.90,77.94,64.04,76.61,78.60,66.73,46.34,30.40,43.54,38.52,55.94,69.16,60.96,3.11,1.86,3.14,3.05,3.48,3.38,3.96,3.27,2.56,3.70,3.14,3.70,2.95,3.15,2.86,0.93,1.90,2.86,3.20,3.92,5.12
1999M08,58.26,41.11,65.83,52.54,65.59,72.79,62.56,70.37,57.35,81.93,63.98,75.95,76.88,65.42,46.25,29.47,45.58,38.88,56.00,68.26,58.77,3.22,2.05,3.40,3.32,3.47,3.75,3.48,3.38,2.75,3.79,3.85,3.50,3.15,3.23,2.97,1.07,2.53,2.28,3.43,4.49,3.85
1999M09,57.76,39.98,66.23,53.20,64.89,72.07,61.92,69.63,56.10,82.79,64.07,74.01,76.28,64.67,45.98,28.37,45.47,40.29,56.43,67.42,58.28,3.08,1.89,3.58,3.04,3.46,3.54,2.73,3.20,2.65,3.84,3.42,3.61,2.83,2.24,2.90,0.81,2.99,2.34,3.29,4.41,3.45
1999M10,57.94,39.97,66.71,52.57,65.22,72.95,61.43,69.74,55.71,83.16,62.53,75.31,77.80,63.08,46.22,28.66,46.06,40.66,55.89,67.61,59.26,3.05,1.96,3.59,2.85,3.52,3.40,2.53,3.24,2.68,3.95,3.02,3.65,2.75,2.62,2.77,0.95,2.76,2.55,3.36,4.22,2.41
1999M11,58.10,40.20,66.58,52.44,65.76,73.05,61.20,70.03,56.17,81.68,63.10,75.71,79.59,63.50,46.27,28.75,47.54,39.69,56.54,65.86,58.18,2.94,2.11,3.07,3.26,3.31,3.16,2.67,3.18,2.93,3.49,3.37,3.33,2.96,2.76,2.59,0.97,2.17,3.04,3.29,3.42,2.54
1999M12,58.08,40.28,65.83,52.11,65.86,73.30,61.60,70.11,56.43,80.99,63.32,75.28,80.18,64.41,46.14,28.73,46.50,38.68,57.11,65.79,57.96,2.85,2.04,3.05,3.09,3.28,2.92,2.58,3.29,3.02,3.69,3.25,3.76,2.81,2.58,2.20,0.67,1.64,2.77,2.69,3.08,2.59
2000M01,57.92,40.53,64.96,51.37,66.19,72.98,61.06,70.21,56.64,81.51,62.55,76.19,78.92,64.20,45.73,29.05,43.91,37.95,56.93,66.48,57.00,2.74,1.94,3.20,3.17,3.08,2.74,2.11,3.24,2.70,3.91,3.39,3.66,2.82,2.26,1.97,0.87,1.53,2.74,2.36,2.63,1.89
2000M02,57.41,39.88,64.20,51.37,65.54,72.22,61.28,69.73,56.28,80.69,62.03,76.15,77.30,64.30,45.18,28.18,43.38,38.67,55.68,66.64,57.34,2.91,2.20,3.60,2.91,3.32,2.64,2.34,3.35,3.02,4.18,3.09,3.77,2.59,2.48,2.24,1.03,2.23,2.56,2.74,2.69,2.12
2000M03,57.43,39.72,64.17,51.97,65.14,72.52,61.78,69.53,55.78,79.94,62.88,75.59,78.09,63.90,45.42,28.26,44.18,38.93,55.43,66.41,59.01,2.83,2.01,3.48,2.81,3.45,2.52,2.02,3.38,2.84,4.26,3.54,3.96,2.72,1.90,1.99,0.83,1.68,1.40,2.81,2.26,2.19
2000M04,57.44,39.83,63.22,52.64,64.82,72.87,62.68,69.45,56.00,78.97,64.51,74.49,78.05,64.76,45.52,28.30,43.19,38.48,55.86,67.18,59.98,2.73,1.83,3.36,2.45,3.52,2.27,2.18,3.18,2.43,4.12,2.79,4.08,2.04,2.35,2.05,0.97,1.59,1.75,2.82,2.56,1.96
2000M05,57.51,39.87,62.71,51.71,65.29,73.97,62.57,69.27,55.64,77.64,62.94,75.45,79.16,64.51,45.82,28.69,43.77,38.28,55.86,68.27,60.02,2.78,2.01,3.25,2.57,3.37,2.56,2.38,3.26,2.54,4.16,2.84,4.09,2.28,2.44,2.07,1.28,1.20,2.03,2.47,2.90,2.29
2000M06,57.60,39.95,62.19,51.28,66.10,74.26,62.38,69.30,54.88,77.71,62.13,76.26,79.71,64.74,45.98,29.38,42.63,38.31,56.70,68.25,59.26,2.89,1.86,3.25,2.87,3.30,2.67,3.31,3.30,2.52,3.79,3.28,3.91,2.75,2.98,2.28,0.98,2.02,2.07,2.56,2.57,3.77
2000M07,57.80,39.62,62.57,51.54,66.19,74.73,63.28,69.39,54.29,78.29,62.50,76.22,79.73,65.17,46.29,29.24,42.75,38.54,56.90,69.21,60.78,3.06,1.90,3.47,2.71,3.40,2.91,3.86,3.34,2.73,3.80,3.00,3.77,3.00,3.16,2.65,0.80,2.72,2.14,2.95,2.79,4.86
2000M08,57.91,39.26,65.53,51.79,65.88,73.59,61.88,69.48,53.99,80.78,63.22,75.81,79.40,63.67,46.42,28.77,46.18,38.18,56.71,67.22,59.52,3.16,1.90,3.63,3.07,3.48,3.37,3.40,3.35,2.60,4.02,3.40,3.64,3.24,2.66,2.89,0.97,2.77,2.42,3.28,3.53,4.44
2000M09,57.66,39.09,67.73,50.88,65.15,72.70,60.40,69.14,54.17,82.73,61.35,75.26,77.86,62.61,46.27,28.34,48.49,38.50,55.78,67.05,57.51,3.10,1.96,3.49,3.07,3.54,3.45,2.76,3.29,2.62,3.90,3.17,3.78,3.18,2.39,2.81,1.07,2.61,2.89,3.23,3.79,3.28
2000M10,57.76,39.21,67.09,51.71,65.56,72.86,59.70,69.10,53.82,82.59,60.78,75.69,78.15,62.46,46.49,28.81,47.33,40.90,56.21,67.09,56.07,3.19,2.24,3.72,3.16,3.68,3.28,2.56,3.41,3.33,3.97,3.43,3.79,3.00,2.26,2.85,0.79,3.15,2.68,3.54,3.64,3.00
2000M11,57.87,39.03,66.19,52.24,66.06,73.32,60.11,69.23,53.77,81.73,61.40,76.15,78.80,62.58,46.58,28.55,46.38,41.29,56.78,67.35,56.85,3.23,2.30,3.70,3.28,3.78,3.24,2.61,3.60,3.49,4.32,3.61,4.05,2.97,2.31,2.69,0.71,2.30,2.70,3.46,3.58,3.05
2000M12,57.85,38.91,65.58,52.49,66.14,73.48,60.49,69.22,53.94,81.09,61.54,76.49,78.87,62.32,46.56,28.19,45.78,41.65,56.66,67.63,58.09,3.27,2.51,3.83,3.39,3.81,3.07,2.49,3.66,3.61,4.64,3.70,4.28,2.53,2.08,2.70,1.02,2.01,2.83,3.24,3.76,3.07
2001M01,57.45,38.55,64.98,51.59,65.92,73.15,60.12,69.04,54.08,80.27,60.44,76.23,78.72,63.23,45.94,27.50,45.36,40.91,56.44,67.16,56.09,3.35,2.74,4.04,3.52,3.94,2.95,2.29,3.81,3.75,4.58,3.78,4.57,2.84,2.19,2.67,1.32,2.82,3.04,3.16,3.09,2.43
2001M02,57.07,38.04,64.26,50.87,65.81,72.97,59.96,68.57,53.96,78.73,60.67,75.50,78.18,63.36,45.66,26.77,45.67,39.16,56.89,67.33,55.55,3.73,3.10,4.70,4.21,4.23,3.20,2.37,4.26,4.01,5.16,4.90,4.76,3.65,2.20,2.94,1.80,3.68,2.93,3.58,2.62,2.61
2001M03,57.02,37.86,63.73,51.08,65.68,73.26,60.28,68.40,53.26,79.01,60.37,75.71,78.63,62.04,45.72,26.95,44.27,40.04,56.44,67.40,57.99,3.89,3.17,5.07,4.32,4.36,3.39,2.37,4.46,4.58,5.62,4.62,4.90,3.59,2.21,3.04,1.20,3.83,3.79,3.70,3.13,2.58
2001M04,56.82,37.62,63.00,51.29,65.54,72.96,60.46,68.20,53.51,78.28,61.01,75.00,77.84,62.36,45.54,26.40,43.48,39.74,56.82,67.64,58.00,3.96,3.15,5.21,4.09,4.49,3.46,2.53,4.60,4.34,6.30,4.51,5.29,3.14,2.32,3.00,1.44,2.72,3.33,3.52,3.85,2.81
2001M05,56.84,37.57,62.95,51.06,65.91,72.87,60.25,67.91,53.25,77.43,60.92,75.14,77.87,61.58,45.87,26.54,44.57,39.24,57.46,67.42,58.50,4.22,3.45,5.61,4.21,4.80,3.46,2.86,4.91,4.61,6.80,4.95,5.49,3.11,2.84,3.21,1.80,2.98,2.83,3.96,3.90,2.90
