期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
2011M01,-77,-69,993,2.5,3.7,17.2
2011M02,-59,-137,-971,2.1,3.8,24.1
2011M03,7,-31,-361,2.3,3.8,21.0
2011M04,-48,41,971,2.5,4.0,20.8
2011M05,5,-1,-182,2.8,4.1,20.8
2011M06,54,-85,-217,2.3,4.2,26.6
2011M07,89,59,-608,2.5,4.6,21.8
2011M08,103,-112,"-1,903",2.3,3.9,21.9
2011M09,30,-75,-787,2.5,3.3,23.7
2011M10,42,16,513,2.8,2.8,22.6
2011M11,-32,-64,-617,2.8,3.0,22.2
2011M12,-19,3,394,3.0,2.5,20.6
2012M01,-71,46,513,3.3,2.5,22.3
2012M02,-52,87,635,2.5,3.0,17.6
2012M03,-55,-80,323,2.5,2.9,18.9
2012M04,-16,-59,-312,2.9,2.9,24.5
2012M05,7,-16,"-1,128",2.7,3.0,27.7
2012M06,27,42,-262,2.5,2.8,27.5
2012M07,94,36,-470,2.6,3.8,25.3
2012M08,55,-9,921,2.7,3.9,22.0
2012M09,-34,22,587,2.2,3.6,20.1
2012M10,-27,-134,-287,2.5,3.9,24.9
2012M11,23,32,428,2.3,3.7,26.2
2012M12,-111,11,495,2.1,4.0,21.5
2013M01,-79,6,163,2.6,4.1,24.5
2013M02,-46,48,292,2.6,4.4,25.5
2013M03,-101,-41,-309,2.4,4.4,25.0
2013M04,-77,41,295,2.4,4.3,26.4
2013M05,-167,14,583,2.1,4.6,24.1
2013M06,-100,-117,"-1,175",2.0,4.1,30.1
2013M07,-25,161,824,2.1,4.9,26.8
2013M08,8,-69,-457,2.0,5.5,24.0
2013M09,-60,-25,"1,210",2.1,4.5,24.2
2013M10,-50,10,746,1.7,4.4,22.2
2013M11,-16,44,-212,1.5,4.9,24.0
2013M12,-55,14,470,2.1,4.8,19.8
2014M01,-47,-19,232,2.1,4.4,20.7
2014M02,-58,40,-162,1.9,4.6,24.9
2014M03,-91,24,721,1.8,4.8,22.9
2014M04,-103,-16,897,1.7,5.5,21.7
2014M05,-27,51,337,1.4,5.7,23.7
2014M06,-78,43,816,1.4,5.7,21.1
2014M07,-24,38,310,1.4,6.6,22.4
