期間,收寄函件(千件)_原始值,收寄函件(千件)_年增率(%),收寄包裹(千件)_原始值,收寄包裹(千件)_年增率(%),快捷郵件(千件)_原始值,快捷郵件(千件)_年增率(%),國民通信率(件／人)_原始值,國民通信率(件／人)_年增率(%),儲金戶數(戶)_原始值,儲金戶數(戶)_年增率(%),結存金額(新台幣百萬元)_原始值,結存金額(新台幣百萬元)_年增率(%),匯兌-開發張數(千張)_原始值,匯兌-開發張數(千張)_年增率(%),匯兌-開發金額(新台幣百萬元)_原始值,匯兌-開發金額(新台幣百萬元)_年增率(%),匯兌-兌付張數(千張)_原始值,匯兌-兌付張數(千張)_年增率(%),匯兌-兌付金額(新台幣百萬元)_原始值,匯兌-兌付金額(新台幣百萬元)_年增率(%),簡易壽險保費收入(新台幣千元)_原始值,簡易壽險保費收入(新台幣千元)_年增率(%)
2011M01,"239,221",5.68,"2,839",25.90,690,30.46,10.33,-,"32,406,372",-0.11,"4,721,203",1.25,"1,762",15.36,"155,599",26.29,"1,932",25.04,"133,816",32.62,"12,295,655",0.35
2011M02,"186,911",-4.27,"1,594",-8.96,465,14.76,8.07,-,"32,473,719",-0.01,"4,728,605",0.41,942,-25.68,"112,763",4.19,"1,099",-27.46,"63,159",-30.97,"12,336,844",-1.97
2011M03,"251,192",3.62,"2,356",5.19,653,25.29,10.84,-,"32,494,864",-0.08,"4,726,377",1.10,"1,393",-2.87,"154,623",4.10,"1,526",0.39,"103,149",21.95,"15,908,899",-0.85
2011M04,"224,197",0.47,"1,984",-3.48,646,30.08,9.68,-,"32,504,560",-0.10,"4,714,283",1.31,"1,187",-6.69,"115,420",-6.82,"1,377",-3.57,"83,906",4.52,"11,739,918",-3.59
2011M05,"243,865",7.32,"2,163",5.10,676,32.18,10.52,-,"32,513,883",-0.10,"4,712,455",1.37,"1,357",9.26,"135,243",9.64,"1,512",8.37,"91,296",12.38,"14,819,726",1.12
2011M06,"226,415",2.08,"2,196",2.31,635,33.78,9.77,-,"32,515,514",-0.05,"4,694,905",1.67,"1,335",1.54,"123,305",2.16,"1,489",2.33,"89,331",9.66,"15,636,494",-1.26
2011M07,"238,510",1.66,"2,145",0.16,610,16.10,10.29,-,"32,548,617",-0.04,"4,737,090",1.51,"1,332",2.14,"129,609",-3.26,"1,472",1.22,"95,472",6.16,"14,990,002",-0.15
2011M08,"238,208",3.63,"2,423",6.61,673,34.08,10.27,-,"32,596,363",0.08,"4,714,796",1.87,"1,421",9.87,"143,502",11.73,"1,527",6.27,"96,331",15.16,"12,231,240",-10.00
2011M09,"228,246",2.98,"2,395",0.94,739,37.22,9.84,-,"32,634,903",0.13,"4,704,805",1.38,"1,330",-0.51,"132,479",7.54,"1,541",5.52,"91,660",3.20,"12,167,050",-0.89
2011M10,"219,552",-2.57,"2,122",0.66,595,18.32,9.46,-,"32,656,262",0.27,"4,712,185",1.59,"1,220",-3.17,"122,048",-3.14,"1,410",0.74,"88,222",-0.43,"14,011,197",-0.99
