期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1978M01,"6,117",...,"4,126",...,"1,990",...,"1,527",...,"1,086",...,441,...,85,...,69,...,16,...,"1,819",...,"1,078",...,741,...,22,...,21,...,1,...,443,...,414,...,29,...,948,...,586,...,362,...,314,...,270,...,44,...,75,...,45,...,31,...,35,...,21,...,14,...,646,...,377,...,268,...,201,...,159,...,43,...
1978M02,"6,081",...,"4,121",...,"1,960",...,"1,555",...,"1,107",...,448,...,81,...,68,...,13,...,"1,827",...,"1,113",...,714,...,26,...,25,...,2,...,423,...,398,...,24,...,926,...,571,...,355,...,311,...,266,...,45,...,67,...,43,...,23,...,39,...,23,...,16,...,631,...,354,...,277,...,195,...,152,...,43,...
1978M03,"6,066",...,"4,076",...,"1,990",...,"1,570",...,"1,095",...,475,...,62,...,53,...,9,...,"1,847",...,"1,103",...,744,...,25,...,23,...,2,...,412,...,380,...,31,...,895,...,574,...,321,...,304,...,264,...,40,...,69,...,43,...,26,...,54,...,33,...,21,...,624,...,347,...,277,...,205,...,160,...,45,...
1978M04,"6,131",...,"4,142",...,"1,989",...,"1,566",...,"1,102",...,464,...,63,...,56,...,7,...,"1,843",...,"1,094",...,749,...,24,...,23,...,1,...,430,...,398,...,32,...,906,...,581,...,324,...,295,...,259,...,35,...,74,...,48,...,26,...,56,...,35,...,21,...,631,...,358,...,273,...,243,...,187,...,56,...
1978M05,"6,155",...,"4,146",...,"2,009",...,"1,518",...,"1,066",...,452,...,59,...,54,...,5,...,"1,898",...,"1,140",...,758,...,25,...,24,...,1,...,442,...,408,...,34,...,917,...,588,...,329,...,288,...,251,...,37,...,74,...,48,...,27,...,54,...,31,...,24,...,626,...,344,...,283,...,253,...,193,...,60,...
1978M06,"6,222",...,"4,153",...,"2,069",...,"1,590",...,"1,085",...,505,...,60,...,53,...,7,...,"1,937",...,"1,155",...,782,...,25,...,24,...,2,...,439,...,405,...,34,...,883,...,565,...,319,...,299,...,261,...,38,...,69,...,42,...,28,...,52,...,28,...,23,...,658,...,370,...,289,...,210,...,166,...,44,...
1978M07,"6,452",...,"4,243",...,"2,209",...,"1,753",...,"1,156",...,597,...,68,...,59,...,9,...,"1,980",...,"1,169",...,811,...,28,...,26,...,2,...,427,...,391,...,35,...,937,...,586,...,351,...,295,...,260,...,35,...,67,...,40,...,27,...,44,...,23,...,21,...,650,...,375,...,275,...,203,...,158,...,45,...
1978M08,"6,442",...,"4,262",...,"2,181",...,"1,594",...,"1,113",...,481,...,58,...,52,...,6,...,"2,048",...,"1,187",...,860,...,29,...,25,...,4,...,467,...,432,...,36,...,965,...,598,...,367,...,315,...,273,...,42,...,73,...,45,...,27,...,50,...,28,...,22,...,637,...,355,...,281,...,207,...,152,...,54,...
1978M09,"6,289",...,"4,210",...,"2,079",...,"1,503",...,"1,067",...,437,...,49,...,42,...,7,...,"1,946",...,"1,137",...,808,...,24,...,20,...,4,...,502,...,460,...,41,...,968,...,615,...,352,...,315,...,273,...,42,...,77,...,50,...,26,...,49,...,28,...,21,...,636,...,352,...,284,...,220,...,164,...,56,...
1978M10,"6,281",...,"4,236",...,"2,046",...,"1,501",...,"1,061",...,440,...,47,...,39,...,7,...,"1,912",...,"1,138",...,774,...,25,...,23,...,2,...,493,...,451,...,42,...,997,...,649,...,349,...,311,...,270,...,41,...,76,...,48,...,28,...,54,...,32,...,22,...,668,...,378,...,290,...,196,...,146,...,50,...
1978M11,"6,284",...,"4,246",...,"2,038",...,"1,529",...,"1,072",...,457,...,43,...,35,...,7,...,"1,941",...,"1,158",...,783,...,25,...,22,...,3,...,497,...,466,...,31,...,969,...,624,...,346,...,306,...,267,...,39,...,78,...,50,...,28,...,55,...,32,...,23,...,656,...,380,...,276,...,187,...,140,...,46,...
1978M12,"6,255",...,"4,239",...,"2,017",...,"1,426",...,"1,025",...,401,...,47,...,38,...,9,...,"1,992",...,"1,182",...,811,...,22,...,18,...,4,...,529,...,494,...,35,...,976,...,622,...,354,...,290,...,252,...,38,...,77,...,47,...,30,...,52,...,33,...,19,...,649,...,384,...,265,...,194,...,143,...,51,...
1979M01,"6,405",4.71,"4,278",3.67,"2,127",6.88,"1,388",-9.12,976,-10.08,412,-6.77,47,-44.28,38,-45.32,9,-39.68,"2,041",12.17,"1,215",12.70,826,11.39,29,30.41,26,26.38,3,88.89,514,16.00,477,15.02,38,30.12,"1,047",10.42,647,10.40,400,10.45,343,9.30,300,11.02,43,-1.39,84,11.25,47,5.20,37,20.04,50,41.89,30,40.74,21,43.59,673,4.15,380,0.61,293,9.13,189,-5.93,142,-10.38,47,10.67
1979M02,"6,420",5.58,"4,263",3.45,"2,157",10.05,"1,421",-8.62,994,-10.19,427,-4.74,40,-51.05,33,-51.39,7,-49.26,"2,069",13.27,"1,242",11.58,827,15.91,26,-1.10,24,-3.97,2,40.94,490,15.91,446,11.96,44,80.90,"1,024",10.59,624,9.26,400,12.74,351,12.65,303,13.91,48,5.29,74,11.91,43,-0.93,32,35.75,53,35.45,32,38.38,21,31.29,668,5.77,365,3.06,303,9.24,204,4.84,157,3.44,47,9.80
1979M03,"6,315",4.10,"4,240",4.04,"2,075",4.24,"1,391",-11.43,974,-11.03,417,-12.33,53,-14.04,44,-16.96,9,3.89,"2,016",9.16,"1,212",9.86,804,8.13,25,0.62,22,-4.56,3,68.37,471,14.29,428,12.50,43,35.95,993,11.04,621,8.23,372,16.05,346,13.87,299,13.32,47,17.55,77,11.77,52,20.81,25,-3.16,59,9.22,36,10.95,23,6.54,678,8.64,388,11.59,291,4.95,206,0.50,164,2.51,42,-6.74
1979M04,"6,334",3.32,"4,259",2.85,"2,075",4.31,"1,350",-13.83,949,-13.86,400,-13.76,59,-5.55,50,-11.30,10,41.13,"2,060",11.79,"1,218",11.33,842,12.47,27,13.84,24,8.54,2,132.21,481,12.04,445,11.97,36,12.81,"1,002",10.64,641,10.20,361,11.42,331,12.22,288,11.17,42,19.88,79,6.65,55,13.42,24,-5.99,60,6.46,36,3.57,24,11.24,678,7.48,389,8.61,290,6.00,207,-15.07,164,-12.44,43,-23.79
1979M05,"6,311",2.53,"4,243",2.34,"2,068",2.94,"1,331",-12.30,956,-10.34,375,-16.91,54,-7.67,46,-15.01,9,66.46,"2,071",9.09,"1,229",7.78,841,11.06,25,-0.74,24,-1.27,2,8.13,492,11.24,451,10.45,41,20.81,981,6.94,623,5.89,358,8.80,315,9.38,273,8.78,42,13.41,75,1.30,48,-0.03,27,3.70,59,7.85,34,10.68,25,4.17,659,5.28,364,6.07,295,4.31,249,-1.56,196,1.71,53,-11.96
1979M06,"6,383",2.58,"4,226",1.76,"2,157",4.23,"1,367",-14.02,950,-12.41,417,-17.47,59,-0.93,49,-6.97,10,46.99,"2,097",8.28,"1,227",6.26,870,11.25,27,4.68,25,4.31,2,9.20,481,9.80,444,9.51,38,13.29,"1,003",13.51,625,10.61,378,18.65,320,7.08,280,7.52,40,4.00,72,3.68,47,12.19,25,-9.15,54,5.33,31,8.75,24,1.15,660,0.20,361,-2.44,299,3.58,243,15.37,188,12.81,55,25.03
1979M07,"6,614",2.51,"4,348",2.48,"2,266",2.55,"1,531",-12.67,"1,010",-12.61,521,-12.80,70,3.25,62,5.15,8,-9.51,"2,136",7.89,"1,266",8.29,871,7.31,30,8.12,25,-2.80,5,155.48,466,9.15,428,9.48,37,5.47,"1,040",10.90,647,10.35,393,11.82,334,13.37,298,14.85,36,2.42,72,7.38,46,15.22,25,-4.45,51,15.81,28,19.36,23,11.82,659,1.35,368,-1.76,291,5.59,225,10.80,170,7.35,55,22.88
1979M08,"6,550",1.68,"4,386",2.93,"2,164",-0.77,"1,419",-11.00,983,-11.72,436,-9.35,73,25.55,64,22.45,10,50.83,"2,166",5.76,"1,294",8.96,872,1.33,32,11.68,27,7.81,5,38.68,495,5.82,461,6.71,34,-4.85,"1,009",4.50,631,5.46,378,2.94,353,11.96,311,13.96,41,-1.07,75,2.93,46,1.42,29,5.45,58,17.42,34,24.22,24,8.98,646,1.44,372,4.51,275,-2.44,226,9.16,165,7.94,61,12.60
1979M09,"6,471",2.89,"4,352",3.37,"2,119",1.93,"1,330",-11.53,937,-12.13,393,-10.07,71,45.96,62,49.01,9,27.73,"2,111",8.48,"1,244",9.35,867,7.26,23,-2.93,21,1.82,3,-29.08,540,7.64,498,8.14,42,2.06,999,3.23,637,3.49,362,2.78,345,9.50,303,11.06,42,-0.54,86,11.44,51,2.11,34,29.23,59,19.62,36,25.78,23,11.24,665,4.53,386,9.61,279,-1.76,242,9.87,177,7.77,65,15.99
1979M10,"6,444",2.59,"4,340",2.46,"2,104",2.86,"1,290",-14.04,903,-14.89,387,-11.99,66,40.76,58,48.42,8,0.56,"2,082",8.91,"1,237",8.68,845,9.26,24,-5.68,22,-2.67,2,-33.45,572,15.93,532,17.84,40,-4.52,997,-0.04,637,-1.78,360,3.20,336,7.87,292,7.94,44,7.43,82,8.08,50,4.09,32,15.05,55,2.74,33,3.50,23,1.66,709,6.06,405,6.97,304,4.88,231,17.61,171,17.16,60,18.94
