期間,櫃買市場證券-總成交值 (十億元)_原始值,櫃買市場證券-總成交值 (十億元)_年增率(%),上市證券信用交易-總成交值(十億元)_原始值,上市證券信用交易-總成交值(十億元)_年增率(%),上櫃證券信用交易-總成交值(十億元)_原始值,上櫃證券信用交易-總成交值(十億元)_年增率(%),證券服務事業-證券商總公司家數(家)_原始值,證券服務事業-證券商總公司家數(家)_年增率(%),證券服務事業-經紀商家數(家)_原始值,證券服務事業-經紀商家數(家)_年增率(%),期貨商-專營家數(家)_原始值,期貨商-專營家數(家)_年增率(%),期貨經理事業-專營家數(家)_原始值,期貨經理事業-專營家數(家)_年增率(%)
2006M08,"16,174.93",-25.51,"1,731.97",-0.26,406.20,31.15,141,-2.76,98,-6.67,23,-4.17,13,-7.14
2006M09,"14,774.49",-30.63,"1,582.77",14.16,375.40,96.19,139,-4.14,97,-7.62,23,-4.17,13,-7.14
2006M10,"13,582.51",-35.02,"1,671.71",16.48,357.00,89.97,139,-4.14,97,-7.62,23,0.00,13,-7.14
2006M11,"15,133.30",-16.18,"2,353.30",34.38,534.09,98.27,138,-4.17,97,-6.73,23,0.00,13,-7.14
2006M12,"13,759.01",-24.88,"2,335.68",-5.08,662.98,36.97,137,-4.20,97,-5.83,23,0.00,12,-7.69
2007M01,"16,482.10",-7.22,"2,662.43",21.45,776.12,64.87,135,-6.90,96,-6.80,23,-4.17,12,-7.69
2007M02,"7,341.90",-52.24,"1,107.52",-30.38,325.21,5.14,135,-6.90,95,-7.77,23,-4.17,12,-7.69
2007M03,"16,509.50",-13.63,"2,604.34",25.00,776.89,67.95,134,-6.29,95,-5.94,23,-4.17,12,-7.69
2007M04,"12,776.90",-13.70,"2,140.97",-9.04,627.77,28.06,134,-5.63,95,-5.00,23,-4.17,12,-7.69
2007M05,"13,951.70",10.33,"2,124.65",-24.01,612.70,30.56,134,-5.63,95,-4.04,23,-4.17,12,-7.69
2007M06,"11,362.50",-18.16,"3,004.33",49.67,939.25,217.41,134,-5.63,95,-4.04,23,0.00,12,-7.69
2007M07,"12,616.70",-14.51,"5,030.90",236.23,"1,490.41",404.69,133,-5.67,94,-4.08,23,0.00,12,-7.69
2007M08,"11,915.00",-26.34,"3,601.48",107.94,955.32,135.18,134,-4.96,95,-3.06,22,-4.35,11,-15.38
2007M09,"9,400.40",-36.37,"2,504.93",58.26,572.82,52.59,133,-4.32,94,-3.09,20,-13.04,11,-15.38
2007M10,"10,343.54",-23.85,"3,544.55",112.03,646.48,81.09,133,-4.32,94,-3.09,20,-13.04,11,-15.38
2007M11,"9,456.11",-37.51,"2,953.53",25.51,444.27,-16.82,133,-3.62,95,-2.06,19,-17.39,11,-15.38
2007M12,"9,866.59",-28.29,"2,224.74",-4.75,370.14,-44.17,133,-2.92,95,-2.06,18,-21.74,10,-16.67
2008M01,"11,122.23",-32.52,"3,103.81",16.58,339.87,-56.21,134,-0.74,95,-1.04,18,-21.74,10,-16.67
2008M02,"7,414.10",0.98,"1,851.24",67.15,214.61,-34.01,134,-0.74,95,0.00,18,-21.74,10,-16.67
2008M03,"11,429.10",-30.77,"3,264.20",25.34,364.13,-53.13,132,-1.49,95,0.00,18,-21.74,9,-25.00
2008M04,"10,481.50",-17.97,"3,364.93",57.17,503.28,-19.83,131,-2.24,94,-1.05,18,-21.74,9,-25.00
2008M05,"8,443.40",-39.48,"3,012.06",41.77,491.23,-19.83,131,-2.24,94,-1.05,18,-21.74,9,-25.00
2008M06,"7,827.60",-31.11,"2,066.87",-31.20,274.48,-70.78,130,-2.99,92,-3.16,18,-21.74,9,-25.00
2008M07,"7,239.80",-42.62,"2,252.10",-55.23,272.78,-81.70,132,-0.75,94,0.00,18,-21.74,9,-25.00
2008M08,"7,514.80",-36.93,"1,998.30",-44.51,228.96,-76.03,132,-1.49,94,-1.05,18,-18.18,9,-18.18
2008M09,"8,017.40",-14.71,"1,916.91",-23.47,182.14,-68.20,132,-0.75,95,1.06,18,-10.00,9,-18.18
2008M10,"7,701.20",-25.55,"1,276.84",-63.98,125.19,-80.64,132,-0.75,95,1.06,18,-10.00,11,0.00
2008M11,"6,554.30",-30.69,"1,139.45",-61.42,116.07,-73.87,132,-0.75,95,0.00,18,-5.26,7,-36.36
2008M12,"8,021.30",-18.70,"1,415.53",-36.37,172.72,-53.34,132,-0.75,95,0.00,19,5.56,5,-50.00
2009M01,"5,283.60",-52.50,863.01,-72.20,94.67,-72.15,129,-3.73,94,-1.05,19,5.56,5,-50.00
2009M02,"6,166.50",-16.83,"1,327.45",-28.29,157.69,-26.52,130,-2.99,94,-1.05,20,11.11,5,-50.00
2009M03,"7,288.20",-36.23,"2,340.50",-28.30,299.44,-17.77,131,-0.76,95,0.00,20,11.11,4,-55.56
2009M04,"6,325.70",-39.65,"3,170.04",-5.79,467.01,-7.21,131,0.00,94,0.00,20,11.11,4,-55.56
2009M05,"6,145.20",-27.22,"3,506.96",16.43,510.74,3.97,130,-0.76,93,-1.06,20,11.11,3,-66.67
2009M06,"6,715.50",-14.21,"2,887.02",39.68,458.97,67.21,130,0.00,93,1.09,20,11.11,3,-66.67
2009M07,"6,613.59",-8.65,"3,068.17",36.24,604.62,121.65,131,-0.76,93,-1.06,20,11.11,3,-66.67
2009M08,"6,005.30",-20.09,"2,125.37",6.36,405.66,77.18,131,-0.76,93,-1.06,20,11.11,3,-66.67
2009M09,"6,882.90",-14.15,"2,682.03",39.91,551.92,203.02,131,-0.76,93,-2.11,20,11.11,3,-66.67
2009M10,"7,080.70",-8.06,"2,818.39",120.73,467.26,273.24,131,-0.76,92,-3.16,20,11.11,3,-72.73
2009M11,"5,876.20",-10.35,"2,318.40",103.47,435.56,275.26,132,0.00,93,-2.11,20,11.11,3,-57.14
2009M12,"6,652.40",-17.07,"3,004.75",112.27,785.41,354.73,131,-0.76,92,-3.16,20,5.26,3,-40.00
2010M01,"6,810.00",28.89,"3,039.21",252.16,634.66,570.39,130,0.78,92,-2.13,20,5.26,3,-40.00
2010M02,"4,007.10",-35.02,"1,331.29",0.29,239.93,52.15,129,-0.77,91,-3.19,20,0.00,3,-40.00
2010M03,"7,277.44",-0.15,"2,365.24",1.06,580.68,93.92,127,-3.05,90,-5.26,20,0.00,3,-25.00
2010M04,"7,183.50",13.56,"2,619.47",-17.37,630.34,34.97,127,-3.05,90,-4.26,20,0.00,3,-25.00
2010M05,"7,410.80",20.59,"2,024.17",-42.28,453.92,-11.13,127,-2.31,90,-3.23,19,-5.00,3,0.00
2010M06,"6,883.20",2.50,"1,705.42",-40.93,345.05,-24.82,127,-2.31,90,-3.23,19,-5.00,3,0.00
2010M07,"7,579.73",14.61,"2,294.93",-25.20,453.84,-24.94,128,-2.29,90,-3.23,19,-5.00,3,0.00
