期間,本國銀行_存款,本國銀行_放款,外國銀行在台分行_存款,外國銀行在台分行_放款,信用合作社_存款,信用合作社_放款,農漁會信用部_存款,農漁會信用部_放款,信託投資公司_存款,信託投資公司_放款
2009Q4,0.64,1.95,0.32,1.51,0.67,2.29,0.59,2.20,-,-
2010Q1,0.58,1.93,0.28,1.50,0.62,2.27,0.54,2.07,-,-
2010Q2,0.59,1.93,0.31,1.41,0.63,2.28,0.55,2.07,-,-
2010Q3,0.62,1.96,0.36,1.40,0.64,2.33,0.56,2.11,-,-
2010Q4,0.66,2.04,0.41,1.36,0.67,2.41,0.58,2.28,-,-
2011Q1,0.67,2.07,0.43,1.32,0.70,2.43,0.59,2.32,-,-
2011Q2,0.74,2.13,0.48,1.41,0.74,2.49,0.62,2.35,-,-
2011Q3,0.78,2.21,0.53,1.56,0.80,2.56,0.68,2.41,-,-
2011Q4,0.80,2.23,0.58,1.60,0.81,2.58,0.68,2.46,-,-
2012Q1,0.82,2.23,0.46,1.30,0.82,2.55,0.68,2.44,-,-
2012Q2,0.82,2.24,0.44,1.29,0.82,2.53,0.68,2.41,-,-
2012Q3,0.82,2.25,0.47,1.31,0.83,2.52,0.68,2.42,-,-
2012Q4,0.82,2.25,0.48,1.36,0.82,2.53,0.68,2.40,-,-
2013Q1,0.81,2.23,0.49,1.32,0.82,2.50,0.68,2.38,-,-
2013Q2,0.80,2.22,0.46,1.19,0.81,2.49,0.68,2.37,-,-
2013Q3,0.80,2.23,0.41,1.15,0.81,2.50,0.68,2.37,-,-
2013Q4,0.80,2.22,0.40,1.06,0.82,2.51,0.68,2.37,-,-
2014Q1,0.79,2.19,0.39,1.05,0.81,2.47,0.68,2.36,-,-
2014Q2,0.78,2.20,0.38,1.04,0.81,2.48,0.69,2.37,-,-
