期間,批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發業_原始值,批發業_年增率(%),零售業_原始值,零售業_年增率(%),餐飲業_原始值,餐飲業_年增率(%)
1999,"8,386,849",...,"5,744,372",...,"2,372,795",...,"269,682",...
2000,"9,295,265",10.83,"6,491,147",13.00,"2,506,653",5.64,"297,465",10.30
2001,"8,675,708",-6.67,"5,954,481",-8.27,"2,459,850",-1.87,"261,377",-12.13
