期間,期末營業車輛(輛)_原始值,期末營業車輛(輛)_年增率(%),行車次數(次)_原始值,行車次數(次)_年增率(%),行車里程(千車公里)_原始值,行車里程(千車公里)_年增率(%),貨運噸數(千公噸)_原始值,貨運噸數(千公噸)_年增率(%),延噸公里(千噸公里)_原始值,延噸公里(千噸公里)_年增率(%),平均每噸貨物運距(公里)_原始值,平均每噸貨物運距(公里)_年增率(%),貨運收入(千元)_原始值,貨運收入(千元)_年增率(%)
2013M06,"81,398",7.79,"3,183,541",-15.06,"325,055",-15.34,"43,308",-19.97,"2,958,058",18.10,68.3,47.57,"11,165,592",22.78
2013M07,"81,369",7.79,"3,573,385",-4.66,"376,055",-1.79,"49,923",-7.49,"3,498,719",40.18,70.1,51.53,"12,052,848",30.78
2013M08,"81,493",7.79,"3,424,679",-9.02,"355,176",-7.44,"47,425",-12.87,"3,269,747",31.81,68.9,51.28,"11,756,366",27.94
2013M09,"81,456",8.23,"3,154,418",-16.57,"329,501",-14.47,"42,551",-22.51,"2,963,047",18.85,69.6,53.37,"11,941,942",29.28
2013M10,"81,532",7.66,"3,386,395",-10.89,"351,195",-9.54,"46,715",-15.21,"3,231,119",28.46,69.2,51.51,"12,479,418",33.81
2013M11,"81,506",7.72,"3,490,341",-8.45,"365,202",-6.11,"46,516",-16.40,"3,260,818",28.51,70.1,53.71,"11,875,986",26.57
2013M12,"81,760",9.42,"3,728,296",-3.49,"390,861",0.25,"49,870",-10.70,"3,490,970",37.55,70.0,54.03,"12,399,988",32.11
2014M01,"81,809",0.33,"3,323,674",7.86,"345,276",6.69,"46,333",5.22,"3,208,087",2.88,69.2,-2.22,"12,688,291",13.57
2014M02,"81,749",0.64,"2,946,302",22.71,"296,755",19.37,"40,015",19.13,"2,694,534",13.78,67.3,-4.49,"10,540,516",27.72
2014M03,"81,804",0.58,"3,348,887",-2.96,"361,795",0.35,"47,038",-1.09,"3,419,737",1.60,72.7,2.72,"11,427,968",-4.02
2014M04,"81,833",0.63,"3,340,685",-2.05,"361,506",1.84,"46,527",-1.81,"3,390,923",1.54,72.9,3.41,"11,587,670",-1.84
