期間,本國銀行_存款,本國銀行_放款,外國銀行在台分行_存款,外國銀行在台分行_放款,信用合作社_存款,信用合作社_放款,農漁會信用部_存款,農漁會信用部_放款,信託投資公司_存款,信託投資公司_放款
1997Q1,5.43,8.25,4.74,9.43,5.76,9.33,5.35,9.26,6.71,9.34
1997Q2,5.34,8.20,4.65,9.44,5.61,9.18,5.23,9.21,6.57,9.21
1997Q3,5.28,8.23,4.60,9.92,5.52,9.10,5.15,9.20,6.47,8.95
1997Q4,5.38,8.33,5.48,9.95,5.55,9.04,5.19,9.26,6.56,8.82
1998Q1,5.60,8.47,5.47,10.00,5.70,9.01,5.34,9.16,6.88,8.84
1998Q2,5.75,8.52,5.62,9.95,5.82,9.13,5.52,9.25,6.96,8.91
1998Q3,5.83,8.52,5.67,10.87,5.91,9.02,5.53,9.37,7.06,9.01
1998Q4,5.68,8.41,5.26,10.65,5.78,8.95,5.29,9.08,6.93,8.73
1999Q1,5.35,8.21,4.88,10.39,5.44,8.76,4.84,8.84,6.69,8.52
1999Q2,5.07,8.07,4.62,10.12,5.15,8.73,4.53,8.77,6.34,8.67
1999Q3,4.87,7.97,4.24,10.20,4.90,8.61,4.57,8.64,5.94,8.52
1999Q4,4.70,7.86,4.25,9.86,4.76,8.46,4.48,8.63,5.63,8.41
2000Q1,4.62,7.73,4.01,9.79,4.68,8.36,4.45,8.42,5.39,8.35
2000Q2,4.58,7.64,3.84,9.79,4.67,8.27,4.44,8.45,5.56,8.31
2000Q3,4.64,7.57,3.89,9.37,4.71,8.22,4.50,8.35,5.68,8.23
2000Q4,4.63,7.48,3.92,9.56,4.70,8.10,4.42,8.33,5.62,8.14
2001Q1,4.62,7.36,3.94,9.44,4.64,7.95,4.35,8.19,5.72,7.63
