期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),"定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)",定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),"定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)",定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%)
2010M01,"2,329,054",-10.90,"4,696,405",-2.57,"500,812",-13.46,"29,180",-14.42,"835,191",-17.01,"267,667",-17.93,"416,289",-17.88,"355,196",-18.15,"576,762",10.47,"4,044,362",0.45,"9,785,879",-5.51,"7,214,247",-5.47,"1,865,949",-5.28,"115,239",-6.15,"4,291,218",-7.19,"1,377,762",-8.03,"2,329,359",-5.51,"1,910,980",-5.56,"1,299,353",0.13,"3,810,266",-4.44,-,-,-,-
2010M02,"2,360,978",-8.73,"4,786,225",-0.26,"510,519",-13.07,"29,634",-13.32,"841,423",-14.78,"269,319",-15.50,"417,915",-15.49,"356,513",-15.66,"591,121",14.19,"4,130,759",2.68,"9,784,376",-5.97,"7,212,246",-5.46,"1,873,276",-6.41,"115,440",-7.03,"4,283,889",-7.57,"1,374,706",-8.27,"2,325,898",-5.74,"1,913,576",-5.50,"1,301,313",-0.04,"3,808,524",-4.34,-,-,-,-
2010M03,"2,373,653",-5.98,"4,888,990",2.65,"514,137",-10.11,"29,705",-11.38,"840,889",-12.40,"268,788",-12.99,"416,076",-13.37,"354,775",-13.52,"602,551",17.59,"4,235,722",5.63,"9,780,665",-5.65,"7,223,920",-5.00,"1,877,148",-5.54,"115,506",-6.62,"4,275,241",-7.40,"1,369,784",-8.21,"2,323,074",-5.57,"1,915,189",-5.10,"1,305,202",0.25,"3,823,441",-3.69,-,-,-,-
2010M04,"2,369,922",-4.41,"4,915,459",3.52,"509,904",-10.23,"29,464",-11.04,"835,227",-10.63,"266,776",-11.11,"412,506",-11.48,"351,640",-11.62,"612,285",19.89,"4,267,579",6.23,"9,764,925",-5.36,"7,225,042",-4.54,"1,874,065",-5.22,"115,311",-6.30,"4,263,791",-7.13,"1,362,762",-8.12,"2,319,068",-5.30,"1,915,271",-4.61,"1,308,001",0.60,"3,831,698",-3.12,-,-,-,-
2010M05,"2,344,770",-3.31,"4,983,012",6.35,"491,673",-11.54,"28,471",-12.16,"820,724",-9.74,"262,268",-10.15,"406,972",-10.02,"346,974",-10.25,"625,401",23.18,"4,345,299",9.32,"9,742,139",-5.10,"7,224,297",-4.10,"1,867,853",-5.08,"114,908",-6.20,"4,249,468",-6.90,"1,355,625",-8.11,"2,314,316",-4.99,"1,913,412",-4.20,"1,310,502",1.01,"3,840,352",-2.47,-,-,-,-
2010M06,"2,343,686",-1.86,"5,029,710",7.35,"484,038",-10.67,"28,039",-11.16,"812,737",-8.55,"260,112",-8.78,"403,919",-8.82,"344,758",-8.91,"642,992",24.96,"4,396,801",10.19,"9,724,057",-4.72,"7,240,286",-3.33,"1,863,024",-4.81,"114,582",-5.92,"4,236,099",-6.54,"1,348,963",-7.92,"2,310,883",-4.53,"1,912,909",-3.58,"1,314,051",1.41,"3,863,832",-1.41,-,-,-,-
2010M07,"2,358,034",-1.28,"5,019,410",6.97,"487,303",-9.39,"28,208",-11.87,"815,705",-7.60,"261,038",-7.82,"404,680",-8.03,"345,475",-8.09,"650,346",23.19,"4,384,689",9.58,"9,736,240",-4.16,"7,265,958",-2.60,"1,863,439",-4.40,"114,631",-5.45,"4,237,314",-5.93,"1,350,826",-7.17,"2,315,049",-3.91,"1,920,401",-2.70,"1,320,438",1.87,"3,880,100",-0.75,-,-,-,-
2010M08,"2,368,635",2.08,"4,941,702",7.94,"489,443",-5.73,"28,338",-6.14,"817,672",-3.68,"261,623",-3.99,"405,695",-4.82,"346,286",-4.92,"655,825",24.67,"4,305,455",10.08,"9,737,079",-2.94,"7,271,848",-2.02,"1,864,200",-3.05,"114,623",-3.98,"4,232,699",-4.51,"1,348,024",-5.92,"2,316,081",-2.74,"1,923,990",-1.40,"1,324,099",2.24,"3,885,211",-0.85,-,-,-,-
2010M09,"2,378,519",1.34,"4,838,976",6.13,"496,116",-5.51,"28,698",-6.05,"822,106",-4.48,"262,713",-4.75,"406,453",-5.05,"346,897",-5.12,"653,844",22.62,"4,200,668",8.05,"9,729,534",-3.51,"7,283,009",-1.62,"1,864,721",-3.50,"114,561",-4.48,"4,222,650",-5.20,"1,344,651",-6.59,"2,314,151",-3.36,"1,925,143",-1.90,"1,328,012",1.98,"3,898,654",0.46,-,-,-,-
2010M10,"2,391,164",1.62,"4,964,907",8.08,"497,994",-4.84,"28,785",-5.31,"820,176",-4.30,"262,071",-4.63,"405,609",-4.79,"346,397",-4.75,"667,385",22.06,"4,327,654",10.27,"9,719,676",-2.74,"7,276,035",-0.83,"1,861,931",-2.72,"114,376",-3.62,"4,212,118",-4.38,"1,341,984",-5.61,"2,314,144",-2.54,"1,927,772",-0.89,"1,331,483",2.44,"3,891,903",1.06,-,-,-,-
