期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2011M04,872,1.51,"902,487",-78.02,294,-15.03,"310,955",-90.49,4,-60.00,"6,808",575.40,30,-33.33,"32,973",-24.31,12,-47.83,"1,652",157.32,361,21.55,"550,097",-30.33,21,-40.00,115,85.48,35,-14.63,0,--,0,--,0,--,0,--
2011M05,832,20.58,"2,178,037",65.77,304,47.57,"498,144",0.01,12,100.00,"2,768",257.16,35,-53.33,"26,584",-58.33,49,-15.52,"5,385",-59.71,353,16.12,"1,634,495",121.52,3,0.00,52,173.68,23,43.75,1,--,"10,660",--,0,-100.00,0,--
2011M06,"1,032",-19.06,"1,676,029",-18.15,266,-23.34,"692,432",124.74,7,75.00,"5,237","2,405.74",13,-71.11,"14,582",-71.34,9,-74.29,"1,154",-91.21,656,-10.99,"962,623",-42.54,8,-60.00,60,39.53,13,-70.45,0,--,0,--,0,--,0,--
2011M07,715,17.21,"865,567",28.80,253,-7.33,"180,875",2.67,9,800.00,"87,186","272,356.25",18,-28.00,"14,197",-56.46,10,400.00,"83,724","348,750.00",386,42.96,"499,585",7.87,3,200.00,33,17.86,3,-62.50,0,--,0,--,0,-100.00,0,-100.00
2011M08,669,-13.45,"2,215,509",-42.81,107,-62.72,"74,342",-96.57,10,11.11,"136,014","10,967.05",35,-2.78,"61,230",18.18,19,533.33,"59,368","128,960.87",410,42.86,"1,884,552",13.89,13,-56.67,55,-15.38,18,-67.86,2,--,3,--,0,--,0,--
2011M09,"1,242",48.39,"2,646,548",78.24,323,18.75,"324,240",45.47,8,300.00,"3,358","4,318.42",51,-25.00,"34,617",-65.43,33,-36.54,"1,356",-86.62,710,98.32,"2,282,977",98.24,8,0.00,83,72.92,26,-10.34,0,--,0,--,0,--,0,--
2011M10,824,-10.82,"2,130,803",71.92,282,0.71,"577,748",196.96,2,-33.33,237,0.00,30,30.43,"37,088",6.53,6,-40.00,284,-97.29,432,-20.00,"1,515,446",51.64,3,-62.50,59,47.50,10,-50.00,0,--,0,--,0,--,0,--
2011M11,900,74.76,"2,070,127",110.52,260,202.33,"1,202,050","2,405.89",5,150.00,265,-66.28,17,41.67,"13,061",-3.47,10,100.00,"9,333",16.01,510,60.38,"845,418",-7.40,20,25.00,65,22.64,13,-43.48,0,--,0,--,0,--,0,--
2011M12,983,-23.14,"3,566,763",36.04,214,-10.46,"288,606",-79.62,1,-88.89,424,-74.43,55,61.76,"130,888","1,205.75",27,-37.21,"4,270",-79.91,607,-29.58,"3,142,575",167.92,3,-70.00,55,77.42,21,-58.82,0,--,0,--,0,--,0,--
2012M01,673,16.84,"521,718",-53.88,264,114.63,"168,723",67.93,1,-80.00,952,-83.21,59,11.32,"29,544",16.40,28,3.70,"7,691",-87.39,266,-5.00,"314,808",-66.47,3,-83.33,50,-3.85,2,-88.89,0,--,0,--,0,--,0,--
2012M02,606,-16.07,"976,190",38.67,117,-65.49,"117,344",-63.07,11,83.33,"2,330",-96.95,29,31.82,"81,482",542.91,8,-52.94,"1,264",-96.46,352,40.80,"773,771",195.95,10,-9.09,71,22.41,8,-57.89,0,--,0,--,0,--,0,--
2012M03,"1,292",3.03,"4,097,562",103.82,328,18.84,"993,894",126.05,1,-90.00,116,-89.65,59,-24.36,"61,551",-19.03,17,-63.04,"1,758",-67.15,803,18.96,"3,040,243",104.29,7,-63.16,63,-44.25,14,-61.11,0,-100.00,0,--,0,--,0,--
2012M04,600,-31.19,"1,728,100",91.48,105,-64.29,"132,196",-57.49,7,75.00,"1,697",-75.07,88,193.33,"33,850",2.66,40,233.33,"21,194","1,182.93",276,-23.55,"1,539,164",179.80,9,-57.14,62,-46.09,13,-62.86,0,--,0,--,0,--,0,--
2012M05,715,-14.06,"1,110,919",-48.99,295,-2.96,"195,005",-60.85,5,-58.33,"1,678",-39.38,33,-5.71,"78,493",195.26,8,-83.67,674,-87.48,321,-9.07,"835,068",-48.91,3,0.00,32,-38.46,18,-21.74,0,-100.00,0,-100.00,0,--,0,--
2012M06,953,-7.66,"6,960,578",315.30,98,-63.16,"56,705",-91.81,1,-85.71,266,-94.92,67,415.38,"59,819",310.22,22,144.44,"18,404","1,494.80",696,6.10,"6,825,383",609.04,8,0.00,56,-6.67,5,-61.54,0,--,0,--,0,--,0,--
2012M07,750,4.90,"6,680,710",671.83,274,8.30,"231,980",28.25,6,-33.33,"2,854",-96.73,31,72.22,"58,577",312.60,13,30.00,"20,483",-75.54,383,-0.78,"6,366,816","1,174.42",2,-33.33,40,21.21,1,-66.67,0,--,0,--,0,--,0,--
2012M08,573,-14.35,"2,064,308",-6.82,148,38.32,"549,891",639.68,7,-30.00,"3,603",-97.35,25,-28.57,"21,276",-65.25,8,-57.89,131,-99.78,331,-19.27,"1,489,408",-20.97,2,-84.62,49,-10.91,3,-83.33,0,-100.00,0,-100.00,0,--,0,--
2012M09,"1,178",-5.15,"2,369,997",-10.45,380,17.65,"174,009",-46.33,2,-75.00,"3,707",10.39,58,13.73,"24,188",-30.13,80,142.42,"43,505","3,108.33",598,-15.77,"2,124,587",-6.94,3,-62.50,45,-45.78,12,-53.85,0,--,0,--,0,--,0,--
2012M10,740,-10.19,"5,616,903",163.60,193,-31.56,"1,523,572",163.71,2,0.00,316,33.33,55,83.33,"152,532",311.27,14,133.33,"7,628","2,585.92",401,-7.18,"3,932,856",159.52,7,133.33,61,3.39,7,-30.00,0,--,0,--,0,--,0,--
2012M11,901,0.11,"2,240,752",8.24,376,44.62,"544,207",-54.73,1,-80.00,34,-87.17,35,105.88,"45,196",246.04,18,80.00,"4,300",-53.93,371,-27.25,"1,647,015",94.82,5,-75.00,73,12.31,22,69.23,0,--,0,--,0,--,0,--
2012M12,"1,027",4.48,"4,201,483",17.80,155,-27.57,"210,629",-27.02,2,100.00,260,-38.68,58,5.45,"40,654",-68.94,35,29.63,"2,976",-30.30,686,13.01,"3,946,963",25.60,9,200.00,71,29.09,11,-47.62,0,--,0,--,0,--,0,--
2013M01,955,41.90,"1,315,198",152.09,294,11.36,"181,697",7.69,4,300.00,"4,311",352.84,70,18.64,"79,318",168.47,44,57.14,"24,729",221.53,446,67.67,"1,025,143",225.64,5,66.67,86,72.00,6,200.00,0,--,0,--,0,--,0,--
2013M02,679,12.05,"1,668,313",70.90,239,104.27,"195,753",66.82,3,-72.73,914,-60.77,26,-10.34,"58,434",-28.29,5,-37.50,"67,717","5,257.36",275,-21.88,"1,345,494",73.89,6,-40.00,113,59.15,12,50.00,0,--,0,--,0,--,0,--
