期間,合計_原始值,合計_年增率(%),"新台幣1,000,000以下_原始值","新台幣1,000,000以下_年增率(%)","1,000,001-5,000,000元_原始值","1,000,001-5,000,000元_年增率(%)","5,000,001-10,000,000元_原始值","5,000,001-10,000,000元_年增率(%)","10,000,001-50,000,000元_原始值","10,000,001-50,000,000元_年增率(%)","50,000,001-100,000,000元_原始值","50,000,001-100,000,000元_年增率(%)","100,000,001元以上_原始值","100,000,001元以上_年增率(%)"
2003M11,"13,202,942",4.23,"1,645,986",23.29,"3,563,281",5.02,"855,085",-0.93,"1,568,330",1.43,"723,130",0.48,"4,847,130",0.78
2003M12,"13,504,740",4.91,"1,672,393",22.28,"3,580,493",4.86,"875,773",0.01,"1,611,217",1.26,"740,381",0.37,"5,024,483",2.83
2004M01,"13,557,171",5.53,"1,691,852",22.01,"3,603,884",5.80,"868,588",1.55,"1,578,499",2.93,"735,001",2.33,"5,079,347",2.68
2004M02,"13,636,398",6.45,"1,713,063",23.75,"3,645,826",7.91,"872,468",1.66,"1,584,327",3.19,"740,150",3.36,"5,080,564",2.89
2004M03,"13,746,522",7.84,"1,742,760",25.72,"3,684,924",8.53,"885,308",4.52,"1,605,349",4.55,"758,505",6.22,"5,069,676",4.12
2004M04,"13,891,515",8.53,"1,777,913",25.38,"3,730,960",8.92,"897,375",6.33,"1,623,735",6.27,"763,337",6.72,"5,098,195",4.69
2004M05,"14,097,001",10.04,"1,891,462",30.59,"3,714,099",8.66,"911,285",7.81,"1,756,053",14.84,"774,434",7.58,"5,049,668",4.11
2004M06,"14,144,940",8.65,"1,943,206",30.86,"3,757,197",9.02,"927,660",8.56,"1,692,430",8.20,"781,320",7.00,"5,043,126",2.12
2004M07,"14,216,853",9.73,"1,978,045",31.27,"3,779,963",9.16,"926,842",9.22,"1,681,773",9.17,"779,042",8.47,"5,071,188",3.92
2004M08,"14,263,503",9.91,"2,021,767",31.18,"3,805,502",9.21,"933,477",9.90,"1,696,123",9.44,"773,264",7.26,"5,033,371",4.17
2004M09,"14,334,628",9.54,"2,061,575",30.97,"3,827,386",9.16,"941,734",10.60,"1,714,327",9.63,"783,228",8.75,"5,006,378",2.78
2004M10,"14,378,043",10.13,"2,085,649",29.12,"3,848,964",9.09,"947,286",11.22,"1,715,488",9.95,"780,509",9.73,"5,000,146",4.42
2004M11,"14,607,097",10.64,"2,130,436",29.43,"3,878,270",8.84,"959,926",12.26,"1,842,633",17.49,"790,870",9.37,"5,004,962",3.26
2004M12,"14,862,514",10.05,"2,182,419",30.50,"3,918,680",9.45,"985,262",12.50,"1,885,375",17.02,"810,147",9.42,"5,080,631",1.12
2005M01,"14,865,789",9.65,"2,223,258",31.41,"3,926,267",8.95,"977,261",12.51,"1,845,395",16.91,"800,742",8.94,"5,092,866",0.27
2005M02,"14,913,350",9.36,"2,240,911",30.81,"3,920,950",7.55,"977,827",12.08,"1,843,983",16.39,"802,767",8.46,"5,126,911",0.91
2005M03,"15,130,497",10.07,"2,293,904",31.62,"3,948,420",7.15,"989,503",11.77,"1,865,649",16.21,"808,741",6.62,"5,224,281",3.05
2005M04,"15,108,676",8.76,"2,324,922",30.77,"3,964,326",6.25,"995,343",10.92,"1,870,561",15.20,"801,493",5.00,"5,152,031",1.06
2005M05,"15,283,823",8.42,"2,353,988",24.45,"3,999,271",7.68,"1,009,235",10.75,"1,904,634",8.46,"808,014",4.34,"5,208,680",3.15
2005M06,"15,439,755",9.15,"2,392,919",23.14,"4,025,847",7.15,"1,032,517",11.30,"1,943,362",14.83,"822,385",5.26,"5,221,569",3.54
2005M07,"15,438,195",8.59,"2,409,704",21.82,"4,038,349",6.84,"1,035,241",11.70,"1,915,435",13.89,"814,206",4.51,"5,225,260",3.04
2005M08,"15,498,318",8.66,"2,423,627",19.88,"4,054,075",6.53,"1,047,212",12.18,"1,927,638",13.65,"823,848",6.54,"5,221,918",3.75
