期間,收受部門-國外_原始值,收受部門-國外_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%)
2000,"1,163,067",...,"560,963",...,-,--,"7,072",...,29,...,"1,049",...,"593,954",...
2001,"1,321,164",13.59,"625,120",11.44,-,--,"2,425",-65.70,179,517.24,"1,529",45.76,"691,911",16.49
2002,"1,201,754",-9.04,"473,843",-24.20,-,--,"4,569",88.39,183,2.23,"2,489",62.80,"720,670",4.16
