期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2006M08,"471,439",2.11,"31,969",-1.79,"40,160",0.00,"44,477",2.95,"41,321",4.28,"41,697",-1.67,"41,165",2.81,"37,077",1.13,"37,584",0.75,"38,704",1.79,"33,676",2.84,"26,410",7.96,"17,573",13.92,"11,417",-3.34,"10,607",1.98,"8,256",2.93,"5,327",4.25,"2,676",7.04,"1,002",9.39,270,-0.74,57,14.00,14,0.00,31.32,0.85
2006M09,"472,490",2.07,"32,016",-1.86,"40,091",-0.46,"44,679",3.06,"41,464",4.31,"41,637",-1.63,"41,231",2.52,"37,251",1.54,"37,584",0.56,"38,687",1.54,"33,833",3.08,"26,528",7.44,"17,736",13.59,"11,457",-1.98,"10,607",2.24,"8,278",2.31,"5,343",3.93,"2,716",7.95,"1,012",10.60,270,-3.57,56,7.69,14,0.00,31.34,0.89
2006M10,"473,212",2.06,"31,950",-1.70,"39,992",-0.75,"44,752",3.06,"41,626",4.54,"41,524",-1.78,"41,297",2.43,"37,323",1.69,"37,588",0.62,"38,817",1.40,"33,962",3.38,"26,618",6.95,"17,915",12.94,"11,471",-0.95,"10,644",2.16,"8,249",1.46,"5,386",4.70,"2,735",8.19,"1,016",9.36,279,1.82,55,5.77,13,-7.14,31.38,0.89
2006M11,"474,002",2.10,"31,922",-1.47,"39,933",-0.85,"44,835",3.15,"41,749",4.60,"41,483",-1.73,"41,354",2.31,"37,453",1.99,"37,623",0.76,"38,715",0.83,"34,197",3.95,"26,718",6.59,"18,114",12.92,"11,454",-0.78,"10,651",1.86,"8,272",1.62,"5,396",4.78,"2,763",8.35,"1,020",8.17,282,2.17,55,3.77,13,-7.14,31.40,0.87
2006M12,"474,919",2.14,"31,882",-1.42,"39,913",-0.86,"44,893",3.09,"41,955",4.87,"41,415",-1.86,"41,468",2.47,"37,483",1.91,"37,683",0.95,"38,802",0.76,"34,316",4.11,"26,822",6.54,"18,336",13.05,"11,378",-1.16,"10,713",2.21,"8,278",1.50,"5,404",4.61,"2,793",9.27,"1,026",8.00,293,6.16,52,-1.89,14,0.00,31.43,0.88
2007M01,"475,601",2.17,"31,858",-0.88,"39,810",-0.94,"44,979",3.08,"42,195",5.21,"41,250",-2.03,"41,580",2.45,"37,493",2.06,"37,698",1.13,"38,818",0.51,"34,331",3.85,"27,008",6.40,"18,572",13.18,"11,349",-1.13,"10,764",2.31,"8,264",0.92,"5,430",4.87,"2,806",9.40,"1,035",6.48,295,7.27,52,-1.89,14,0.00,31.46,0.82
2007M02,"476,063",2.06,"31,807",-1.03,"39,757",-1.32,"45,020",2.83,"42,352",5.16,"41,098",-2.18,"41,684",2.46,"37,554",2.38,"37,622",0.70,"38,795",0.40,"34,399",3.65,"27,117",6.30,"18,784",13.19,"11,313",-0.92,"10,790",2.32,"8,273",0.74,"5,459",5.04,"2,819",9.09,"1,055",7.76,298,7.19,53,-7.02,14,7.69,31.48,0.86
2007M03,"477,002",2.08,"31,901",-0.73,"39,760",-1.19,"45,144",2.78,"42,479",5.05,"41,066",-2.13,"41,751",2.43,"37,596",2.46,"37,552",0.52,"38,814",0.10,"34,579",4.03,"27,244",6.23,"18,965",12.93,"11,320",-0.89,"10,791",2.43,"8,305",0.84,"5,468",5.34,"2,853",9.73,"1,049",7.26,300,10.29,51,-12.07,14,7.69,31.50,0.85
2007M04,"477,710",2.10,"31,962",-0.31,"39,729",-1.24,"45,133",2.64,"42,636",5.19,"41,005",-2.23,"41,838",2.51,"37,669",2.54,"37,424",0.12,"38,828",0.10,"34,735",4.36,"27,393",6.20,"19,050",12.16,"11,393",-0.48,"10,815",2.76,"8,324",0.79,"5,496",5.41,"2,863",8.94,"1,049",7.70,303,10.99,51,-10.53,14,7.69,31.52,0.83
2007M05,"478,457",2.10,"32,043",0.01,"39,673",-1.35,"45,192",2.64,"42,763",5.26,"40,987",-2.35,"41,904",2.56,"37,696",2.52,"37,462",0.16,"38,717",-0.13,"34,912",4.58,"27,584",6.31,"19,142",11.63,"11,399",-0.26,"10,831",2.68,"8,349",0.96,"5,518",5.20,"2,862",8.61,"1,059",7.73,296,8.82,55,0.00,13,0.00,31.53,0.81
2007M06,"479,216",2.08,"32,011",-0.15,"39,594",-1.51,"45,318",2.59,"42,876",5.00,"40,986",-2.15,"41,968",2.51,"37,774",2.44,"37,500",0.25,"38,693",-0.21,"35,031",4.68,"27,792",6.49,"19,211",11.14,"11,422",0.42,"10,844",2.49,"8,359",0.99,"5,542",5.08,"2,871",9.08,"1,063",6.94,291,8.18,57,5.56,13,-7.14,31.55,0.85
2007M07,"480,000",2.08,"32,002",0.03,"39,574",-1.45,"45,361",2.53,"43,062",4.89,"40,919",-2.06,"42,047",2.40,"37,911",2.52,"37,463",-0.08,"38,719",0.04,"35,094",4.60,"28,010",6.70,"19,295",10.85,"11,449",0.40,"10,833",2.28,"8,388",1.54,"5,555",4.77,"2,875",8.33,"1,083",8.63,291,8.58,56,0.00,13,-7.14,31.31,0.00
2007M08,"481,119",2.05,"31,945",-0.08,"39,652",-1.26,"45,443",2.17,"43,392",5.01,"40,794",-2.17,"42,191",2.49,"37,994",2.47,"37,499",-0.23,"38,739",0.09,"35,200",4.53,"28,171",6.67,"19,440",10.62,"11,520",0.90,"10,818",1.99,"8,408",1.84,"5,572",4.60,"2,881",7.66,"1,107",10.48,282,4.44,59,3.51,12,-14.29,31.59,0.84
2007M09,"482,000",2.01,"31,829",-0.58,"39,687",-1.01,"45,439",1.70,"43,718",5.44,"40,611",-2.46,"42,335",2.68,"38,087",2.24,"37,513",-0.19,"38,830",0.37,"35,236",4.15,"28,371",6.95,"19,550",10.23,"11,582",1.09,"10,822",2.03,"8,436",1.91,"5,585",4.53,"2,906",7.00,"1,112",9.88,280,3.70,60,7.14,11,-21.43,31.62,0.87
2007M10,"482,798",2.03,"31,811",-0.44,"39,623",-0.92,"45,560",1.81,"43,845",5.33,"40,406",-2.69,"42,585",3.12,"38,150",2.22,"37,551",-0.10,"38,830",0.03,"35,287",3.90,"28,502",7.08,"19,697",9.95,"11,630",1.39,"10,875",2.17,"8,447",2.40,"5,606",4.08,"2,923",6.87,"1,112",9.45,286,2.51,61,10.91,11,-15.38,31.64,0.84
2007M11,"483,459",2.00,"31,766",-0.49,"39,573",-0.90,"45,600",1.71,"43,969",5.32,"40,400",-2.61,"42,593",3.00,"38,239",2.10,"37,532",-0.24,"38,906",0.49,"35,323",3.29,"28,667",7.29,"19,809",9.36,"11,700",2.15,"10,871",2.07,"8,464",2.32,"5,626",4.26,"2,935",6.23,"1,132",10.98,285,1.06,59,7.27,10,-23.08,31.67,0.84
2007M12,"484,174",1.95,"31,803",-0.25,"39,418",-1.24,"45,684",1.76,"44,172",5.28,"40,321",-2.64,"42,672",2.90,"38,334",2.27,"37,532",-0.40,"38,918",0.30,"35,396",3.15,"28,743",7.16,"19,979",8.96,"11,758",3.34,"10,882",1.58,"8,486",2.51,"5,625",4.09,"2,948",5.55,"1,149",11.99,286,-2.39,58,11.54,10,-28.57,31.69,0.83
2008M01,"484,906",1.96,"31,782",-0.24,"39,464",-0.87,"45,692",1.59,"44,333",5.07,"40,192",-2.56,"42,790",2.91,"38,350",2.29,"37,511",-0.50,"38,880",0.16,"35,538",3.52,"28,876",6.92,"20,131",8.39,"11,852",4.43,"10,887",1.14,"8,500",2.86,"5,664",4.31,"2,950",5.13,"1,155",11.59,291,-1.36,58,11.54,10,-28.57,31.72,0.83
2008M02,"485,687",2.02,"31,816",0.03,"39,479",-0.70,"45,741",1.60,"44,528",5.14,"40,097",-2.44,"42,919",2.96,"38,360",2.15,"37,494",-0.34,"38,813",0.05,"35,776",4.00,"28,955",6.78,"20,240",7.75,"11,944",5.58,"10,880",0.83,"8,475",2.44,"5,678",4.01,"2,973",5.46,"1,150",9.00,303,1.68,56,5.66,10,-28.57,31.73,0.78
2008M03,"486,469",1.98,"31,878",-0.07,"39,410",-0.88,"45,809",1.47,"44,665",5.15,"40,062",-2.44,"43,030",3.06,"38,385",2.10,"37,475",-0.21,"38,817",0.01,"35,960",3.99,"28,997",6.43,"20,385",7.49,"12,013",6.12,"10,879",0.82,"8,509",2.46,"5,697",4.19,"2,977",4.35,"1,153",9.91,297,-1.00,61,19.61,10,-28.57,31.75,0.80
2008M04,"487,205",1.99,"31,953",-0.03,"39,408",-0.81,"45,748",1.36,"44,835",5.16,"40,089",-2.23,"43,074",2.95,"38,431",2.02,"37,462",0.10,"38,807",-0.05,"36,088",3.90,"29,067",6.11,"20,546",7.85,"12,070",5.94,"10,872",0.53,"8,523",2.39,"5,711",3.91,"2,991",4.47,"1,160",10.58,297,-1.98,63,23.53,10,-28.57,31.76,0.78
