期間,總成交值(百萬元)-一般_原始值,總成交值(百萬元)-一般_年增率(%),總成交值(百萬元)-興櫃_原始值,總成交值(百萬元)-興櫃_年增率(%),成交量(百萬股)-一般_原始值,成交量(百萬股)-一般_年增率(%),成交量(百萬股)-興櫃_原始值,成交量(百萬股)-興櫃_年增率(%),日平均值(百萬元)-一般_原始值,日平均值(百萬元)-一般_年增率(%),日平均值(百萬元)-興櫃_原始值,日平均值(百萬元)-興櫃_年增率(%),交易日數_原始值,交易日數_年增率(%),店頭市場股價指數(月平均)_原始值,店頭市場股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2011M07,"353,599.90",-22.09,"14,145.40",-28.58,"8,295.40",-36.98,400.60,-23.76,"16,838.10",-18.38,673.60,-25.18,21,-4.55,132.29,-3.30,"574,216",-12.18
2011M08,"344,867.40",-35.91,"17,284.00",-20.35,"9,265.90",-39.11,505.60,-1.54,"14,994.20",-38.70,751.50,-23.81,23,4.55,115.84,-17.80,"616,947",-18.22
2011M09,"247,911.80",-51.91,"12,098.90",-42.24,"6,399.50",-50.63,444.20,-16.55,"11,805.30",-51.91,576.10,-42.24,21,0.00,106.73,-24.47,"482,974",-33.47
2011M10,"223,329.20",-40.68,"8,588.40",-55.37,"5,475.60",-43.88,358.10,-24.99,"11,166.50",-37.72,429.40,-53.14,20,-4.76,103.80,-25.59,"430,589",-33.49
2011M11,"247,439.70",-27.63,"10,157.80",-48.73,"7,075.10",-14.72,377.50,-21.76,"11,247.30",-27.63,461.70,-48.73,22,0.00,100.70,-25.17,"484,635",-19.88
2011M12,"174,139.90",-66.71,"6,460.40",-81.83,"5,415.90",-59.96,357.50,-53.37,"7,915.40",-65.19,293.70,-81.00,22,-4.35,91.89,-35.96,"395,839",-47.47
2012M01,"172,173.90",-57.43,"4,962.10",-82.67,"4,980.60",-53.61,246.10,-60.30,"11,478.30",-43.25,330.80,-76.90,15,-25.00,95.35,-34.00,"394,169",-42.10
2012M02,"459,457.60",51.74,"14,163.20",-26.26,"11,868.50",62.72,517.30,11.61,"22,972.90",6.22,708.20,-48.38,20,42.86,114.12,-19.94,"647,000",14.19
2012M03,"394,896.73",-24.59,"16,782.22",-41.04,"10,181.87",-14.64,571.03,-19.62,"17,169.42",-24.59,729.66,-41.05,23,0.00,117.65,-15.81,"619,309",-12.29
2012M04,"228,526.40",-39.11,"9,920.10",-55.44,"6,168.20",-29.62,430.40,-17.31,"11,426.30",-42.15,496.00,-57.67,20,5.26,109.23,-22.12,"457,814",-24.97
2012M05,"220,209.38",-48.20,"7,258.40",-65.20,"5,641.80",-41.14,298.20,-41.77,"10,010.00",-50.55,329.90,-66.78,22,4.76,105.73,-23.21,"423,232",-33.68
2012M06,"183,475.50",-50.46,"7,088.80",-53.72,"4,415.20",-46.01,304.40,-29.86,"8,736.90",-50.46,337.60,-53.72,21,0.00,102.96,-24.15,"371,159",-36.08
2012M07,"169,699.80",-52.01,"6,890.70",-51.29,"4,331.70",-47.78,313.60,-21.72,"7,713.60",-54.19,313.20,-53.50,22,4.76,102.48,-22.53,"371,071",-35.38
2012M08,"223,838.00",-35.09,"11,263.00",-34.84,"5,817.70",-37.21,519.60,2.77,"10,174.50",-32.14,512.00,-31.87,22,-4.35,104.13,-10.11,"422,669",-31.49
2012M09,"220,082.20",-11.23,"11,650.50",-3.71,"5,948.50",-7.05,412.90,-7.05,"11,004.10",-6.79,582.50,1.11,20,-4.76,106.72,-0.01,"455,786",-5.63
2012M10,"208,567.40",-6.61,"17,258.70",100.95,"5,479.50",0.07,476.20,32.98,"9,480.30",-15.10,784.50,82.70,22,10.00,103.29,-0.49,"430,552",-0.01
2012M11,"204,158.90",-17.49,"16,718.20",64.58,"5,411.20",-23.52,648.10,71.68,"9,279.90",-17.49,759.90,64.59,22,0.00,96.84,-3.83,"397,899",-17.90
2012M12,"266,819.00",53.22,"30,902.70",378.34,"7,012.00",29.47,"1,162.90",225.29,"12,705.70",60.52,"1,471.60",401.06,21,-4.55,101.53,10.49,"468,833",18.44
2013M01,"295,799.40",71.80,"18,073.60",264.23,"7,878.10",58.18,634.40,157.78,"13,445.40",17.14,821.50,148.34,22,46.67,105.44,10.58,"478,671",21.44
2013M02,"197,073.00",-57.11,"25,126.50",77.41,"4,514.40",-61.96,608.10,17.55,"15,159.50",-34.01,"1,932.80",172.92,13,-35.00,108.49,-4.93,"393,630",-39.16
2013M03,"328,256.60",-16.88,"24,040.80",43.25,"8,270.00",-18.78,703.80,23.25,"15,631.30",-8.96,"1,144.80",56.89,21,-8.70,112.37,-4.49,"519,160",-16.17
2013M04,"276,807.40",21.13,"16,072.00",62.01,"7,283.10",18.07,546.40,26.95,"13,840.40",21.13,803.60,62.02,20,0.00,113.00,3.45,"493,561",7.81
