期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2002M07,"858,926",-17.51,"164,020",0.05,"694,906",-20.80,"530,929",-1.04,"695,257",-0.78,"164,328",0.06,"1,389,855",-11.91,"949,067",-14.48,"167,308",-1.74,"781,759",-16.79,"509,593",-1.32,"677,236",-1.41,"167,643",-1.68,"1,458,660",-10.30
2002M08,"871,640",-14.38,"161,336",-0.50,"710,304",-17.01,"526,081",-0.98,"687,718",-0.87,"161,637",-0.50,"1,397,721",-9.79,"903,277",-13.50,"164,912",-0.21,"738,365",-16.00,"510,293",-0.59,"675,455",-0.50,"165,162",-0.21,"1,413,570",-9.24
2002M09,"866,365",-15.61,"161,242",0.23,"705,123",-18.55,"524,646",-1.28,"686,202",-0.92,"161,556",0.26,"1,391,011",-10.72,"902,857",-15.52,"169,460",4.47,"733,397",-19.10,"509,972",-3.99,"679,687",-2.02,"169,715",4.41,"1,412,829",-11.69
2002M10,"860,682",-2.63,"162,888",0.57,"697,794",-3.34,"524,115",-1.26,"687,324",-0.83,"163,209",0.60,"1,384,797",-2.11,"942,078",4.17,"165,384",2.72,"776,694",4.48,"508,623",-0.82,"674,373",0.05,"165,750",2.78,"1,450,701",2.36
2002M11,"863,530",4.40,"161,847",2.58,"701,683",4.83,"528,474",-0.33,"690,613",0.34,"162,139",2.58,"1,392,004",2.56,"927,049",2.37,"164,051",-0.45,"762,998",3.00,"520,908",1.21,"685,185",0.80,"164,277",-0.48,"1,447,957",1.95
2002M12,"869,885",2.93,"163,500",3.33,"706,385",2.84,"533,574",0.33,"697,373",1.02,"163,799",3.34,"1,403,459",1.93,"1,041,518",11.94,"170,925",2.37,"870,593",14.04,"527,278",0.31,"698,460",0.80,"171,182",2.35,"1,568,796",7.74
2003M01,"899,213",4.15,"210,630",14.59,"688,583",1.33,"589,912",7.80,"800,839",9.50,"210,927",14.55,"1,489,125",5.57,"873,108",-13.31,"239,809",-12.11,"633,299",-13.76,"791,361",44.51,"1,031,544",25.64,"240,183",-12.14,"1,664,469",7.05
2003M02,"870,662",-0.85,"208,491",-9.26,"662,171",2.12,"674,844",-1.64,"883,674",-3.55,"208,830",-9.22,"1,545,506",-1.20,"951,664",17.93,"183,017",-0.64,"768,647",23.43,"595,678",-2.50,"779,061",-2.06,"183,383",-0.58,"1,547,342",9.13
2003M03,"879,484",2.43,"173,944",1.21,"705,540",2.73,"592,245",1.20,"766,501",1.21,"174,256",1.23,"1,471,729",1.93,"940,347",3.57,"174,483",5.00,"765,864",3.26,"571,935",2.24,"746,723",2.87,"174,788",5.01,"1,512,282",3.06
2003M04,"873,513",2.37,"166,242",0.81,"707,271",2.75,"583,718",3.47,"750,283",2.88,"166,565",0.84,"1,457,231",2.81,"903,823",-0.98,"175,363",1.08,"728,460",-1.46,"562,874",4.17,"738,591",3.44,"175,717",1.16,"1,466,697",0.94
