期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--對政府放款及墊款_原始值,資產--對政府放款及墊款_年增率(%),資產--公開市場操作買入有價證券-計_原始值,資產--公開市場操作買入有價證券-計_年增率(%),資產--公開市場操作買入有價證券-政府機構_原始值,資產--公開市場操作買入有價證券-政府機構_年增率(%),資產--公開市場操作買入有價證券-公營事業_原始值,資產--公開市場操作買入有價證券-公營事業_年增率(%),資產--公開市場操作買入有價證券-民營企業_原始值,資產--公開市場操作買入有價證券-民營企業_年增率(%),資產--公開市場操作買入有價證券-金融機構_原始值,資產--公開市場操作買入有價證券-金融機構_年增率(%),資產--對金融機構債權-計_原始值,資產--對金融機構債權-計_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他貨幣機構-本國銀行_原始值,資產--對金融機構債權-其他貨幣機構-本國銀行_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--政府存款-計_原始值,負債與淨值--政府存款-計_年增率(%),負債與淨值--政府存款-經理國庫存款_原始值,負債與淨值--政府存款-經理國庫存款_年增率(%),負債與淨值--政府存款-機關存款_原始值,負債與淨值--政府存款-機關存款_年增率(%),負債與淨值--金融機構存款-準備性存款-計_原始值,負債與淨值--金融機構存款-準備性存款-計_年增率(%),負債與淨值--金融機構存款-其他存款-國庫存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-國庫存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-定期存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-定期存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_原始值,負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-其他_原始值,負債與淨值--金融機構存款-其他存款-其他_年增率(%),負債與淨值--央行發行單券-國庫券_原始值,負債與淨值--央行發行單券-國庫券_年增率(%),負債與淨值--央行發行單券-定期存單_原始值,負債與淨值--央行發行單券-定期存單_年增率(%),負債與淨值--央行發行單券-儲蓄券_原始值,負債與淨值--央行發行單券-儲蓄券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2012M01,"13,528,896",-0.89,"11,715,622",2.26,-,-,-,-,-,-,-,-,-,-,-,-,"636,173",38.64,"636,173",38.64,"451,239",17.32,-,-,244,-2.01,"1,176,857",-32.14,-,-,"1,649,429",4.02,"179,277",-39.15,"42,710",-61.38,"136,567",-25.80,"1,318,808",4.11,"12,382",16.06,"545,300",0.04,"1,623,909",-0.01,-,-,-,-,"6,601,425",1.66,-,-,"804,351",-25.54,"794,015",5.84
2012M02,"13,595,645",-0.81,"11,784,095",-0.03,-,-,-,-,-,-,-,-,-,-,-,-,"778,932",68.30,"778,932",68.30,"599,382",56.14,-,-,246,2.50,"1,032,372",-29.12,-,-,"1,425,012",6.68,"150,231",-46.93,"13,445",-86.93,"136,786",-24.09,"1,357,565",0.99,"12,929",9.47,"545,300",0.04,"1,623,909",-0.01,1,0.00,-,-,"6,998,180",4.72,-,-,"673,498",-39.61,"809,020",5.75
2012M03,"13,387,563",-1.38,"11,791,736",0.54,-,-,-,-,-,-,-,-,-,-,-,-,"716,173",98.47,"716,173",98.47,"564,951",79.92,-,-,238,-4.42,"879,416",-40.80,-,-,"1,377,446",7.49,"166,051",-16.47,"27,566",27.39,"138,485",-21.83,"1,382,207",0.01,"10,160",4.93,"548,000",1.43,"1,623,909",-0.01,-,-,-,-,"6,956,570",4.45,-,-,"498,070",-54.39,"825,150",4.93
2012M04,"13,436,644",-2.19,"11,707,137",0.57,-,-,-,-,-,-,-,-,-,-,-,-,"686,723",39.90,"686,723",39.90,"498,765",20.80,-,-,205,-14.94,"1,042,579",-35.08,-,-,"1,372,454",7.06,"163,837",-9.19,"25,139","1,504.28","138,698",-22.45,"1,425,839",4.41,"9,641",-4.36,"548,000",1.43,"1,623,909",-0.01,1,-,-,-,"6,911,650",0.41,-,-,"539,021",-48.38,"842,292",4.32
2012M05,"13,335,406",-3.22,"11,776,835",1.39,-,-,-,-,-,-,-,-,-,-,-,-,"599,326",33.24,"599,326",33.24,"412,148",10.12,-,-,236,11.85,"959,009",-44.01,-,-,"1,352,835",7.11,"212,344",-28.10,"71,176",-24.00,"141,168",-30.00,"1,395,461",3.47,"11,114",6.82,"547,400",1.31,"1,623,825",-0.01,-,-,-,-,"6,821,970",-0.08,-,-,"513,423",-50.73,"857,034",3.59
2012M06,"13,164,446",-3.46,"11,845,536",1.53,-,-,-,-,-,-,-,-,-,-,-,-,"481,834",49.48,"481,834",49.48,"285,117",3.13,-,-,174,-23.68,"836,902",-49.18,-,-,"1,367,973",8.53,"158,283",-38.21,"12,744",-84.62,"145,539",-16.02,"1,405,223",6.82,"10,179",-4.23,"552,400",1.30,"1,623,825",-0.01,-,-,-,-,"6,712,300",-1.00,-,-,"460,466",-53.82,"873,797",3.10
2012M07,"13,314,137",-2.70,"11,896,516",1.62,-,-,-,-,-,-,-,-,-,-,-,-,"489,260",55.50,"489,260",55.50,"369,663",19.81,-,-,206,-9.65,"928,155",-44.17,-,-,"1,362,436",6.91,"183,331",-30.71,"34,222",-50.23,"149,109",-23.85,"1,453,498",4.34,"10,649",10.39,"552,400",1.30,"1,623,825",-0.01,-,-,-,-,"6,771,420",0.06,-,-,"465,119",-50.46,"891,459",2.88
2012M08,"13,342,443",-2.76,"11,957,825",1.54,-,-,-,-,-,-,-,-,-,-,-,-,"475,013",56.55,"475,013",56.55,"359,104",20.80,-,-,206,17.71,"909,399",-44.60,-,-,"1,367,657",8.06,"161,324",-26.62,"17,029",-41.57,"144,295",-24.33,"1,430,220",1.48,"11,520",10.10,"552,400",1.30,"1,623,825",-0.01,-,-,-,-,"6,798,570",1.28,-,-,"484,395",-53.80,"912,532",3.05
2012M09,"13,458,342",-2.79,"11,825,901",-1.84,-,-,-,-,-,-,-,-,-,-,-,-,"408,403",4.80,"408,403",4.80,"335,291",-10.40,-,-,240,23.08,"1,223,798",-13.02,-,-,"1,377,069",7.79,"176,348",-29.77,"30,962",-43.57,"145,386",-25.92,"1,453,854",4.03,"12,997",14.88,"557,400",2.22,"1,623,825",-0.01,-,-,-,-,"6,704,425",1.93,-,-,"623,078",-46.27,"929,346",-7.11
2012M10,"13,494,514",-1.45,"11,836,573",-0.73,-,-,-,-,-,-,-,-,-,-,-,-,"343,556",-23.47,"343,556",-23.47,"254,306",-35.26,-,-,190,-11.21,"1,314,195",-0.46,-,-,"1,373,288",7.15,"157,967",-20.07,"12,424",-42.44,"145,543",-17.33,"1,460,517",8.66,"10,855",0.43,"557,400",2.22,"1,623,825",-0.01,-,-,-,-,"6,683,275",-0.10,-,-,"678,783",-36.55,"948,604",1.98
2012M11,"13,389,103",-2.57,"11,814,527",-0.88,-,-,-,-,-,-,-,-,-,-,-,-,"308,015",-48.05,"308,015",-48.05,"248,684",-46.57,-,-,243,-0.82,"1,266,318",3.07,-,-,"1,391,212",8.54,"173,211",-13.00,"29,278",10.68,"143,933",-16.63,"1,511,076",12.07,"11,523",3.26,"557,400",2.22,"1,623,825",-0.01,-,-,-,-,"6,586,765",-2.99,-,-,"566,331",-43.05,"967,760",2.10
2012M12,"13,372,592",-0.02,"11,900,655",0.52,-,-,-,-,-,-,-,-,-,-,-,-,"344,895",-39.09,"344,895",-39.09,"284,515",-44.48,-,-,223,-4.29,"1,126,819",16.19,-,-,"1,437,529",8.85,"167,323",-7.89,"25,667",205.56,"141,656",-18.24,"1,469,040",4.57,"10,450",-2.64,"562,400",3.14,"1,623,825",-0.01,-,-,-,-,"6,642,560",-0.59,-,-,"635,584",-23.17,"823,881",5.81
2013M01,"13,599,639",0.52,"12,167,279",3.86,-,-,-,-,-,-,-,-,-,-,-,-,"415,382",-34.71,"415,382",-34.71,"383,447",-15.02,-,-,243,-0.41,"1,016,735",-13.61,-,-,"1,670,077",1.25,"169,621",-5.39,"35,882",-15.99,"133,739",-2.07,"1,443,340",9.44,"10,765",-13.06,"562,400",3.14,"1,623,825",-0.01,1,-,-,-,"6,560,120",-0.63,-,-,"732,185",-8.97,"827,305",4.19
2013M02,"13,329,252",-1.96,"12,134,477",2.97,-,-,-,-,-,-,-,-,-,-,-,-,"303,105",-61.09,"303,105",-61.09,"270,696",-54.84,-,-,228,-7.32,"891,442",-13.65,-,-,"1,603,055",12.49,"138,230",-7.99,"2,713",-79.82,"135,517",-0.93,"1,451,720",6.94,"10,460",-19.10,"562,400",3.14,"1,623,825",-0.01,-,-,-,-,"6,519,090",-6.85,-,-,"580,942",-13.74,"839,530",3.77
2013M03,"13,348,344",-0.29,"12,156,748",3.10,-,-,-,-,-,-,-,-,-,-,-,-,"321,157",-55.16,"321,157",-55.16,"284,608",-49.62,-,-,248,4.20,"870,191",-1.05,-,-,"1,510,491",9.66,"154,306",-7.07,"14,090",-48.89,"140,216",1.25,"1,467,828",6.19,"10,902",7.30,"560,900",2.35,"1,623,825",-0.01,-,-,-,-,"6,553,450",-5.79,-,-,"616,323",23.74,"850,319",3.05
2013M04,"13,484,183",0.35,"12,098,229",3.34,-,-,-,-,-,-,-,-,-,-,-,-,"325,338",-52.62,"325,338",-52.62,"282,200",-43.42,-,-,209,1.95,"1,060,407",1.71,-,-,"1,499,907",9.29,"137,858",-15.86,"6,302",-74.93,"131,556",-5.15,"1,550,190",8.72,"9,847",2.14,"560,900",2.35,"1,623,825",-0.01,-,-,-,-,"6,571,135",-4.93,-,-,"665,608",23.48,"864,913",2.69
2013M05,"13,646,916",2.34,"12,333,293",4.73,-,-,-,-,-,-,-,-,-,-,-,-,"355,753",-40.64,"355,753",-40.64,"326,273",-20.84,-,-,248,5.08,"957,622",-0.14,-,-,"1,492,425",10.32,"145,915",-31.28,"14,040",-80.27,"131,875",-6.58,"1,540,547",10.40,"10,321",-7.14,"560,400",2.37,"1,623,749",0.00,-,-,-,-,"6,663,215",-2.33,-,-,"736,565",43.46,"873,779",1.95
2013M06,"13,634,444",3.57,"12,399,669",4.68,-,-,-,-,-,-,-,-,-,-,-,-,"340,714",-29.29,"340,714",-29.29,"288,924",1.34,-,-,238,36.78,"893,823",6.80,-,-,"1,492,244",9.08,"171,469",8.33,"38,675",203.48,"132,794",-8.76,"1,546,928",10.08,"10,085",-0.92,"560,400",1.45,"1,623,749",0.00,-,-,-,-,"6,604,765",-1.60,-,-,"742,253",61.20,"882,551",1.00
2013M07,"13,728,133",3.11,"12,418,043",4.38,-,-,-,-,-,-,-,-,-,-,-,-,"383,960",-21.52,"383,960",-21.52,"297,384",-19.55,-,-,247,19.90,"925,883",-0.24,-,-,"1,488,126",9.23,"173,330",-5.46,"39,872",16.51,"133,458",-10.50,"1,519,912",4.57,"11,148",4.69,"560,400",1.45,"1,623,667",-0.01,1,-,-,-,"6,733,635",-0.56,-,-,"709,180",52.47,"908,734",1.94
2013M08,"13,849,501",3.80,"12,404,840",3.74,-,-,-,-,-,-,-,-,-,-,-,-,"430,737",-9.32,"430,737",-9.32,"299,629",-16.56,-,-,215,4.37,"1,013,709",11.47,-,-,"1,493,246",9.18,"167,959",4.11,"37,494",120.18,"130,465",-9.58,"1,561,063",9.15,"11,592",0.63,"560,400",1.45,"1,623,666",-0.01,-,-,-,-,"6,719,365",-1.17,-,-,"783,184",61.68,"929,026",1.81
2013M09,"13,984,603",3.91,"12,354,830",4.47,-,-,-,-,-,-,-,-,-,-,-,-,"477,658",16.96,"477,658",16.96,"312,135",-6.91,-,-,223,-7.08,"1,151,892",-5.88,-,-,"1,504,469",9.25,"197,767",12.15,"67,885",119.25,"129,882",-10.66,"1,545,923",6.33,"10,504",-19.18,"560,400",0.54,"1,623,666",-0.01,3,-,-,-,"6,766,215",0.92,-,-,"827,261",32.77,"948,395",2.05
2013M10,"14,044,991",4.08,"12,372,595",4.53,-,-,-,-,-,-,-,-,-,-,-,-,"469,358",36.62,"469,358",36.62,"279,082",9.74,-,-,178,-6.32,"1,202,860",-8.47,-,-,"1,496,866",9.00,"147,233",-6.80,"18,208",46.56,"129,025",-11.35,"1,542,899",5.64,"12,236",12.72,"560,400",0.54,"1,623,666",-0.01,1,-,-,-,"6,857,235",2.60,-,-,"829,971",22.27,"974,484",2.73
2013M11,"14,185,358",5.95,"12,457,794",5.44,-,-,-,-,-,-,-,-,-,-,-,-,"519,408",68.63,"519,408",68.63,"282,148",13.46,-,-,210,-13.58,"1,207,946",-4.61,-,-,"1,516,011",8.97,"260,191",50.22,"101,385",246.28,"158,806",10.33,"1,547,767",2.43,"12,942",12.31,"560,400",0.54,"1,623,666",-0.01,-,-,-,-,"6,767,965",2.75,-,-,"901,347",59.16,"995,069",2.82
2013M12,"14,311,607",7.02,"12,658,241",6.37,-,-,-,-,-,-,-,-,-,-,-,-,"557,937",61.77,"557,937",61.77,"301,051",5.81,-,-,234,4.93,"1,095,195",-2.81,-,-,"1,555,992",8.24,"147,831",-11.65,"23,308",-9.19,"124,523",-12.09,"1,570,395",6.90,"12,440",19.04,"560,400",-0.36,"1,623,666",-0.01,-,-,-,-,"6,843,220",3.02,-,-,"1,133,445",78.33,"864,218",4.90
2014M01,"14,491,541",6.56,"12,785,803",5.08,-,-,-,-,-,-,-,-,-,-,-,-,"620,547",49.39,"620,547",49.39,"315,281",-17.78,-,-,256,5.35,"1,084,935",6.71,-,-,"1,980,986",18.62,"175,643",3.55,"19,447",-45.80,"156,196",16.79,"1,495,024",3.58,"14,389",33.66,"560,400",-0.36,"1,623,666",-0.01,-,-,-,-,"6,557,850",-0.03,-,-,"1,205,836",64.69,"877,747",6.10
2014M02,"14,521,466",8.94,"12,814,891",5.61,-,-,-,-,-,-,-,-,-,-,-,-,"646,473",113.28,"646,473",113.28,"310,022",14.53,-,-,228,0.00,"1,059,874",18.89,-,-,"1,683,583",5.02,"148,455",7.40,"23,031",748.91,"125,424",-7.45,"1,592,944",9.73,"11,683",11.69,"560,400",-0.36,"1,623,666",-0.01,-,-,-,-,"6,780,590",4.01,-,-,"1,232,293",112.12,"887,852",5.76
2014M03,"14,611,399",9.46,"12,929,012",6.35,-,-,-,-,-,-,-,-,-,-,-,-,"644,488",100.68,"644,488",100.68,"305,929",7.49,-,-,246,-0.81,"1,037,653",19.24,-,-,"1,629,382",7.87,"159,874",3.61,"27,440",94.75,"132,434",-5.55,"1,631,247",11.13,"16,256",49.11,"560,400",-0.09,"1,623,666",-0.01,-,-,-,-,"6,779,935",3.46,-,-,"1,309,944",112.54,"900,695",5.92
2014M04,"14,554,089",7.93,"12,891,503",6.56,-,-,-,-,-,-,-,-,-,-,-,-,"639,663",96.61,"639,663",96.61,"304,432",7.88,-,-,190,-9.09,"1,022,733",-3.55,-,-,"1,622,893",8.20,"148,760",7.91,"13,493",114.11,"135,267",2.82,"1,557,598",0.48,"12,356",25.48,"560,400",-0.09,"1,623,666",-0.01,2,-,-,-,"6,904,350",5.07,-,-,"1,212,615",82.18,"911,449",5.38
2014M05,"14,484,771",6.14,"12,797,971",3.77,-,-,-,-,-,-,-,-,-,-,-,-,"679,298",90.95,"679,298",90.95,"342,812",5.07,-,-,179,-27.82,"1,007,323",5.19,-,-,"1,627,933",9.08,"210,910",44.54,"68,029",384.54,"142,881",8.35,"1,494,934",-2.96,"10,753",4.19,"560,400",0.00,"1,623,666",-0.01,-,-,-,-,"6,966,620",4.55,-,-,"1,065,015",44.59,"924,540",5.81
2014M06,"14,368,920",5.39,"12,799,935",3.23,-,-,-,-,-,-,-,-,-,-,-,-,"651,402",91.19,"651,402",91.19,"313,420",8.48,-,-,226,-5.04,"917,357",2.63,-,-,"1,619,745",8.54,"203,416",18.63,"47,628",23.15,"155,788",17.32,"1,608,961",4.01,"13,010",29.00,"560,400",0.00,"1,623,666",-0.01,1,-,-,-,"6,874,125",4.08,-,-,"930,612",25.38,"934,984",5.94
